"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"BRD-K13060097","NPC","trt_cp","down",-0.284443101535351,0.00207102223014839,0.314451408995329,-1.39872625920887,-0.839982880954241,2243,1928,NA,NA,"54637808"
"BML-257","PC3","trt_cp","down",-0.286443308638961,0.00174604805509647,0.314451408995329,-1.39637146303619,-0.820469192670239,2243,1928,"AKT1","AKT inhibitor; HCV inhibitor","NotFound"
"L-733060","PC3","trt_cp","down",-0.285973325804177,0.00174604805509647,0.314451408995329,-1.39408036179969,-0.0277969830809329,2243,1928,"TACR1","Tachykinin antagonist","132846"
"IC-261","NPC","trt_cp","up",0.282001345531546,0.00244839264313301,0.314451408995329,1.39383064349579,0.0243263300846036,2243,1928,NA,NA,"5288600"
"BRD-K82096551","NEU","trt_cp","down",-0.290558697250872,0.00112815105817989,0.314451408995329,-1.39309755160856,-0.0194763037489381,2243,1928,NA,NA,"54638823"
"BRD-K60202068","VCAP","trt_cp","down",-0.287830993616923,0.00146546271948921,0.314451408995329,-1.39028123819868,-0.0215601043765937,2243,1928,NA,NA,"24747276"
"mesulergine","A549","trt_cp","down",-0.277934614868091,0.00340555963251089,0.314451408995329,-1.38638811403573,-0.919258042173308,2243,1928,"HTR2B; HTR3A; HTR3B; HTR6; HTR7","Dopamine receptor agonist","68848"
"BRD-A94570195","PC3","trt_cp","up",0.282765319908151,0.00225214610247059,0.314451408995329,1.38618382645415,0.0138618382645419,2243,1928,NA,NA,"4464266"
"raltitrexed","NPC","trt_cp","up",0.28035620687676,0.00289317316621545,0.314451408995329,1.38569931821606,0.975753013553889,2243,1928,"FPGS; TYMS","Thymidylate synthase inhibitor","104758"
"MDM2-inhibitor","PC3","trt_cp","down",-0.283852968107086,0.00207102223014839,0.314451408995329,-1.38374391165284,-0.0268775484636356,2243,1928,"MDM2","MDM inhibitor","10022508"
"sinensetin","ASC","trt_cp","down",-0.283699483758272,0.00207102223014839,0.314451408995329,-1.38302702968555,0.0276944953743952,2243,1928,NA,"Cyclooxygenase inhibitor","145659"
"NSC-119889","PC3","trt_cp","up",0.281613129423492,0.00244839264313301,0.314451408995329,1.38053551068705,1.1319573973196,2243,1928,NA,"Protein synthesis inhibitor","274104"
"emetine","HA1E","trt_cp","down",-0.283196270433604,0.00225214610247059,0.314451408995329,-1.38037746858047,-1.08825780990922,2243,1928,"MRPS7; RPS11; RPS12; RPS13; RPS14; RPS15; RPS15A; RPS16; RPS19; RPS2; RPS20; RPS21; RPS23; RPS24; RPS25; RPS27; RPS27L; RPS28; RPS29; RPS3; RPS3A; RPS5; RPS6; RPS7; RPS8; RPSA; RPSAP58; RSRC1","Protein synthesis inhibitor","10219"
"BRD-K52225919","NPC","trt_cp","down",-0.280582037791686,0.00266420073608011,0.314451408995329,-1.37973978628127,-0.0184739748757819,2243,1928,NA,NA,"54649547"
"BRD-K91836367","PC3","trt_cp","down",-0.282951040296273,0.00225214610247059,0.314451408995329,-1.3793471384738,-0.013793471384738,2243,1928,NA,NA,"44495549"
"tomelukast","MCF7","trt_cp","up",0.280183505144283,0.00289317316621545,0.314451408995329,1.37822116214923,-0.944836238584691,2243,1928,"CYSLTR1","Leukotriene receptor antagonist","3969"
"BRD-K83213280","A375","trt_cp","up",0.279216214310064,0.00313813863409187,0.314451408995329,1.37797972784463,1.05184203719033,2243,1928,NA,NA,"928277"
"homoharringtonine","HA1E","trt_cp","down",-0.282423726617169,0.00244839264313301,0.314451408995329,-1.37661187493029,-1.23098431728527,2243,1928,"RPL3","Protein synthesis inhibitor","16219462"
"metergoline","NPC","trt_cp","up",0.278276367458963,0.00340555963251089,0.314451408995329,1.37541942430771,0.319811225915852,2243,1928,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR6; HTR7; SCN2A","Dopamine receptor agonist; Serotonin receptor antagonist","28693"
"BRD-K65373229","NEU","trt_cp","down",-0.286829490065748,0.00159862923782317,0.314451408995329,-1.37521768964542,0,2243,1928,NA,NA,"54649502"
"verrucarin-a","SKB","trt_cp","down",-0.284917143488299,0.00190314973195451,0.314451408995329,-1.37450682623587,-1.18407361677226,2243,1928,NA,"Protein synthesis inhibitor","104830"
"BRD-K65809558","PC3","trt_cp","down",-0.281887109994592,0.00244839264313301,0.314451408995329,-1.37416062558584,-0.92068761914251,2243,1928,NA,NA,"54625722"
"BRD-K84797952","NEU","trt_cp","up",0.282627115150554,0.00225214610247059,0.314451408995329,1.37277434414546,-0.0197536035515976,2243,1928,NA,NA,"60185246"
"APHA-compound-8","MCF7","trt_cp","up",0.279061042793888,0.00313813863409187,0.314451408995329,1.37269977585551,0.96377320831585,2243,1928,"HDAC8","HDAC inhibitor","10379137"
"BRD-K11628545","VCAP","trt_cp","up",0.282013418408911,0.00244839264313301,0.314451408995329,1.37163359372674,0.918994507796919,2243,1928,NA,NA,"60189722"
"BRD-K98634983","PC3","trt_cp","up",0.279579807891698,0.00289317316621545,0.314451408995329,1.37056767791933,0,2243,1928,NA,NA,"73707342"
"BRD-K87340398","NPC","trt_cp","down",-0.27862447091122,0.00313813863409187,0.314451408995329,-1.37011360731934,0,2243,1928,NA,NA,"54646300"
"BRD-K28841686","NPC","trt_cp","up",0.277119356553593,0.00369260746091965,0.314451408995329,1.36970073792441,1.05526888796519,2243,1928,NA,NA,"54660888"
"AS-605240","MCF7","trt_cp","down",-0.280755073259814,0.00266420073608011,0.314451408995329,-1.36854420694669,0,2243,1928,"MAOB; PIK3CA; PIK3CB; PIK3CD; PIK3CG","PI3K inhibitor","10377751"
"BRD-K80138901","NPC","trt_cp","up",0.276831717585045,0.00369260746091965,0.314451408995329,1.36827904254962,0.964468570273208,2243,1928,NA,NA,"54615002"
"TUL-XX023","NEU","trt_cp","up",0.281527305490696,0.00244839264313301,0.314451408995329,1.36743235675798,0,2243,1928,NA,NA,"54596143"
"cinanserin","VCAP","trt_cp","up",0.280886359709839,0.00266420073608011,0.314451408995329,1.36615189862702,0.313413461889981,2243,1928,NA,"Serotonin receptor antagonist","5475158"
"PSH-024","MCF7","trt_cp","up",0.277640824560215,0.00340555963251089,0.314451408995329,1.36571372996565,0.923016347041536,2243,1928,NA,NA,"24747169"
"BRD-K16752617","NEU","trt_cp","down",-0.284780402614816,0.00190314973195451,0.314451408995329,-1.36539324199359,-0.0221971081938957,2243,1928,NA,NA,"54638218"
"SA-1457769","MCF7","trt_cp","down",-0.279777598670849,0.00289317316621545,0.314451408995329,-1.3637794945209,-1.3637794945209,2243,1928,NA,NA,"54657737"
"BRD-K78496556","VCAP","trt_cp","down",-0.281945005135838,0.00244839264313301,0.314451408995329,-1.36185073719295,-1.2911889195586,2243,1928,NA,NA,"54627254"
"z-prolyl-prolinal","ASC","trt_cp","up",0.275163124713012,0.00432997897318083,0.314451408995329,1.36169609825005,0.906444348718355,2243,1928,"PREP","Prolyl endopeptidase inhibitor","122623"
"BRD-K41652870","SKB","trt_cp","down",-0.282071124745671,0.00244839264313301,0.314451408995329,-1.36077696729708,0,2243,1928,NA,NA,"3190037"
"SA-1939936","NPC","trt_cp","up",0.275066769587695,0.00432997897318083,0.314451408995329,1.35955554302785,0,2243,1928,NA,NA,"60189878"
"VU-0415010","A375","trt_cp","down",-0.277871949292192,0.00340555963251089,0.314451408995329,-1.35871718745164,-1.03124958640342,2243,1928,NA,NA,"45259136"
"SA-1447005","SKB","trt_cp","down",-0.281039747701198,0.00266420073608011,0.314451408995329,-1.35580136361562,-0.793809646616376,2243,1928,NA,NA,"73707394"
"ixazomib","NKDBA","trt_cp","down",-0.281853075870042,0.00244839264313301,0.314451408995329,-1.3551219506686,0,2243,1928,"PSMB5",NA,"25183872"
"crotamiton","SKB","trt_cp","down",-0.280873910025975,0.00266420073608011,0.314451408995329,-1.35500132394847,0,2243,1928,NA,"Antipruritic","688020"
"sappanone-a","SKB","trt_cp","down",-0.280872315754069,0.00266420073608011,0.314451408995329,-1.35499363280855,-0.0322585940443892,2243,1928,NA,"Melanin inhibitor; Tyrosinase inhibitor","9817274"
"fenretinide","NKDBA","trt_cp","up",0.278786982300549,0.00313813863409187,0.314451408995329,1.35497329128885,1.00960681603344,2243,1928,"CYP2C8; CYP3A5; RARA; RARG; RBP4","Apoptosis stimulant; Retinoid receptor agonist","5353342"
"vinorelbine","SKB","trt_cp","up",0.27987362557557,0.00289317316621545,0.314451408995329,1.35427982349541,0,2243,1928,"TUBB","Tubulin inhibitor","73707409"
"BRD-K04779531","VCAP","trt_cp","up",0.278395218317018,0.00340555963251089,0.314451408995329,1.35403569068062,0.943202747239811,2243,1928,NA,NA,"3235429"
"TG-101348","HCC515","trt_cp","down",-0.27266696728103,0.00506602861626627,0.314451408995329,-1.35390546323239,-0.99703358746235,2243,1928,"BRD4; FLT3; JAK2; RET; TYK2","FLT3 inhibitor; JAK inhibitor","16722836"
"QL-X-138","PC3","trt_cp","down",-0.277619545938551,0.00340555963251089,0.314451408995329,-1.35335684178356,-1.27367126368837,2243,1928,"BTK; MKNK2; MTOR; PRKDC","MTOR inhibitor","73707530"
"tetrabenazine","HA1E","trt_cp","down",-0.277602941665035,0.00340555963251089,0.314451408995329,-1.35311402688798,-0.0325714497423513,2243,1928,"SLC18A1; SLC18A2","Vesicular monoamine transporter inhibitor","6018"
"BRD-K66446284","PC3","trt_cp","up",0.275887679175651,0.00400060943265449,0.314451408995329,1.35246797208188,0.906153541294859,2243,1928,NA,NA,"44537751"
"BRD-K64970062","A549","trt_cp","up",0.272248440518935,0.00547216473794983,0.314451408995329,1.35164130761785,0,2243,1928,NA,NA,"6875690"
"pramocaine","MCF7","trt_cp","down",-0.277248834366569,0.00369260746091965,0.314451408995329,-1.35145300047335,-1.24686842518649,2243,1928,NA,NA,"73957"
"dipyridamole","HCC515","trt_cp","up",0.273021791103769,0.00506602861626627,0.314451408995329,1.35085192671654,0.0290499600753707,2243,1928,"ADA; ORM1; PDE10A; PDE4A; PDE5A; PDE7B; PDE8A; PDE8B; RCAN1; SLC29A1; SLC29A2","Phosphodiesterase inhibitor","3108"
"UCL-2077","A549","trt_cp","up",0.272078949338365,0.00547216473794983,0.314451408995329,1.35079982885493,-0.027681048414992,2243,1928,NA,"Slow after hyperpolarization channel blocker","24868317"
"GW-0742","PHH","trt_cp","down",-0.272148104596037,0.00547216473794983,0.314451408995329,-1.35073051733183,0,2243,1928,"INS; PPARD","Insulin sensitizer; PPAR receptor agonist","9934458"
"norgestrel","ASC","trt_cp","down",-0.277019835744294,0.00369260746091965,0.314451408995329,-1.35046393288419,0,2243,1928,"AR; CYP2E1; PGR; SRD5A1","Progesterone receptor agonist","5702096"
"BRD-K78062244","SKB","trt_cp","up",0.278998430993198,0.00313813863409187,0.314451408995329,1.35004484650499,0,2243,1928,NA,NA,"6545175"
"EXO-1","NPC","trt_cp","down",-0.274234172462294,0.00468130358184425,0.314451408995329,-1.34852466495045,0,2243,1928,NA,"ARF inhibitor","310557"
"BRD-K09526594","HT29","trt_cp","up",0.271457931055443,0.00591107026757636,0.314451408995329,1.34826083422215,0.0211718429339114,2243,1928,NA,NA,"54637699"
"NVP-AUY922","A375","trt_cp","down",-0.275636173560096,0.00400060943265449,0.314451408995329,-1.34778486080901,-1.07354401813044,2243,1928,"HSP90AA1; HSP90AA2; HSP90AB1; HSP90B1; TRAP1","HSP inhibitor","10096043"
"BRD-K60391168","NEU","trt_cp","down",-0.281077347984654,0.00266420073608011,0.314451408995329,-1.3476387697043,-0.937797935619808,2243,1928,NA,NA,"54649397"
"cycloheximide","NPC","trt_cp","down",-0.273990478539641,0.00468130358184425,0.314451408995329,-1.34732631952746,-1.12823511686342,2243,1928,"GSK3B; RPL3","Protein synthesis inhibitor","6197"
"vardenafil","ASC","trt_cp","down",-0.276265833534244,0.00400060943265449,0.314451408995329,-1.34678819324897,0,2243,1928,"CYP2C8; CYP3A5; PDE5A; PDE6G; PDE6H","Phosphodiesterase inhibitor","23581791"
"BRD-K80171496","NEU","trt_cp","down",-0.280603602431992,0.00266420073608011,0.314451408995329,-1.34536737402507,-1.09408512104944,2243,1928,NA,NA,"54638453"
"treprostinil","ASC","trt_cp","up",0.271552490028567,0.00547216473794983,0.314451408995329,1.34382819837377,0,2243,1928,"CYP2C8; P2RY12; PPARD; PTGDR; PTGER1; PTGER2; PTGER3; PTGER4; PTGIR","Prostacyclin analog","73707411"
"cephaeline","NEU","trt_cp","down",-0.280244100432085,0.00289317316621545,0.314451408995329,-1.34364372451601,-1.17659170144837,2243,1928,"RPS2","Protein synthesis inhibitor","442195"
"phenamil","MCF7","trt_cp","up",0.272997182966125,0.00506602861626627,0.314451408995329,1.34287168181897,0.850194643900243,2243,1928,"PKD2L1","TRPV antagonist","135403792"
"xanthohumol","SKB","trt_cp","up",0.277507440000541,0.00340555963251089,0.314451408995329,1.34283009372428,0.968404964567116,2243,1928,"CYP19A1; VCP","ATPase inhibitor","639665"
"BRD-A28412351","A375","trt_cp","up",0.271967911156439,0.00547216473794983,0.314451408995329,1.34220811324966,-0.0181858430744919,2243,1928,NA,NA,"25079076"
"BRD-K71182391","A375","trt_cp","down",-0.274431432484714,0.00468130358184425,0.314451408995329,-1.34189400925052,-1.07181678609379,2243,1928,NA,NA,"44620891"
"BRD-K35128023","VCAP","trt_cp","down",-0.277705159646772,0.00340555963251089,0.314451408995329,-1.34137143591189,-1.34137143591189,2243,1928,NA,NA,"54650392"
"BRD-K60202068","A375","trt_cp","up",0.271701389454518,0.00547216473794983,0.314451408995329,1.34089278310959,-0.0215601043765937,2243,1928,NA,NA,"24747276"
"U0126","SKB","trt_cp","down",-0.277513820993572,0.00340555963251089,0.314451408995329,-1.33879146990019,-0.0336144609486092,2243,1928,"MAP2K1; MAP3K1; MAP3K2",NA,"3006531"
"BRD-K94287906","A375","trt_cp","up",0.27118506559316,0.00591107026757636,0.314451408995329,1.33834463662852,0.0170016415014561,2243,1928,NA,NA,"25105719"
"BRD-K05778745","NPC","trt_cp","down",-0.272142577520839,0.00547216473794983,0.314451408995329,-1.33823941369123,-0.863195468716992,2243,1928,NA,NA,"54651287"
"RS-67333","PHH","trt_cp","down",-0.269254319699883,0.0068820108527231,0.314451408995329,-1.33636803049537,-0.0288540584305904,2243,1928,"HTR4","Serotonin receptor partial agonist","183782"
"DPO-1","MCF7","trt_cp","down",-0.27401447026586,0.00468130358184425,0.314451408995329,-1.33568705116463,0.941803181516336,2243,1928,"KCNA5","Potassium channel blocker","21678144"
"dipropyl-dopamine","HA1E","trt_cp","up",0.26840672589448,0.007416722294151,0.314451408995329,1.33528185206027,0,2243,1928,NA,"Dopamine receptor agonist","NotFound"
"SB-590885","MDAMB231","trt_cp","down",-0.27278277449993,0.00506602861626627,0.314451408995329,-1.3348286394822,-0.0387307676152031,2243,1928,"BRAF","RAF inhibitor","11316960"
"BRD-K79342257","VCAP","trt_cp","up",0.274373721177265,0.00468130358184425,0.314451408995329,1.33447626473173,0.954587557846227,2243,1928,NA,NA,"9795907"
"fraxetin","NPC","trt_cp","down",-0.271329730478412,0.00591107026757636,0.314451408995329,-1.33424230320823,0,2243,1928,NA,"Antioxidant","5273569"
"BRD-K16051505","SKB","trt_cp","down",-0.27653945621659,0.00369260746091965,0.314451408995329,-1.33409090670905,0,2243,1928,NA,NA,"16253428"
"menadione","PHH","trt_cp","up",0.268863840240334,0.0068820108527231,0.314451408995329,1.3336293234643,0,2243,1928,"AOX1; BGLAP; CDC25A; F10; F2; F7; F9; GGCX; NQO1; NQO2; PKM; PROC; PROS1; PROZ; RP11-196G11.1; VKORC1; VKORC1L1","Mitochondrial DNA polymerase inhibitor; Phosphatase inhibitor","4055"
"YM-90709","HA1E","trt_cp","down",-0.273529944855806,0.00468130358184425,0.314451408995329,-1.33326110645068,0.0258889404725539,2243,1928,"CSF2RB; IL5RA","IL5 inhibitor","1103147"
"RS-I-002-6","A549","trt_cp","down",-0.267258214675043,0.00798516054986283,0.314451408995329,-1.33313229940697,0,2243,1928,NA,NA,"60188101"
"BRD-K52111234","MCF7","trt_cp","down",-0.273302458152635,0.00506602861626627,0.314451408995329,-1.33221633898295,-1.13229308288501,2243,1928,NA,NA,"44492530"
"glafenine","PC3","trt_cp","up",0.271721723435332,0.00547216473794983,0.314451408995329,1.33204545184202,0.892470452734153,2243,1928,NA,NA,"3474"
"skatole","PC3","trt_cp","up",0.271669229517397,0.00547216473794983,0.314451408995329,1.33178811399008,0,2243,1928,"F2","Thrombin inhibitor","6736"
"BRD-K40087974","PHH","trt_cp","down",-0.268287159054924,0.007416722294151,0.314451408995329,-1.33156780085479,0,2243,1928,NA,NA,"2769229"
"BRD-K28083085","HT29","trt_cp","up",0.268003786444738,0.007416722294151,0.314451408995329,1.33110499767597,0.0246391267375627,2243,1928,NA,NA,"54615026"
"triprolidine","VCAP","trt_cp","up",0.273670890238548,0.00468130358184425,0.314451408995329,1.33105789360708,0,2243,1928,"HRH1","Histamine receptor antagonist","5282443"
"BRD-A12083771","HT29","trt_cp","down",-0.264345155944506,0.00993996670575931,0.314451408995329,-1.33077247463098,0,2243,1928,NA,NA,"16190867"
"isoflupredone-acetate","MCF7","trt_cp","up",0.2705372729725,0.00591107026757636,0.314451408995329,1.33077139772677,0.0278449890714933,2243,1928,NA,NA,"224246"
"dibenzepin","PHH","trt_cp","down",-0.268122674863596,0.007416722294151,0.314451408995329,-1.33075142986747,-0.0320186047027857,2243,1928,NA,"Norepinephrine reuptake inhibitor","9419"
"aniracetam","PC3","trt_cp","down",-0.272964884326113,0.00506602861626627,0.314451408995329,-1.33066601099899,0,2243,1928,"GRIA1; GRIA3; GRIA4","Glutamate receptor agonist","2196"
"BRD-K59754458","PC3","trt_cp","up",0.271249025259096,0.00591107026757636,0.314451408995329,1.32972817132507,0.013297281713251,2243,1928,NA,NA,"53338838"
"radicicol","SKB","trt_cp","down",-0.27555263443085,0.00400060943265449,0.314451408995329,-1.32933024799905,-0.359864917409021,2243,1928,"ACLY; DLAT; HSP90AB1; HSP90B1; MAP3K7; OPRM1; PDK3","HSP inhibitor","5311380"
"BRD-A99518825","PHH","trt_cp","up",0.267827116800577,0.007416722294151,0.314451408995329,1.32848692581668,0,2243,1928,NA,NA,"4207918"
"BRD-K75843415","NEU","trt_cp","up",0.273499774448823,0.00506602861626627,0.314451408995329,1.32844109204778,0.0204191128514484,2243,1928,NA,NA,"54657789"
"isoliquiritigenin","MCF7","trt_cp","up",0.270059862025387,0.00637667437857474,0.314451408995329,1.32842301583321,1.10607511025685,2243,1928,"AKR1B1; HRH2; SIRT1","Guanylate cyclase activator","638278"
"BRD-K65342895","SKB","trt_cp","up",0.274464306793182,0.00468130358184425,0.314451408995329,1.32810468365943,0,2243,1928,NA,NA,"6731816"
"phorbol-12-myristate-13-acetate","MCF7","trt_cp","up",0.269988782452752,0.00637667437857474,0.314451408995329,1.32807337579587,0,2243,1928,"CD4; KCNT2; PRKCA; TRPV4","PKC activator","4792"
"BRD-K93367411","MCF7","trt_cp","down",-0.272400961615858,0.00547216473794983,0.314451408995329,-1.32782198254742,-0.0288095198398134,2243,1928,NA,NA,"40482356"
"myriocin","A375","trt_cp","up",0.268924507302819,0.0068820108527231,0.314451408995329,1.32718839519964,0.696254015572081,2243,1928,"AKT1; SPTLC1; SPTLC2; SPTLC3","Serine palmitoyltransferase inhibitor","73707382"
"BRD-K39187410","HCC515","trt_cp","up",0.267984572229335,0.007416722294151,0.314451408995329,1.32592887279358,-0.0246456619953029,2243,1928,NA,NA,"11957531"
"TMPH","HT29","trt_cp","up",0.266807358401629,0.00798516054986283,0.314451408995329,1.32516265123128,0.0184210308630636,2243,1928,NA,NA,"17250"
"BRD-K01614657","MCF7","trt_cp","up",0.269005577628841,0.0068820108527231,0.314451408995329,1.32323699652956,0,2243,1928,NA,NA,"24869085"
"ritodrine","HT29","trt_cp","up",0.266366048125716,0.0085973783864387,0.314451408995329,1.32297077804327,0.324997575649899,2243,1928,"ADRB2","Adrenergic receptor agonist","31729"
"hydroxycholesterol","MCF7","trt_cp","down",-0.271350999747031,0.00591107026757636,0.314451408995329,-1.32270392994586,0,2243,1928,"ABCA1; NR1H2; NR1H3","LXR agonist","73707416"
"BRD-K95786246","A375","trt_cp","down",-0.270503446758115,0.00591107026757636,0.314451408995329,-1.32268724249198,-0.0184281449995218,2243,1928,NA,NA,"54631580"
"phenylalanyltyrosine","A549","trt_cp","up",0.266351732237285,0.0085973783864387,0.314451408995329,1.32236571479073,0,2243,1928,NA,NA,"515709"
"anisomycin","NEU","trt_cp","down",-0.275781723579111,0.00400060943265449,0.314451408995329,-1.32224864556277,-1.13772358114091,2243,1928,"NHP2L1; RPL10L; RPL11; RPL13A; RPL15; RPL19; RPL23; RPL23A; RPL26L1; RPL3; RPL37; RPL8; RSL24D1; SNU13","DNA synthesis inhibitor","31549"
"emetine","NPC","trt_cp","down",-0.268865202735842,0.0068820108527231,0.314451408995329,-1.32212318465175,-1.08825780990922,2243,1928,"MRPS7; RPS11; RPS12; RPS13; RPS14; RPS15; RPS15A; RPS16; RPS19; RPS2; RPS20; RPS21; RPS23; RPS24; RPS25; RPS27; RPS27L; RPS28; RPS29; RPS3; RPS3A; RPS5; RPS6; RPS7; RPS8; RPSA; RPSAP58; RSRC1","Protein synthesis inhibitor","10219"
"piperlongumine","A549","trt_cp","down",-0.264954153013293,0.00925109108420132,0.314451408995329,-1.32163922322654,0,2243,1928,NA,"Glutathione transferase inhibitor","637858"
