"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"morphothebaine","PHH","trt_cp","down",-0.300580909696494,0.000457096250104825,0.0011689657913087,-0.677294639998607,0,12,12,NA,"Adrenergic receptor antagonist","5351542"
"proxyfan","HCC515","trt_cp","down",-0.26268392928024,0.0106730570928818,0.024653984004045,-0.677276715940394,0.854689197989512,12,12,"HRH3","Histamine receptor modulator","6421522"
"todralazine","MCF7","trt_cp","up",0.256747923050824,0.0161436769251451,0.0369103888941277,0.677156235298607,1.03999895261914,12,12,NA,NA,"5501"
"AG-494","HCC515","trt_cp","up",0.26241542295522,0.0114617205662501,0.0264332227802776,0.677146962462379,-0.0246357579134225,12,12,"EGFR","EGFR inhibitor; Tyrosine kinase inhibitor","5328771"
"SB-202190","SKB","trt_cp","down",-0.25889923614289,0.0141064467869857,0.0323684775585537,-0.677059832131308,-0.805372581951586,12,12,"AKT1; ALOX5; CHEK1; GSK3B; LCK; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; ROCK1; RPS6KB1; SGK1","p38 MAPK inhibitor","5353940"
"QL-X-138","NPC","trt_cp","up",0.264347466395569,0.00993996670575931,0.0230091729174369,0.676802326172079,-0.682803873390245,12,12,"BTK; MKNK2; MTOR; PRKDC","MTOR inhibitor","73707530"
"BRD-K25774147","VCAP","trt_cp","up",0.276832822562222,0.00369260746091965,0.00877806064939083,0.676666476312752,-0.280668205506927,12,12,NA,NA,"17425317"
"BRD-K78843060","A375","trt_cp","down",-0.274267525735525,0.00468130358184425,0.0110614421002229,-0.676617938418328,-1.02686153194867,12,12,NA,NA,"56643191"
"AZD-5438","HS578T","trt_cp","down",-0.285899765583481,0.00174604805509647,0.00425390364311157,-0.676617644336471,-0.713000332409334,12,12,NA,NA,"16747683"
"FCCP","PHH","trt_cp","down",-0.300275151482279,0.000502137866600136,0.00127796687143356,-0.676605679412811,-0.250344101382739,12,12,NA,"Mitochondrial oxidative phosphorylation uncoupler","3330"
"aminogenistein","ASC","trt_cp","up",0.247162866802058,0.0304563795009032,0.0685634063066282,0.676582014832244,0,12,12,"LCK","SRC inhibitor","125519"
"cinacalcet","NEU","trt_cp","up",0.266830226774657,0.00798516054986283,0.0185918552147885,0.676579871708403,0.243568753815025,12,12,"CASR","Calcium channel activator","156418"
"heliotrine","A375","trt_cp","up",0.266356148567926,0.0085973783864387,0.0199757885194993,0.676475230024182,0,12,12,NA,"Pyrrolizidine alkaloid","906426"
"BRD-K11987803","NPC","trt_cp","up",0.264214041501897,0.00993996670575931,0.0230091729174369,0.676460721693557,-0.302114037617787,12,12,NA,NA,"6166563"
"BRD-K32581454","MCF7","trt_cp","down",-0.271323186988247,0.00591107026757636,0.013880187277949,-0.676389331045016,-0.872905836196717,12,12,NA,NA,"54657690"
"verteporfin","MCF7","trt_cp","down",-0.27129641628466,0.00591107026757636,0.013880187277949,-0.676322593592565,-0.881747467738149,12,12,NA,"Photosensitizing agent","11980942"
"CGP-60474","ASC","trt_cp","down",-0.259415115145652,0.0141064467869857,0.0323684775585537,-0.676299364760053,-0.473409555332037,12,12,"CDK1; CDK2","CDK inhibitor","644215"
"palbociclib","VCAP","trt_cp","down",-0.268765863006463,0.0068820108527231,0.0160935116399218,-0.676283898855617,-0.719736589674674,12,12,"CCND3; CDK4; CDK6","CDK inhibitor","5330286"
"BRD-K69040870","A549","trt_cp","down",-0.267585840487174,0.007416722294151,0.0172981572142714,-0.676265113661841,0,12,12,NA,NA,"54651449"
"SA-1459020","MCF7","trt_cp","down",-0.271246094512395,0.00591107026757636,0.013880187277949,-0.676197145007587,0.628519623884933,12,12,NA,NA,"54657758"
"BRD-K23438281","VCAP","trt_cp","down",-0.268722503943942,0.0068820108527231,0.0160935116399218,-0.676174796324796,-0.242418378852104,12,12,NA,NA,"54648908"
"BRD-A93048969","PC3","trt_cp","up",0.25651710863655,0.0161436769251451,0.0369103888941277,0.675799984436245,-0.00838361995449717,12,12,NA,NA,"23581798"
"KU-C104253","A375","trt_cp","down",-0.273915767111806,0.00468130358184425,0.0110614421002229,-0.675750149954626,-0.67794087709559,12,12,NA,NA,"44630541"
"lamotrigine","HA1E","trt_cp","up",0.26566408455752,0.0085973783864387,0.0199757885194993,0.675704790520514,-0.0254299783000557,12,12,"ADORA1; ADORA2A; ADRB1; CACNA1E; CHRM4; CHRM5; DRD1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; HTR3A; OPRK1; SCN10A; SCN11A; SCN1A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A","Serotonin receptor antagonist; Sodium channel blocker","3878"
"BRD-K72343629","NEU","trt_cp","up",0.266458999801586,0.0085973783864387,0.0199757885194993,0.675638581432369,-0.0151746279444559,12,12,NA,NA,"60190977"
"estradiol","NPC","trt_cp","down",-0.275216807872723,0.00432997897318083,0.0102518554194486,-0.675602704269894,0,12,12,"ATP6; BECN1; BPNT1; CHRNA4; CYP2A6; CYP2B6; CYP2C8; CYP2E1; CYP3A5; CYP3A7; ESR1; ESR2; ESRRA; ESRRB; ESRRG; GPER1; HSD17B1; HSD17B11; HSD17B12; HSD17B2; HSD17B6; HSD17B7; HSD17B8; KCNMA1; NCOA2; NR1I2; SHBG; SULT1A1; SULT1E1; UGT1A1; UGT1A10; UGT1A3; UGT1A4; UGT1A5; UGT1A6; UGT1A7; UGT1A8; UGT1A9; UGT2A2; UGT2A3; UGT2B10; UGT2B11; UGT2B15; UGT2B17; UGT2B4; UGT2B7","Contraceptive agent; Estrogen receptor agonist","5757"
"WYE-354","NPC","trt_cp","down",-0.275188739231439,0.00432997897318083,0.0102518554194486,-0.675533801319878,-0.243192168475156,12,12,"MTOR","MTOR inhibitor","44219749"
"MW-STK33-4A","MCF7","trt_cp","up",0.256125547431247,0.0172592511454823,0.039390452207081,0.675514759385242,0,12,12,NA,NA,"6173479"
"MD-II-038","NPC","trt_cp","up",0.263829477944737,0.00993996670575931,0.0230091729174369,0.675476133062556,0,12,12,NA,NA,"NotFound"
"GR-113808","PHH","trt_cp","up",0.270441921458851,0.00637667437857474,0.0149399157655764,0.675344486501657,0.678127281035187,12,12,"HTR4","Serotonin receptor antagonist","119376"
"ATPA","MCF7","trt_cp","down",-0.270876989787236,0.00591107026757636,0.013880187277949,-0.675276993284073,-0.896528655367667,12,12,"GRIK1","Glutamate receptor agonist","2253"
"anacardic-acid","NPC","trt_cp","down",-0.275079311028718,0.00432997897318083,0.0102518554194486,-0.675265176775275,-0.903215099795764,12,12,NA,NA,"167551"
"CG-930","VCAP","trt_cp","down",-0.268337764934343,0.007416722294151,0.0172981572142714,-0.67520669422082,0,12,12,"MAPK8","JNK inhibitor","57394468"
"BRD-A39121618","PC3","trt_cp","down",-0.271572551810949,0.00547216473794983,0.0128785170634108,-0.675165038176233,0,12,12,NA,NA,"2793096"
"BRD-K13842623","PC3","trt_cp","down",-0.271568813002674,0.00547216473794983,0.0128785170634108,-0.675155743007724,-0.0135031148601545,12,12,NA,NA,"44142063"
"BRD-K69295800","A549","trt_cp","down",-0.267126074987682,0.00798516054986283,0.0185918552147885,-0.675103156186043,-0.681695114108247,12,12,NA,NA,"44616949"
"BRD-K34079378","PHH","trt_cp","down",-0.299604012055043,0.000502137866600136,0.00127796687143356,-0.675093410595681,-0.935586724460513,12,12,NA,NA,"11052947"
"avrainvillamide-analog-2","HCC515","trt_cp","down",-0.261809108642479,0.0114617205662501,0.0264332227802776,-0.675021170082665,-0.676719027819165,12,12,"NPM1","nucleophosmin inhibitor","73707608"
"hemado","VCAP","trt_cp","down",-0.268216509546842,0.007416722294151,0.0172981572142714,-0.674901584541715,0,12,12,"ADORA1; ADORA2A; ADORA2B; ADORA3","Adenosine receptor agonist","4043357"
"nocodazole","PC3","trt_cp","up",0.256176059849568,0.0172592511454823,0.039390452207081,0.674901483879462,0.249713549035401,12,12,"HPGDS","Tubulin inhibitor","4122"
"BRD-K34974324","PC3","trt_cp","up",0.256173706686346,0.0172592511454823,0.039390452207081,0.674895284419016,-0.588519117213823,12,12,NA,NA,"44490640"
"dorzolamide","PC3","trt_cp","down",-0.271441278749477,0.00591107026757636,0.013880187277949,-0.674838676101093,0.463986040058537,12,12,"CA1; CA14; CA3; CA4; CA6; CA7",NA,"5284549"
"somatostatin","A549","trt_cp","up",0.258031904520313,0.0150961655919563,0.03458594077192,0.674789782490454,0,12,12,"GH1; GHR; OPRD1; OPRM1; SSTR1; SSTR2; SSTR3; SSTR4; SSTR5","Somatostatin receptor agonist","16129706"
"foretinib","MDAMB231","trt_cp","up",0.244600793434157,0.0342699465493095,0.0769449708628136,0.674758626386272,0.236165519235195,12,12,"ABL2; ALK; AURKC; AXL; BLK; BTK; CDK14; CDK15; CDK19; CDK7; CHEK2; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA7; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; FER; FGR; FLT4; FYN; HCK; HGF; HIPK3; HIPK4; INSRR; ITK; KDR; MAP2K1; MAP2K2; MAP2K5; MAP3K12; MAP3K13; MAP3K19; MAP4K1; MAP4K5; MAPK13; MAPK15; MERTK; MKNK1; MKNK2; MLTK; MST1R; MUSK; NTRK1; NTRK2; NTRK3; PDGFRA; PIP4K2C; PLK4; PTK2B; PTK6; RET; RIPK2; ROS1; SLK; SRMS; STK10; TEK; TIE1; TNK1; TYRO3; YES1",NA,"42642645"
"BRD-K71879957","A549","trt_cp","up",0.258009729958718,0.0150961655919563,0.03458594077192,0.674731792887876,0.00674731792887892,12,12,NA,NA,"44237406"
"BRD-K15440898","PC3","trt_cp","down",-0.271378364491485,0.00591107026757636,0.013880187277949,-0.674682262991166,-0.839144817521287,12,12,NA,NA,"46948701"
"HNHA","ASC","trt_cp","down",-0.258784482643448,0.0141064467869857,0.0323684775585537,-0.674655295714972,0,12,12,"HDAC1","HDAC inhibitor","16126782"
"BRD-K13794505","ASC","trt_cp","up",0.246451160586381,0.0323253672338734,0.0726747505797116,0.67463379489289,0.914225338483251,12,12,NA,NA,"1091784"
"BRD-K91836367","VCAP","trt_cp","up",0.275975918883184,0.00400060943265449,0.00949109530158845,0.6745719342434,0.683540837152626,12,12,NA,NA,"44495549"
"BRD-A06276885","NPC","trt_cp","up",0.263472947971825,0.0106730570928818,0.024653984004045,0.674563318128837,-0.0212243604903023,12,12,NA,NA,"4257102"
"BRD-K53592093","VCAP","trt_cp","down",-0.268039682609203,0.007416722294151,0.0172981572142714,-0.674456642578209,-0.7297243606927,12,12,NA,NA,"44497469"
"pidotimod","MCF7","trt_cp","up",0.255705463450631,0.0172592511454823,0.039390452207081,0.674406814738823,0.677447166657363,12,12,NA,"Interferon receptor agonist; Interleukin receptor agonist","65944"
"BRD-K19668893","VCAP","trt_cp","up",0.275883780792759,0.00400060943265449,0.00949109530158845,0.674346719774952,0.674346719774952,12,12,NA,NA,"54621030"
"BRD-K58628167","PC3","trt_cp","down",-0.271228496225929,0.00591107026757636,0.013880187277949,-0.674309670795966,0,12,12,NA,NA,"3107687"
"BRD-K65567503","VCAP","trt_cp","down",-0.267970686120128,0.007416722294151,0.0172981572142714,-0.674283029701495,-0.451769629900001,12,12,NA,NA,"60185388"
"NNC-05-2090","PC3","trt_cp","down",-0.271174764780593,0.00591107026757636,0.013880187277949,-0.67417608736458,-0.0202252826209373,12,12,"SLC6A11; SLC6A12; SLC6A13","GABA uptake inhibitor; GAT inhibitor","9888030"
"GTP-14564","MCF7","trt_cp","down",-0.270416650809122,0.00637667437857474,0.0149399157655764,-0.674129401082622,0.416791262564337,12,12,"CSF1R; FLT3; KIT; PDGFRB","FLT3 inhibitor; Tyrosine kinase inhibitor","3385203"
"BRD-K59840856","VCAP","trt_cp","up",0.275789110602809,0.00400060943265449,0.00949109530158845,0.674115316058975,-0.0093167103009051,12,12,NA,NA,"3025920"
"pyrvinium-pamoate","PC3","trt_cp","up",0.255853854312458,0.0172592511454823,0.039390452207081,0.674052626280365,0,12,12,"AR","AKT inhibitor","73707397"
"SB-525334","PC3","trt_cp","up",0.255848346288483,0.0172592511454823,0.039390452207081,0.674038115269634,0,12,12,"TGFBR1","TGF beta receptor inhibitor","9967941"
"BRD-K94304934","MCF7","trt_cp","up",0.255545938627066,0.0172592511454823,0.039390452207081,0.673986078213759,-0.00915414972045591,12,12,NA,NA,"5370029"
"RAN-14B","SKB","trt_cp","up",0.257826348251504,0.0150961655919563,0.03458594077192,0.673880833397918,-0.732916854790001,12,12,NA,NA,"839770"
"RAN-27","MCF7","trt_cp","down",-0.270291981779775,0.00637667437857474,0.0149399157655764,-0.673818610094584,0.316094679753586,12,12,NA,NA,"46238422"
"RS-45041-190","SKB","trt_cp","down",-0.25763147064206,0.0150961655919563,0.03458594077192,-0.673744437655984,-0.67875596013627,12,12,NA,"Imidazoline receptor agonist","127951"
"trifluoperazine","FIBRNPC","trt_cp","down",-0.255150451175702,0.0184415609396317,0.0419991265445122,-0.673694301481404,0,12,12,"ABCG2; ADCY10; ADRA1A; ANXA7; CALM1; CALM2; CALM3; CALY; CAMK2A; DHCR24; DRD4; EBP; EBPL; HRH1; MYLK3; S100A4; SCN4A; SCN9A; SEC23IP; TNNC1","Dopamine receptor antagonist","5566"
"metoclopramide","MCF7","trt_cp","down",-0.270204806077082,0.00637667437857474,0.0149399157655764,-0.673601287292643,-0.594559859077261,12,12,"ACHE; CHRM1; HTR3A; HTR3B; HTR4","Dopamine receptor antagonist; Serotonin receptor antagonist","4168"
"BRD-K93340102","PC3","trt_cp","up",0.255679181843037,0.0172592511454823,0.039390452207081,0.673592447804383,-0.608862688921464,12,12,NA,NA,"54616268"
"BRD-K39144410","PC3","trt_cp","up",0.255609746749445,0.0172592511454823,0.039390452207081,0.673409519517773,0.451184378076908,12,12,NA,NA,"54625397"
"mepivacaine","A549","trt_cp","up",0.257438210834507,0.0161436769251451,0.0369103888941277,0.673237189861044,0.677703719818426,12,12,"SCN10A; SCN9A","Potassium channel blocker; Sodium channel blocker","4062"
"BRD-K21064560","A549","trt_cp","down",-0.266364713034327,0.0085973783864387,0.0199757885194993,-0.673178979155652,0,12,12,NA,NA,"16759163"
"SA-1920722","MCF7","trt_cp","up",0.255204380255956,0.0184415609396317,0.0419991265445122,0.673085239842926,0.673085239842926,12,12,NA,NA,"54668530"
"TUL-XVIII076","PC3","trt_cp","up",0.255480889190868,0.0184415609396317,0.0419991265445122,0.673070041435615,0.242305214916822,12,12,NA,NA,"73707370"
"4,5,6,7-tetrabromobenzotriazole","ASC","trt_cp","up",0.245755907796754,0.0323253672338734,0.0726747505797116,0.67273061445438,0,12,12,"AKT1; CHEK1; CSNK2A1; CSNK2A2; CSNK2B; GSK3B; LCK; MAP2K1; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; ROCK1; RPS6KB1; SGK1","Casein kinase inhibitor","1694"
"protriptyline","A549","trt_cp","up",0.257243775315817,0.0161436769251451,0.0369103888941277,0.672728713587117,0,12,12,"SLC6A2; SLC6A4","Tricyclic antidepressant","4976"
"BRD-K07452532","A549","trt_cp","up",0.257238889201329,0.0161436769251451,0.0369103888941277,0.672715935709363,-0.013745670900647,12,12,NA,NA,"44505244"
"BRD-A55317422","NEU","trt_cp","up",0.265302204262369,0.00925109108420132,0.0214545388507043,0.672705388341854,-1.06628634434515,12,12,NA,NA,"23212022"
"BAY-36-7620","HA1E","trt_cp","down",-0.272238094799697,0.00547216473794983,0.0128785170634108,-0.672695342877522,-0.753139083299495,12,12,"GRM1","Glutamate receptor antagonist","9903757"
"BRD-K65997856","HEPG2","trt_cp","down",-0.264647966163088,0.00925109108420132,0.0214545388507043,-0.672676524799058,-0.22871001843168,12,12,NA,NA,"54618712"
"ST-023431","PC3","trt_cp","up",0.255278083341974,0.0184415609396317,0.0419991265445122,0.672535744950461,0.452183886464385,12,12,NA,NA,"6732844"
"aurora-a-inhibitor-i","A549","trt_cp","up",0.257129393946693,0.0161436769251451,0.0369103888941277,0.672429590192527,-0.757429602453328,12,12,NA,NA,"44139710"
"AG-370","ASC","trt_cp","down",-0.25789222766211,0.0150961655919563,0.03458594077192,-0.672329172671817,-0.677035235759556,12,12,"PDGFRB","PDGFR receptor inhibitor","5328748"
"flunixin","MCF7","trt_cp","up",0.254898755000148,0.0184415609396317,0.0419991265445122,0.672279172766801,0.450427045753757,12,12,NA,NA,"38081"
"BRD-K51034923","A375","trt_cp","down",-0.272414452057324,0.00547216473794983,0.0128785170634108,-0.672046405975619,-0.675864417718154,12,12,NA,NA,"54646561"
"PD-102807","SKB","trt_cp","up",0.257113938444806,0.0161436769251451,0.0369103888941277,0.672018807590569,-0.0311561095798983,12,12,"CHRM4","Acetylcholine receptor antagonist","4995951"
"BRD-A13020530","PHH","trt_cp","down",-0.298210798277308,0.000602317384640913,0.00152280891943433,-0.671954102031524,0.459581344932675,12,12,NA,NA,"1543530"
"glipizide","A549","trt_cp","up",0.25694169897459,0.0161436769251451,0.0369103888941277,0.671938741397548,1.04363341911282,12,12,"ABCC8; CYP2C9; KCNJ10; KCNJ11; PPARG","Sulfonylurea","3478"
"BRD-K12411950","NEU","trt_cp","down",-0.273544364546002,0.00468130358184425,0.0110614421002229,-0.671935172315246,-0.811772124373656,12,12,NA,NA,"44484018"
"BRD-K75329208","MCF7","trt_cp","down",-0.269526942023071,0.00637667437857474,0.0149399157655764,-0.671911420609586,0.974685351871683,12,12,NA,NA,"2222011"
"BRD-K88899793","NPC","trt_cp","down",-0.273682128800794,0.00468130358184425,0.0110614421002229,-0.671835371383521,-0.674740058932565,12,12,NA,NA,"60189730"
"OSI-027","MDAMB231","trt_cp","down",-0.288679556411966,0.0013420878569151,0.00330194279952837,-0.671806620129147,-0.476982700291695,12,12,"MTOR","MTOR inhibitor","72698550"
"aminomethyltransferase","HCC515","trt_cp","down",-0.260520705716195,0.0122900293658284,0.0283065498689926,-0.671699286992547,-0.731972371425665,12,12,"NOS2","Nitric oxide synthase inhibitor","NotFound"
"plumbagin","FIBRNPC","trt_cp","down",-0.254368146933477,0.019688430384091,0.0447611312323778,-0.671628720536579,0.322119042515546,12,12,NA,NA,"10205"
"NPC-15199","HCC515","trt_cp","up",0.26026405341881,0.0131762177305649,0.030282369575207,0.671595484846054,0,12,12,"ICAM1; PPARG","ICAM1 antagonist","4308"
"BRD-K76425766","A375","trt_cp","up",0.264403664556048,0.00993996670575931,0.0230091729174369,0.671516429267544,0.0134303285853512,12,12,NA,NA,"2047223"
"SA-1457187","A375","trt_cp","down",-0.272198635992576,0.00547216473794983,0.0128785170634108,-0.671513987781319,-0.981313929750859,12,12,NA,NA,"54657735"
"BRD-A12083771","HCC515","trt_cp","up",0.260135891901284,0.0131762177305649,0.030282369575207,0.67126477188216,0,12,12,NA,NA,"16190867"
"butyrolactone","NPC","trt_cp","down",-0.273437057705667,0.00506602861626627,0.0119465522931616,-0.671233770427946,0.461810937659084,12,12,"APAF1",NA,"10081070"
"BRD-K17628612","NPC","trt_cp","up",0.262088922439554,0.0114617205662501,0.0264332227802776,0.671019831548484,0,12,12,NA,NA,"3913840"
"BE-2254","PHH","trt_cp","down",-0.297743825609719,0.000602317384640913,0.00152280891943433,-0.670901879236992,-0.0201270563771096,12,12,NA,NA,"34772"
"BRD-K35961280","NEU","trt_cp","down",-0.273102038916296,0.00506602861626627,0.0119465522931616,-0.670848642352514,0,12,12,NA,NA,"747185"
"JLK-6","ASC","trt_cp","up",0.245054631552088,0.0342699465493095,0.0769449708628136,0.670810945449449,0.679797019795058,12,12,"PSEN1","Anti-amyloidogenic; Gamma secretase inhibitor","3803"
"eplerenone","HCC515","trt_cp","up",0.259955500870148,0.0131762177305649,0.030282369575207,0.670799283850192,0,12,12,"CYP3A5; NR3C2","Cytochrome P450 inhibitor","21865526"
"BRD-K45205755","VCAP","trt_cp","up",0.274398503319922,0.00468130358184425,0.0110614421002229,0.670716234543508,-0.0083541625228468,12,12,NA,NA,"46172935"
"IKK-2-inhibitor","ASC","trt_cp","down",-0.257263928804259,0.0161436769251451,0.0369103888941277,-0.67069118747498,-0.566168601755415,12,12,"IKBKB","IKK inhibitor; SYK inhibitor","2807869"
"BRD-K10283649","FIBRNPC","trt_cp","down",-0.253963535918517,0.019688430384091,0.0447611312323778,-0.67056039346195,-0.959338370890693,12,12,NA,NA,"74865"
"BRD-K93116089","NEU","trt_cp","up",0.264454594016068,0.00993996670575931,0.0230091729174369,0.670556171446028,0.671682899729521,12,12,NA,NA,"54661034"
