"Disease","Rank","Compound","NCS","FDR","Cell_line","Target","MOA"
"AD",15,"palbociclib",-1.779,0.00221,"MCF7","CCND3; CDK4; CDK6","CDK inhibitor"
"AD",16,"purvalanol-a",-1.766,0.00221,"PC3","CCND1; CCNE1; CDK1; CDK2; CDK4; CDK5; CSNK1G3; RPS6KA1; SRC","CDK inhibitor; DYRK inhibitor"
"AD",17,"CAM-9-027-3",-1.763,0.00221,"MCF7","-","-"
"AD",18,"mibefradil",-1.758,0.00221,"A549","ANO1; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CYP3A5; CYP3A7; SCN2A; SCN4A; SCN5A; SCN9A","T-type calcium channel blocker"
"AD",19,"BG-1008",-1.753,0.00221,"FIBRNPC","-","-"
"AD",20,"etoposide",-1.731,0.00221,"MCF7","ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor"
"HS",1,"BRD-K18542345",-1.541,0.314,"NEU","-","-"
"HS",2,"QL-X-138",-1.507,0.314,"HS578T","BTK; MKNK2; MTOR; PRKDC","MTOR inhibitor"
"HS",3,"epoxycholesterol",-1.49,0.314,"MCF7","NR1H2; NR1H3","LXR agonist"
"HS",4,"homoharringtonine",-1.461,0.314,"ASC","RPL3","Protein synthesis inhibitor"
"HS",5,"JNJ-38877605",-1.456,0.314,"SKBR3","MET","Tyrosine kinase inhibitor"
"HS",6,"aminopentamide",-1.446,0.314,"HCC515","-","Acetylcholine receptor antagonist"
"HS",7,"BRD-K88217904",-1.445,0.314,"MCF7","-","-"
"HS",8,"aminomethyltransferase",-1.415,0.314,"PC3","NOS2","Nitric oxide synthase inhibitor"
"HS",9,"cephaeline",-1.413,0.314,"HA1E","RPS2","Protein synthesis inhibitor"
"HS",10,"BRD-K83727172",-1.406,0.314,"VCAP","-","-"
"HS",11,"cyanopindolol",-1.404,0.314,"FIBRNPC","HTR1D","Adrenergic receptor antagonist"
"HS",12,"demeclocycline",-1.4,0.314,"PC3","-","Bacterial 30S ribosomal subunit inhibitor"
"HS",13,"BRD-K62919978",-1.399,0.314,"NEU","-","-"
"HS",14,"BRD-K13060097",-1.399,0.314,"NPC","-","-"
"HS",15,"BML-257",-1.396,0.314,"PC3","AKT1","AKT inhibitor; HCV inhibitor"
"HS",16,"L-733060",-1.394,0.314,"PC3","TACR1","Tachykinin antagonist"
"HS",17,"BRD-K82096551",-1.393,0.314,"NEU","-","-"
"HS",18,"BRD-K60202068",-1.39,0.314,"VCAP","-","-"
"HS",19,"mesulergine",-1.386,0.314,"A549","HTR2B; HTR3A; HTR3B; HTR6; HTR7","Dopamine receptor agonist"
"HS",20,"MDM2-inhibitor",-1.384,0.314,"PC3","MDM2","MDM inhibitor"
"VL",1,"erythrosine",-1.991,0.000433,"HCC515","-","Coloring agent"
"VL",2,"BRD-K00429057",-1.9,0.000433,"MCF7","-","-"
"VL",3,"cytochalasin-d",-1.899,0.000433,"A549","ACTB","Actin polymerization inhibitor"
"VL",4,"PPT",-1.898,0.000433,"PC3","ESR1","Estrogen receptor agonist"
"VL",5,"simvastatin",-1.895,0.000433,"A549","APOA1; APOE; COG2; CYP2C8; CYP3A4; CYP3A5; HMGCR; ITGAL; ITGB2; LDLR; PON1","HMGCR inhibitor"
"VL",6,"BRD-K14383710",-1.86,0.000433,"VCAP","-","-"
"VL",7,"BRD-K56664261",-1.85,0.000433,"VCAP","-","-"
"VL",8,"BRD-K00289828",-1.835,0.000433,"MCF7","-","-"
"VL",9,"SD-6-035-A9",-1.834,0.000433,"MCF7","-","-"
"VL",10,"sappanone-a",-1.832,0.000433,"MCF7","-","Melanin inhibitor; Tyrosinase inhibitor"
"VL",11,"BRD-K63513868",-1.828,0.000433,"HL60","-","-"
"VL",12,"BRD-K44070326",-1.826,0.000433,"VCAP","-","-"
"VL",13,"BRD-A68061604",-1.807,0.000433,"MCF7","-","-"
"VL",14,"BRD-K49477330",-1.807,0.000433,"A549","-","-"
"VL",15,"MW-SHH-28",-1.805,0.000433,"PC3","-","-"
"VL",16,"BRD-K83151319",-1.795,0.000433,"PC3","-","-"
"VL",17,"BRD-K35046132",-1.788,0.000433,"A375","-","-"
"VL",18,"pazufloxacin",-1.788,0.000433,"PC3","-","Topoisomerase inhibitor"
"VL",19,"BRD-K79758054",-1.776,0.000433,"A375","-","-"
"VL",20,"SN-38",-1.774,0.000433,"A549","TOP1","Topoisomerase inhibitor"
"CSU",1,"atorvastatin",-2.189,0.000465,"HA1E","AHR; APOA1; APOB; APOE; CCL2; CD40LG; CETP; CRP; CYP3A5; DPP4; FASLG; HMGCR; IL6; LDLR; LPL; MTTP; PON1; RHOA; SERPINE1; SLCO1B1; VCAM1","HMGCR inhibitor"
"CSU",2,"lovastatin",-2.178,0.000465,"HA1E","APOA1; APOB; CYP2C9; CYP3A5; HDAC2; HMGCR; ITGAL; LDLR; LMNA; NR1I2; RAF1; RASD1; RHOA; RHOB","HMGCR inhibitor"
"CSU",3,"rosuvastatin",-2.138,0.000465,"HA1E","APOB; CRP; HMGCR; SLCO1B1","HMGCR inhibitor"
"CSU",4,"LY-364947",-2.084,0.000465,"MCF7","TGFBR1","p38 MAPK inhibitor; TGF beta receptor inhibitor"
"CSU",5,"AS-605240",-2.061,0.000465,"A375","MAOB; PIK3CA; PIK3CB; PIK3CD; PIK3CG","PI3K inhibitor"
"CSU",6,"UNC-0321",-2.03,0.000465,"HT29","EHMT2","Histone lysine methyltransferase inhibitor"
"CSU",7,"midostaurin",-2.03,0.000465,"ASC","AAK1; AURKC; BCR; BRSK1; BRSK2; CAMK2A; CAMK2D; CAMKK1; CAMKK2; CCNB1; CLK4; CUX1; EIF2AK4; FER; FGFR1OP; FGFR1OP2; FGR; FLT1; FLT3; FLT4; GRK1; GRK7; GSK3A; HCK; IKBKE; KDR; KIT; LIMK1; LRRK2; MAP3K10; MAP3K11; MAP3K19; MAP3K2; MAP3K3; MAP3K7; MAP3K9; MAP4K2; MAP4K4; MAP4K5; MARK1; MARK2; MARK3; MARK4; MELK; MINK1; MST4; MYLK; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; PDGFRA; PDGFRB; PHKG1; PKN1; PKN2; PLK4; PRKCA; PRKCB; PRKCE; PRKCG; PRKCH; PRKG1; PRKG2; PRPF4B; RET; ROS1; RPS6KA1; RPS6KA2; RPS6KA3; RPS6KA4; RPS6KA5; RPS6KA6; RPS6KB1; SIK2; SLK; SRPK1; SRPK3; STK10; STK3; STK4; TBK1; TNK1; TNK2; TSSK1B; TYK2; VEGFA; YES1; ZMYM2","FLT3 inhibitor; KIT inhibitor; PKC inhibitor"
"CSU",8,"BMS-536924",-2.01,0.000465,"A375","AKT1; CCNE1; CDK2; CYP3A4; ERBB2; IGF1R; INSR; KDR; LCK; MET; PDGFRA; PDGFRB; RET","IGF-1 inhibitor"
"CSU",9,"vemurafenib",-2.003,0.000465,"A375","BRAF; CYP3A4; CYP3A5; RAF1","RAF inhibitor"
"CSU",10,"mycophenolate-mofetil",-2.001,0.000465,"MCF7","HCAR2; IMPDH1; IMPDH2","Dehydrogenase inhibitor; Hydroxycarboxylic acid receptor agonist; Immunosuppressant; Inosine monophosphate dehydrogenase inhibitor; Inositol monophosphatase inhibitor"
"CSU",11,"NVP-AUY922",-2.001,0.000465,"MCF7","HSP90AA1; HSP90AA2; HSP90AB1; HSP90B1; TRAP1","HSP inhibitor"
"CSU",12,"PP-1",-1.999,0.000465,"MCF7","HCK; RET; SRC","ABL inhibitor; SRC inhibitor"
"CSU",13,"PI-828",-1.995,0.000465,"HA1E","-","PI3K inhibitor"
"CSU",14,"fluvastatin",-1.994,0.000465,"HA1E","APOA1; APOB; APOE; CYBA; CYP2C8; CYP2C9; F3; HMGCR; ICAM1; LDLR; RHOA; SELP; SERPINE1","HMGCR inhibitor"
"CSU",15,"PU-H71",-1.984,0.000465,"ASC","HSP90AA1","HSP inhibitor"
