"connected_disease","skin_disease","overlap_n","drugs"
"Obesity","CSU",3,"tyrphostin-AG-1478;tivozanib;SB-216641"
"Optic Atrophy","HS",3,"AS-605240;TG-101348;tetrabenazine"
"Optic Atrophy","VL",3,"WT-171;BRD-K22052171;BRD-K05978741"
"Rheumatoid Arthritis","SLS",3,"methylergometrine;BRD-K30958640;dipropyl-5ct"
"Spontaneous abortion","HS",3,"fraxetin;homoharringtonine;AS-605240"
"Spontaneous abortion","VL",3,"amsacrine;BRD-K59633395;phorbol-12-myristate-13-acetate"
"Amyotrophic Lateral Sclerosis","SLS",2,"BRD-K61529775;BRD-K91946056"
"Anemia, Diamond-Blackfan","VL",2,"olomoucine;oxyphenonium"
"Atherosclerosis","HS",2,"BRD-K13060097;anisomycin"
"Atherosclerosis","VL",2,"BRD-K88198340;IBC-293"
"Chronic Obstructive Airway Disease","VL",2,"phorbol-12-myristate-13-acetate;quercetin"
"Dermatitis, Allergic Contact","VL",2,"avicin-g;BRD-K14383710"
"Frontotemporal Lobar Degeneration","PS",2,"AS-605240;aminopurvalanol-a"
"HIV Infections","VL",2,"dichlorobenzamil;wortmannin"
"Infarction, Middle Cerebral Artery","VL",2,"BRD-K00366212;amsacrine"
"Liver carcinoma","HS",2,"palbociclib;TG-101348"
"Lymphoma","HS",2,"MDM2-inhibitor;W-7"
"Lymphoma","SLS",2,"isamoltane;BRD-K84024786"
"Multiple Sclerosis","AD",2,"TG-101348;sulconazole"
"Multiple Sclerosis","HS",2,"AS-605240;TG-101348"
"Myocardial Ischemia","VL",2,"WH-4023;pitavastatin"
"Obesity","PS",2,"tyrphostin-AG-1478;JAK3-inhibitor-I"
"Osteoporosis","PS",2,"PI-828;PP-110"
"Osteoporosis","AD",2,"estradiol-benzoate;gestrinone"
"Osteoporosis","HS",2,"varenicline;BML-257"
"Osteoporosis","CSU",2,"PI-828;PP-110"
"Rheumatoid Arthritis","AD",2,"CVF-SUMO-14;fludroxycortide"
"Rheumatoid Arthritis","VL",2,"phorbol-12-myristate-13-acetate;PPT"
"Spontaneous abortion","SLS",2,"ZK-93423;lovastatin"
"Amyotrophic Lateral Sclerosis","PS",1,"BMS-536924"
"Amyotrophic Lateral Sclerosis","AD",1,"BMS-536924"
"Amyotrophic Lateral Sclerosis","CSU",1,"BMS-536924"
"Anemia, Diamond-Blackfan","PS",1,"entinostat"
"Anemia, Diamond-Blackfan","SLS",1,"BRD-K83213280"
"Chronic Obstructive Airway Disease","CSU",1,"BRD-K43226598"
"Endometriosis","HS",1,"BRD-K91836367"
"Endometriosis","SLS",1,"vemurafenib"
"Frontotemporal Lobar Degeneration","AD",1,"aminopurvalanol-a"
"Frontotemporal Lobar Degeneration","VL",1,"WT-171"
"HIV Infections","HS",1,"MD-II-008-P"
"Influenza","CSU",1,"cytochalasin-b"
"Influenza","SLS",1,"perphenazine"
"Lymphoma","VL",1,"BRD-K69406317"
"Lymphoma","CSU",1,"methotrexate"
"Myocardial Ischemia","HS",1,"SA-1447005"
"Myocardial Ischemia","SLS",1,"TPCA-1"
"Obesity","VL",1,"amsacrine"
"Optic Atrophy","SLS",1,"methylergometrine"
"Osteoporosis","SLS",1,"ecopipam"
"Pneumonia","HS",1,"SA-1447005"
"Pneumonia","VL",1,"SDZ-NKT-343"
"Rheumatoid Arthritis","HS",1,"aminomethyltransferase"
"Rheumatoid Arthritis","CSU",1,"LY-364947"
