"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"444","PAK2","208875_s_at",7.64e-08,1.46e-08,5.96,8.609025,1.21,"p21 (RAC1) activated kinase 2","208876_s_at",0.457,0.03720074,2.21,-5.63093,0.637,"p21 (RAC1) activated kinase 2","1559052_s_at",2.05e-05,2.55e-06,6.0100079,4.504322,0.6383961,"p21 (RAC1) activated kinase 2"
"445","PAK3","236277_at",3.3e-09,5.4e-10,-6.59,11.8360064,-0.738,"p21 (RAC1) activated kinase 3","229201_at",0.144,0.00035937,-4.17,-1.17546,-1.48,"p21 (RAC1) activated kinase 3","214078_at",0.0116,0.00449,-3.1154307,-2.828187,-0.87468293,"p21 (RAC1) activated kinase 3"
"446","PALMD","222725_s_at",1.51e-07,3e-08,-5.81,7.9057559,-0.753,"palmdelphin","232187_at",0.453,0.03604899,-2.22,-5.60245,-0.709,"palmdelphin","218736_s_at",0.000102,1.72e-05,-5.2705682,2.603558,-0.75089188,"palmdelphin"
"447","PANX1","204715_at",1.52e-35,1.25e-37,16.7,74.9735865,1.86,"pannexin 1","204715_at",0.296,0.0100686,2.8,-4.41864,0.841,"pannexin 1","204715_at",1.82e-05,2.22e-06,6.0648707,4.643908,0.70502767,"pannexin 1"
"448","PARP14","224701_at",1.4e-28,2.57e-30,14.1,58.2190309,0.929,"poly(ADP-ribose) polymerase family member 14","224701_at",0.217,0.00242764,3.4,-3.05298,0.911,"poly(ADP-ribose) polymerase family member 14","224701_at",0.000131,2.33e-05,5.1561156,2.307189,0.60816052,"poly(ADP-ribose) polymerase family member 14"
"449","PARP8","219033_at",2.25e-20,1.05e-21,11.1,38.5027716,1.19,"poly(ADP-ribose) polymerase family member 8","219033_at",0.189,0.001067,3.73,-2.24978,0.672,"poly(ADP-ribose) polymerase family member 8","219033_at",2.76e-05,3.65e-06,5.8706986,4.148814,0.66108422,"poly(ADP-ribose) polymerase family member 8"
"450","PARP9","227807_at",1.34e-32,1.51e-34,15.6,67.9125818,2.55,"poly(ADP-ribose) polymerase family member 9","223220_s_at",0.255,0.0052148,3.08,-3.79154,1.23,"poly(ADP-ribose) polymerase family member 9","227807_at",0.00199,0.000573,3.9304178,-0.84495,1.0387162,"poly(ADP-ribose) polymerase family member 9"
"451","PARVG","223562_at",2.08e-09,3.31e-10,6.68,12.3148538,1.03,"parvin gamma","223562_at",0.212,0.00205696,3.47,-2.89178,1.03,"parvin gamma","233510_s_at",1.83e-09,1.33e-11,11.4886314,16.627048,1.65952814,"parvin gamma"
"452","PCBD2","1554894_a_at",2.39e-17,1.56e-18,9.91,31.2534545,1.24,"pterin-4 alpha-carbinolamine dehydratase 2","240846_at",0.21,0.0018981,3.5,-2.81344,0.744,"pterin-4 alpha-carbinolamine dehydratase 2","240846_at",1.54e-06,1.08e-07,-7.2831207,7.665788,-1.25403857,"pterin-4 alpha-carbinolamine dehydratase 2"
"453","PCDHGA4","1552735_at",4.39e-13,4.61e-14,-8.24,21.0622922,-0.765,"protocadherin gamma subfamily A, 4","1552735_at",0.507,0.04996366,-2.07,-5.8959,-0.669,"protocadherin gamma subfamily A, 4","1552735_at",0.000137,2.45e-05,-5.1369088,2.257429,-1.17105198,"protocadherin gamma subfamily A, 4"
"454","PCGF3","204564_at",2.72e-09,4.4e-10,6.63,12.036814,0.97,"polycomb group ring finger 3","238084_at",0.349,0.01634516,2.59,-4.87413,0.607,"polycomb group ring finger 3","212753_at",1.03e-05,1.1e-06,-6.3411891,5.342941,-0.61320633,"polycomb group ring finger 3"
"455","PCM1","228905_at",4.66e-22,1.79e-23,-11.7,42.5489924,-0.744,"pericentriolar material 1","228905_at",0.357,0.01729009,-2.56,-4.92655,-0.634,"pericentriolar material 1","228905_at",1.57e-06,1.1e-07,-7.2747934,7.645709,-0.86194142,"pericentriolar material 1"
"456","PDCD6IP","222394_at",1.32e-18,7.56e-20,-10.4,34.2581252,-0.836,"programmed cell death 6 interacting protein","222394_at",0.135,0.00022248,-4.36,-0.69885,-0.603,"programmed cell death 6 interacting protein","222394_at",0.00013,2.31e-05,-5.1578689,2.311731,-0.66880185,"programmed cell death 6 interacting protein"
"457","PDLIM5","203242_s_at",5.3e-13,5.61e-14,8.21,20.8692659,1.05,"PDZ and LIM domain 5","216803_at",0.343,0.01547639,2.61,-4.8231,0.606,"PDZ and LIM domain 5","216803_at",0.000152,2.78e-05,-5.0875404,2.129503,-0.89388604,"PDZ and LIM domain 5"
"458","PDPN","204879_at",6.62e-08,1.25e-08,5.99,8.7553446,0.95,"podoplanin","204879_at",0.469,0.03999474,2.17,-5.69635,0.714,"podoplanin","226658_at",2.9e-09,2.56e-11,11.144628,15.980825,2.59303158,"podoplanin"
"459","PDS5B","215888_at",2.1e-06,4.77e-07,-5.24,5.2128214,-0.841,"PDS5 cohesin associated factor B","204742_s_at",0.209,0.00187057,-3.51,-2.7992,-0.616,"PDS5 cohesin associated factor B","215888_at",0.000145,2.62e-05,-5.1102863,2.188447,-0.89031086,"PDS5 cohesin associated factor B"
"460","PEG10","212094_at",2.48e-16,1.82e-17,-9.52,28.8204991,-1.16,"paternally expressed 10","212094_at",0.289,0.00901307,-2.85,-4.31372,-1.25,"paternally expressed 10","212094_at",0.013,0.00516,3.0584056,-2.960187,0.71996246,"paternally expressed 10"
"461","PELI2","219132_at",2.32e-23,7.7e-25,-12.2,45.6763713,-1.34,"pellino E3 ubiquitin protein ligase family member 2","219132_at",0.281,0.00821505,-2.89,-4.22568,-0.837,"pellino E3 ubiquitin protein ligase family member 2","219132_at",1.59e-06,1.12e-07,-7.2678415,7.62894,-0.68164015,"pellino E3 ubiquitin protein ligase family member 2"
"462","PEX11A","205161_s_at",9.41e-07,2.04e-07,-5.42,6.0358388,-1.13,"peroxisomal biogenesis factor 11 alpha","205160_at",0.144,0.00036705,-4.16,-1.19641,-1.06,"peroxisomal biogenesis factor 11 alpha","205160_at",0.00367,0.00117,-3.6512676,-1.541262,-0.71642593,"peroxisomal biogenesis factor 11 alpha"
"463","PGF","209652_s_at",6.39e-05,1.75e-05,4.42,1.7405931,0.736,"placental growth factor","209652_s_at",0.276,0.00761623,2.92,-4.15367,0.791,"placental growth factor","209652_s_at",1.58e-05,1.86e-06,6.1339718,4.81936,1.28298169,"placental growth factor"
