"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","AACS","218434_s_at",5.54e-20,2.71e-21,-10.9,37.5616901,-0.688,"acetoacetyl-CoA synthetase","218434_s_at",0.229,0.00284086,-3.33,-3.20556,-0.672,"acetoacetyl-CoA synthetase","218434_s_at",0.00094,0.000236,-4.2717545,0.022352,-0.94223024,"acetoacetyl-CoA synthetase"
"2","ABAT","209459_s_at",1.16e-07,2.27e-08,-5.87,8.1756988,-0.88,"4-aminobutyrate aminotransferase","209460_at",0.284,0.00849243,-2.87,-4.25724,-0.676,"4-aminobutyrate aminotransferase","206527_at",0.028,0.0127,2.6783315,-3.80883,0.60666269,"4-aminobutyrate aminotransferase"
"3","ABCA11P","220159_at",4.98e-12,5.88e-13,-7.81,18.5501133,-1,"ATP binding cassette subfamily A member 11, pseudogene","220159_at",0.386,0.02199154,-2.45,-5.14985,-0.618,"ATP binding cassette subfamily A member 11, pseudogene","220159_at",4.32e-06,3.89e-07,-6.7580759,6.38335,-0.87450289,"ATP binding cassette subfamily A member 11, pseudogene"
"4","ABCA8","204719_at",1.59e-09,2.51e-10,-6.73,12.5885796,-0.678,"ATP binding cassette subfamily A member 8","204719_at",0.263,0.00615085,-3.01,-3.94971,-0.885,"ATP binding cassette subfamily A member 8","204719_at",0.00182,0.000517,-3.9699976,-0.745161,-0.9565287,"ATP binding cassette subfamily A member 8"
"5","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9","242541_at",0.486,0.04400347,-2.13,-5.78228,-0.868,"ATP binding cassette subfamily A member 9","242541_at",0.0115,0.00448,-3.1166594,-2.825331,-0.75749303,"ATP binding cassette subfamily A member 9"
"6","ABCC3","209641_s_at",9.14e-06,2.24e-06,-4.9,3.7164705,-0.63,"ATP binding cassette subfamily C member 3","209641_s_at",0.347,0.01592465,-2.6,-4.84979,-0.611,"ATP binding cassette subfamily C member 3","208161_s_at",0.00494,0.00166,-3.5137038,-1.878708,-0.69521272,"ATP binding cassette subfamily C member 3"
"7","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2","207623_at",0.296,0.01004706,-2.8,-4.41662,-0.644,"ATP binding cassette subfamily F member 2","207623_at",7.38e-06,7.4e-07,-6.4992817,5.739623,-0.84832228,"ATP binding cassette subfamily F member 2"
"8","ABHD5","218739_at",2.14e-09,3.42e-10,6.67,12.2835016,1.07,"abhydrolase domain containing 5","213805_at",0.492,0.04561476,-2.11,-5.81453,-0.73,"abhydrolase domain containing 5","218739_at",0.0109,0.00417,-3.1451706,-2.758915,-0.68400971,"abhydrolase domain containing 5"
"9","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","202003_s_at",0.204,0.00171347,-3.54,-2.7136,-1.31,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2"
"10","ACACB","49452_at",6.17e-21,2.7e-22,-11.3,39.8533166,-1.17,"acetyl-CoA carboxylase beta","221928_at",0.213,0.00220449,-3.44,-2.95921,-1.27,"acetyl-CoA carboxylase beta","43427_at",0.00301,0.000931,-3.7417915,-1.317023,-0.72105329,"acetyl-CoA carboxylase beta"
"11","ACADL","206069_s_at",6.72e-13,7.19e-14,-8.17,20.6245446,-1.42,"acyl-CoA dehydrogenase, long chain","206069_s_at",0.395,0.02344462,-2.42,-5.20893,-0.626,"acyl-CoA dehydrogenase, long chain","206068_s_at",1.38e-06,9.39e-08,-7.3401515,7.803067,-2.14696429,"acyl-CoA dehydrogenase, long chain"
"12","ACAP1","205213_at",2.65e-10,3.83e-11,7.07,14.4337994,0.788,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","205213_at",0.213,0.00215534,3.45,-2.93727,1.12,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","205213_at",6.44e-07,3.58e-08,7.7455736,8.766964,1.39667772,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"13","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","205412_at",0.115,2.919e-05,-5.17,1.33598,-0.598,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1"
"14","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","222689_at",0.293,0.00947538,2.83,-4.36115,0.75,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3"
"15","ACO1","207071_s_at",9.62e-10,1.48e-10,-6.83,13.105413,-0.88,"aconitase 1","207071_s_at",0.135,0.00017108,-4.46,-0.43703,-1.19,"aconitase 1","207071_s_at",6.07e-05,9.31e-06,5.5075607,3.215945,0.75651709,"aconitase 1"
"16","ACSBG1","206465_at",3e-10,4.36e-11,-7.05,14.3065584,-1.84,"acyl-CoA synthetase bubblegum family member 1","206466_at",0.272,0.00731961,-2.94,-4.11582,-1.45,"acyl-CoA synthetase bubblegum family member 1","206465_at",0.00715,0.00256,-3.3424855,-2.292357,-1.96410282,"acyl-CoA synthetase bubblegum family member 1"
"17","ACTG1P4","208498_s_at",6e-09,1.01e-09,-6.47,11.2250611,-0.788,"actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)","208498_s_at",0.454,0.03640776,-2.22,-5.61142,-0.853,"actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)","228023_x_at",5.01e-05,7.4e-06,-5.5961811,3.444313,-0.66874235,"actin gamma 1 pseudogene 4///RNA binding region (RNP1, RRM) containing 3///amylase, alpha 2B (pancreatic)"
"18","ADAM10","202604_x_at",8.3e-32,1.03e-33,15.3,66.0064065,2.13,"ADAM metallopeptidase domain 10","202604_x_at",0.465,0.0389487,2.19,-5.67243,0.726,"ADAM metallopeptidase domain 10","202604_x_at",4.27e-10,1.21e-12,12.8160407,18.990086,1.26107893,"ADAM metallopeptidase domain 10"
"19","ADAM19","209765_at",7.82e-12,9.41e-13,7.73,18.0858942,1.06,"ADAM metallopeptidase domain 19","209765_at",0.115,2.363e-05,5.25,1.54868,1.53,"ADAM metallopeptidase domain 19","209765_at",9.64e-09,1.48e-10,10.2558494,14.242721,2.00135852,"ADAM metallopeptidase domain 19"
"20","ADAM8","205180_s_at",4.77e-14,4.48e-15,8.63,23.3684551,1.62,"ADAM metallopeptidase domain 8","205180_s_at",0.115,3.696e-05,5.08,1.09834,1.36,"ADAM metallopeptidase domain 8","205180_s_at",1.91e-07,7.58e-09,8.4179669,10.317587,1.49314437,"ADAM metallopeptidase domain 8"
"21","ADAMTS12","226997_at",0.00672,0.00249,3.07,-2.9380926,0.75,"ADAM metallopeptidase with thrombospondin type 1 motif 12","226997_at",0.499,0.04758858,2.09,-5.85243,0.628,"ADAM metallopeptidase with thrombospondin type 1 motif 12","226997_at",7.73e-10,3.39e-12,12.2342773,17.979263,3.04394169,"ADAM metallopeptidase with thrombospondin type 1 motif 12"
"22","ADAMTS9-AS2","1556364_at",3.43e-16,2.56e-17,-9.47,28.4807278,-1.93,"ADAMTS9 antisense RNA 2","1559296_at",0.266,0.00661528,-2.98,-4.01929,-0.591,"ADAMTS9 antisense RNA 2","234078_at",1.5e-08,2.63e-10,-9.9729862,13.668172,-1.16787992,"ADAMTS9 antisense RNA 2"
"23","ADAMTSL3","213974_at",4.25e-13,4.46e-14,-8.25,21.0966349,-1.11,"ADAMTS like 3","213974_at",0.266,0.00672072,-2.97,-4.03439,-0.831,"ADAMTS like 3","213974_at",4.18e-08,1.06e-09,-9.3104348,12.280709,-1.82439999,"ADAMTS like 3"
"24","ADAP2","219358_s_at",1.64e-40,7.61e-43,18.7,86.9223794,3.41,"ArfGAP with dual PH domains 2","222876_s_at",0.292,0.00921241,2.84,-4.33447,1.26,"ArfGAP with dual PH domains 2","219358_s_at",3.98e-05,5.62e-06,5.7027573,3.718386,0.73840213,"ArfGAP with dual PH domains 2"
"25","ADGRL3","236264_at",1.03e-17,6.42e-19,-10.1,32.1353987,-1.72,"adhesion G protein-coupled receptor L3","242186_x_at",0.235,0.00307763,-3.3,-3.28312,-1.08,"adhesion G protein-coupled receptor L3","242186_x_at",0.000397,8.56e-05,-4.6587417,1.018751,-1.22116138,"adhesion G protein-coupled receptor L3"
"26","ADH1B","209614_at",2.87e-08,5.23e-09,-6.16,9.6106608,-0.788,"alcohol dehydrogenase 1B (class I), beta polypeptide","209613_s_at",0.416,0.02783288,-2.35,-5.36669,-1.48,"alcohol dehydrogenase 1B (class I), beta polypeptide","209613_s_at",0.00383,0.00123,-3.6312198,-1.590698,-0.94652813,"alcohol dehydrogenase 1B (class I), beta polypeptide"
"27","ADHFE1","227113_at",3.9e-09,6.41e-10,-6.56,11.6673666,-1.38,"alcohol dehydrogenase, iron containing 1","227113_at",0.404,0.02527139,-2.39,-5.27805,-0.76,"alcohol dehydrogenase, iron containing 1","227113_at",0.000241,4.76e-05,-4.882586,1.598296,-0.85464777,"alcohol dehydrogenase, iron containing 1"
"28","ADRB1","229309_at",2.07e-21,8.64e-23,-11.4,40.984604,-2.05,"adrenoceptor beta 1","229309_at",0.139,0.00028661,-4.26,-0.95082,-2.32,"adrenoceptor beta 1","229309_at",0.000172,3.2e-05,-5.0339465,1.990601,-1.7617984,"adrenoceptor beta 1"
"29","AFF3","227198_at",7.17e-14,6.9e-15,-8.56,22.9405858,-1.68,"AF4/FMR2 family member 3","227198_at",0.331,0.01397573,-2.66,-4.72757,-1.15,"AF4/FMR2 family member 3","227198_at",0.0167,0.00691,-2.9372751,-3.236777,-0.81301847,"AF4/FMR2 family member 3"
"30","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","222362_at",0.377,0.02037859,-2.49,-5.07933,-0.836,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2"
"31","AGPAT1","215535_s_at",2.63e-14,2.4e-15,-8.73,23.9842439,-1.13,"1-acylglycerol-3-phosphate O-acyltransferase 1","32836_at",0.296,0.0099613,-2.8,-4.40851,-0.695,"1-acylglycerol-3-phosphate O-acyltransferase 1","32836_at",0.000125,2.19e-05,5.178797,2.365943,0.60786362,"1-acylglycerol-3-phosphate O-acyltransferase 1"
"32","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","209901_x_at",0.457,0.03703209,2.21,-5.62682,1.01,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1"
"33","AIFM2","228445_at",3.83e-12,4.45e-13,-7.86,18.8235532,-1.27,"apoptosis inducing factor, mitochondria associated 2","228445_at",0.25,0.00454487,-3.14,-3.65942,-0.866,"apoptosis inducing factor, mitochondria associated 2","224461_s_at",7.1e-05,1.12e-05,5.436496,3.032544,0.86370139,"apoptosis inducing factor, mitochondria associated 2"
"34","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","206561_s_at",0.31,0.01145253,2.74,-4.5403,2.98,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10"
"35","AKR1C1","217626_at",9.44e-09,1.62e-09,-6.38,10.7572879,-1.4,"aldo-keto reductase family 1 member C1","204151_x_at",0.435,0.03116227,-2.29,-5.47,-0.607,"aldo-keto reductase family 1 member C1","217626_at",0.00103,0.000263,-4.2292632,-0.086348,-1.24469609,"aldo-keto reductase family 1 member C1"
"36","ALDH5A1","203608_at",6.4e-17,4.4e-18,9.75,30.2259544,0.825,"aldehyde dehydrogenase 5 family member A1","203608_at",0.229,0.00266647,-3.36,-3.14411,-0.981,"aldehyde dehydrogenase 5 family member A1","203608_at",0.0035,0.00111,-3.6732977,-1.486842,-0.65242388,"aldehyde dehydrogenase 5 family member A1"
"37","ALDOC","202022_at",6.32e-12,7.53e-13,-7.77,18.3053228,-0.86,"aldolase, fructose-bisphosphate C","202022_at",0.195,0.00123463,-3.67,-2.39295,-1.04,"aldolase, fructose-bisphosphate C","202022_at",0.000214,4.14e-05,-4.9358243,1.736271,-0.60290835,"aldolase, fructose-bisphosphate C"
"38","ALOX5AP","204174_at",2.95e-06,6.82e-07,5.16,4.8674225,0.938,"arachidonate 5-lipoxygenase activating protein","204174_at",0.444,0.03356635,2.26,-5.53768,1.34,"arachidonate 5-lipoxygenase activating protein","204174_at",0.000162,2.99e-05,5.0605183,2.059471,0.87011121,"arachidonate 5-lipoxygenase activating protein"
"39","AMMECR1","236760_at",2.97e-21,1.26e-22,11.4,40.6132204,1.75,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","226421_at",0.457,0.03724877,2.21,-5.6321,0.954,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","236760_at",0.00444,0.00147,-3.5629268,-1.75845,-0.75227536,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"40","ANG","205141_at",2.48e-25,6.62e-27,-12.9,50.4057976,-2.02,"angiogenin","205141_at",0.221,0.00249283,-3.39,-3.07873,-0.701,"angiogenin","205141_at",3.91e-05,5.49e-06,-5.7120543,3.742262,-0.7848366,"angiogenin"
"41","ANGPT1","205609_at",1.3e-07,2.55e-08,-5.85,8.0623883,-0.905,"angiopoietin 1","205609_at",0.357,0.01731838,-2.56,-4.92808,-0.915,"angiopoietin 1","205609_at",0.000653,0.000153,4.4371887,0.447077,1.206275,"angiopoietin 1"
"42","ANKDD1A","229497_at",1.69e-09,2.67e-10,-6.72,12.5249858,-1.2,"ankyrin repeat and death domain containing 1A","229497_at",0.159,0.00054034,-4.01,-1.57935,-0.999,"ankyrin repeat and death domain containing 1A","237316_at",5.45e-06,5.11e-07,6.6473548,6.108828,0.94260019,"ankyrin repeat and death domain containing 1A"
"43","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","222608_s_at",0.482,0.04300771,2.14,-5.76173,0.756,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein"
"44","APELA","1559280_a_at",6.32e-14,6.03e-15,8.58,23.0736433,2.51,"apelin receptor early endogenous ligand","1559280_a_at",0.233,0.00298868,3.31,-3.25472,2.29,"apelin receptor early endogenous ligand","1559280_a_at",0.000828,0.000203,4.328938,0.168904,1.38793324,"apelin receptor early endogenous ligand"
"45","APOBEC3A_B","210873_x_at",1.21e-15,9.62e-17,9.25,27.1690234,2.61,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A","210873_x_at",0.36,0.01780749,2.55,-4.95402,2.07,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A","210873_x_at",1.3e-05,1.47e-06,6.227066,5.055072,2.83195664,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"46","APOBEC3B","206632_s_at",1.1e-23,3.55e-25,12.3,46.4465341,2.42,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B","206632_s_at",0.385,0.02184999,2.46,-5.14388,1.45,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B","206632_s_at",0.00163,0.000454,4.0200047,-0.618756,1.07666831,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B"
"47","APOC1","213553_x_at",1.07e-13,1.05e-14,-8.49,22.5276256,-1.86,"apolipoprotein C1","213553_x_at",0.213,0.00224271,-3.43,-2.97594,-1.6,"apolipoprotein C1","204416_x_at",5e-05,7.37e-06,5.5975211,3.447763,1.82475217,"apolipoprotein C1"
"48","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","201525_at",0.213,0.00218688,-3.44,-2.95141,-1.06,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D"
"49","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","212884_x_at",0.255,0.00487523,-3.11,-3.72688,-0.647,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA
"50","APOL6","219716_at",3.02e-49,4.63e-52,22.3,108.0123168,4.39,"apolipoprotein L6","241869_at",0.414,0.02726098,2.36,-5.34766,1.51,"apolipoprotein L6","219716_at",2.39e-07,1.01e-08,8.2905594,10.02846,2.02208204,"apolipoprotein L6"
"51","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","211621_at",0.366,0.01861555,-2.53,-4.99532,-0.614,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor"
"52","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","211622_s_at",0.488,0.04463179,2.12,-5.795,0.82,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3"
"53","ARFGEF3","228051_at",3.83e-27,8.46e-29,-13.6,54.7422543,-2.5,"ARFGEF family member 3","231856_at",0.297,0.01015636,-2.8,-4.42685,-1.11,"ARFGEF family member 3","236037_at",0.00294,0.000906,-3.7524372,-1.290547,-0.6974175,"ARFGEF family member 3"
"54","ARHGAP45","212873_at",9.49e-08,1.83e-08,5.91,8.3871278,0.694,"Rho GTPase activating protein 45","212873_at",0.188,0.00102659,3.75,-2.21187,0.858,"Rho GTPase activating protein 45","212873_at",7.42e-06,7.45e-07,6.4967705,5.733342,1.15869667,"Rho GTPase activating protein 45"
"55","ARHGAP9","224451_x_at",1.4e-12,1.55e-13,8.03,19.8646722,1.19,"Rho GTPase activating protein 9","224451_x_at",0.229,0.00278964,3.34,-3.18791,1.24,"Rho GTPase activating protein 9","224451_x_at",3.6e-09,3.51e-11,10.9811578,15.668636,1.63014327,"Rho GTPase activating protein 9"
"56","ARHGEF40","58780_s_at",6.74e-08,1.28e-08,-5.98,8.7362658,-0.771,"Rho guanine nucleotide exchange factor 40","58780_s_at",0.32,0.01260728,-2.7,-4.63078,-0.587,"Rho guanine nucleotide exchange factor 40","237954_x_at",0.000966,0.000243,-4.2593216,-0.009472,-0.66509623,"Rho guanine nucleotide exchange factor 40"
"57","ARMCX4","1552327_at",0.000973,0.000315,-3.68,-1.0084959,-0.72,"armadillo repeat containing, X-linked 4","1552327_at",0.416,0.02769991,-2.35,-5.3623,-0.667,"armadillo repeat containing, X-linked 4","227444_at",0.000744,0.000179,-4.3776875,0.294064,-0.89427329,"armadillo repeat containing, X-linked 4"
"58","ASF1B","218115_at",1.12e-30,1.57e-32,14.9,63.2901966,2.28,"anti-silencing function 1B histone chaperone","218115_at",0.25,0.00461616,3.13,-3.67439,0.853,"anti-silencing function 1B histone chaperone","218115_at",0.00093,0.000233,4.2763198,0.034041,0.72173827,"anti-silencing function 1B histone chaperone"
"59","ASPH","225008_at",6.11e-12,7.26e-13,-7.77,18.3408949,-0.729,"aspartate beta-hydroxylase","209135_at",0.139,0.00026274,-4.29,-0.86438,-0.673,"aspartate beta-hydroxylase","242037_at",0.000457,0.000101,4.5957263,0.855894,0.65206266,"aspartate beta-hydroxylase"
"60","ATP1A2","203296_s_at",3.41e-24,1.04e-25,-12.5,47.6628791,-2.44,"ATPase Na+/K+ transporting subunit alpha 2","203295_s_at",0.371,0.01961341,-2.51,-5.04383,-1.14,"ATPase Na+/K+ transporting subunit alpha 2","203295_s_at",0.0202,0.00866,-2.8430099,-3.448208,-0.67116385,"ATPase Na+/K+ transporting subunit alpha 2"
"61","ATP8B4","220416_at",1.49e-06,3.32e-07,-5.32,5.5649518,-0.676,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.366,0.01852588,-2.53,-4.99083,-0.803,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.00434,0.00143,3.5726991,-1.734509,0.67330596,"ATPase phospholipid transporting 8B4 (putative)"
"62","AURKA","204092_s_at",8e-29,1.43e-30,14.2,58.8038835,3.02,"aurora kinase A","208079_s_at",0.348,0.01624959,2.59,-4.86865,1.07,"aurora kinase A","208080_at",0.000359,7.6e-05,4.7039179,1.135602,0.76804333,"aurora kinase A"
"63","AVIL","205539_at",5.2e-08,9.75e-09,6.04,9.0015588,0.825,"advillin","205539_at",0.441,0.03283101,2.27,-5.51753,0.597,"advillin","238999_at",0.012,0.0047,-3.0963178,-2.872552,-0.6195723,NA
"64","AVL9","212475_at",2.76e-09,4.47e-10,6.63,12.0211432,0.983,"AVL9 cell migration associated","1563452_at",0.484,0.04349219,2.13,-5.77179,0.932,"AVL9 cell migration associated","244355_at",0.00127,0.000335,-4.1365433,-0.322889,-0.61470225,"AVL9 cell migration associated"
"65","AZGP1P1","217013_at",1.4e-10,1.96e-11,7.19,15.0936081,0.993,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1","217014_s_at",0.298,0.01028714,-2.79,-4.43896,-0.938,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1///alpha-2-glycoprotein 1, zinc-binding","217013_at",0.0011,0.000283,-4.2010168,-0.158507,-0.88497288,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1"
"66","BATF3","220358_at",5.29e-15,4.49e-16,9,25.6443283,1.39,"basic leucine zipper ATF-like transcription factor 3","220358_at",0.363,0.01826636,2.54,-4.9777,1.02,"basic leucine zipper ATF-like transcription factor 3","220358_at",2.33e-05,2.97e-06,5.9508037,4.353419,1.29274251,"basic leucine zipper ATF-like transcription factor 3"
"67","BCL2","203685_at",1.14e-28,2.08e-30,-14.1,58.4281364,-1.17,"BCL2, apoptosis regulator","203685_at",0.243,0.00390861,-3.2,-3.51413,-0.641,"BCL2, apoptosis regulator","203685_at",9.66e-06,1.02e-06,-6.3699242,5.415227,-0.6497448,"BCL2, apoptosis regulator"
"68","BCL2A1","205681_at",1.21e-44,3.5e-47,20.3,96.8519049,3.78,"BCL2 related protein A1","205681_at",0.389,0.02245902,2.44,-5.16929,1.16,"BCL2 related protein A1","205681_at",9.25e-10,4.63e-12,12.0606948,17.670269,3.1673834,"BCL2 related protein A1"
"69","BHLHE41","223185_s_at",4.5e-27,1e-28,-13.5,54.5722121,-1.66,"basic helix-loop-helix family member e41","221530_s_at",0.211,0.00193977,-3.49,-2.83462,-1.04,"basic helix-loop-helix family member e41","221530_s_at",5.52e-06,5.19e-07,6.6413481,6.093896,1.11614804,"basic helix-loop-helix family member e41"
"70","BIRC3","210538_s_at",4.72e-14,4.43e-15,8.63,23.3785002,1.72,"baculoviral IAP repeat containing 3","230499_at",0.477,0.04168655,2.16,-5.73367,0.612,"baculoviral IAP repeat containing 3","210538_s_at",0.000323,6.72e-05,4.7510411,1.257562,0.94904793,"baculoviral IAP repeat containing 3"
"71","BLM","205733_at",9.35e-38,6.19e-40,17.6,80.2554568,2.92,"Bloom syndrome RecQ like helicase","205733_at",0.307,0.01117243,2.76,-4.51694,0.742,"Bloom syndrome RecQ like helicase","205733_at",2.18e-07,8.95e-09,8.3450712,10.152434,1.72186669,"Bloom syndrome RecQ like helicase"
"72","BTBD19","1557049_at",1.4e-23,4.57e-25,12.2,46.1958098,2.54,"BTB domain containing 19","1557049_at",0.242,0.00382631,3.21,-3.4936,0.868,"BTB domain containing 19","1557049_at",0.00016,2.95e-05,5.0657333,2.072987,0.75011322,"BTB domain containing 19"
"73","BTC","207326_at",8.42e-24,2.68e-25,-12.3,46.7246696,-3.13,"betacellulin","241412_at",0.135,0.00023853,-4.33,-0.76822,-2.61,"betacellulin","207326_at",5.78e-06,5.5e-07,-6.6178029,6.03533,-3.07304188,"betacellulin"
"74","BUB1","209642_at",1.24e-32,1.39e-34,15.6,67.9944837,2.66,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.212,0.00206235,3.47,-2.89433,1.52,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.00199,0.000571,3.9314217,-0.842422,1.05361904,"BUB1 mitotic checkpoint serine/threonine kinase"
"75","C10orf99","227735_s_at",7.18e-35,6.4e-37,16.5,73.348925,5.25,"chromosome 10 open reading frame 99","227735_s_at",0.432,0.03070913,2.3,-5.45663,2.24,"chromosome 10 open reading frame 99","227736_at",0.0249,0.0111,2.7374663,-3.68067,1.23141362,"chromosome 10 open reading frame 99"
"76","C12orf75","225105_at",1.46e-22,5.29e-24,11.9,43.7600168,2.04,"chromosome 12 open reading frame 75","225105_at",0.415,0.02737449,2.35,-5.35147,0.715,"chromosome 12 open reading frame 75","225105_at",7.51e-07,4.34e-08,7.6638365,8.574351,1.32300541,"chromosome 12 open reading frame 75"
"77","C17orf96","228066_at",1.76e-38,1.06e-40,17.8,82.0105667,3.59,"chromosome 17 open reading frame 96","228066_at",0.495,0.04656811,2.1,-5.83305,0.65,"chromosome 17 open reading frame 96","228066_at",0.00419,0.00137,3.5897058,-1.692794,0.72752163,"chromosome 17 open reading frame 96"
"78","C19orf66","1555491_a_at",7.02e-34,6.9e-36,16.1,70.9841333,2.12,"chromosome 19 open reading frame 66","218429_s_at",0.271,0.00718098,2.95,-4.0976,0.599,"chromosome 19 open reading frame 66","1555491_a_at",1.75e-06,1.26e-07,7.2183935,7.50949,0.86850692,"chromosome 19 open reading frame 66"
"79","C1QC","225353_s_at",0.00315,0.00111,3.32,-2.1886397,0.757,"complement C1q C chain","225353_s_at",0.503,0.04893938,2.08,-5.87743,0.823,"complement C1q C chain","225353_s_at",3.45e-08,8.16e-10,9.4331766,12.542205,1.62884047,"complement C1q C chain"
"80","C1QTNF7","223877_at",8.87e-11,1.21e-11,-7.28,15.5663194,-1.1,"C1q and tumor necrosis factor related protein 7","239349_at",0.377,0.02057095,-2.48,-5.08803,-1.43,"C1q and tumor necrosis factor related protein 7","223877_at",4.17e-05,5.94e-06,-5.6814398,3.663619,-1.46595931,"C1q and tumor necrosis factor related protein 7"
"81","C21orf91","220941_s_at",4.58e-33,4.95e-35,15.8,69.0232021,2.32,"chromosome 21 open reading frame 91","220941_s_at",0.263,0.00620832,3.01,-3.95861,1.3,"chromosome 21 open reading frame 91","226109_at",2.23e-07,9.25e-09,-8.3306396,10.119652,-0.67231521,"chromosome 21 open reading frame 91"
"82","C2CD2","212875_s_at",3.04e-10,4.42e-11,-7.05,14.2942873,-0.589,"C2 calcium dependent domain containing 2","212875_s_at",0.255,0.00519123,-3.08,-3.78719,-0.661,"C2 calcium dependent domain containing 2","212875_s_at",3.75e-06,3.28e-07,-6.826413,6.552101,-0.69660631,"C2 calcium dependent domain containing 2"
