"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"448","TRAF3IP2","215411_s_at",1.49e-21,6.1e-23,11.5,41.3313402,0.638,"TRAF3 interacting protein 2","ILMN_1701514",0.0014773,6.64e-05,-4.5955717,1.61364,-0.8399879,"TRAF3 interacting protein 2","202987_at",0.0118,0.00459,-3.1060108,-2.850068,-0.62205159,"TRAF3 interacting protein 2"
"449","TRIM22","213293_s_at",1.79e-30,2.59e-32,14.8,62.7949615,1.12,"tripartite motif containing 22","ILMN_1779252",3.258e-05,1.22e-07,6.7939874,7.62974,1.44365,"tripartite motif containing 22","213293_s_at",5.24e-06,4.89e-07,6.6657091,6.154429,0.72824022,"tripartite motif containing 22"
"450","TRIOBP","243690_at",8.64e-05,2.41e-05,-4.34,1.4337636,-0.594,"TRIO and F-actin binding protein","ILMN_1735788",0.01718912,0.00251,-3.2851254,-1.80806,-0.7753307,"TRIO and F-actin binding protein","1552334_at",9.59e-06,1.01e-06,-6.3735725,5.424399,-0.96979138,"TRIO and F-actin binding protein"
"451","TRMT13","232489_at",7.76e-12,9.33e-13,-7.73,18.0936276,-0.899,"tRNA methyltransferase 13 homolog","ILMN_1659786",0.00209523,0.000115,4.404694,1.09562,1.5988431,"tRNA methyltransferase 13 homolog","232489_at",5.78e-06,5.51e-07,-6.6175492,6.034699,-1.47107399,"tRNA methyltransferase 13 homolog"
"452","TRNT1","222754_at",2.83e-12,3.25e-13,7.91,19.1341724,0.982,"tRNA nucleotidyl transferase 1","ILMN_1655924",0.00690347,0.000665,3.7773518,-0.56773,0.9032867,"tRNA nucleotidyl transferase 1","223814_at",8.86e-06,9.23e-07,6.4114789,5.519619,0.97185035,"tRNA nucleotidyl transferase 1"
"453","TSC22D4","1554501_at",1.05e-07,2.05e-08,-5.89,8.277441,-0.6,"TSC22 domain family member 4","ILMN_1721636",0.00533317,0.000457,-3.9128,-0.21503,-0.6891093,"TSC22 domain family member 4","1554501_at",0.000135,2.42e-05,-5.1413478,2.26893,-0.60222052,"TSC22 domain family member 4"
"454","TSEN15","225400_at",6.61e-12,7.89e-13,7.76,18.2594198,0.759,"tRNA splicing endonuclease subunit 15","ILMN_1734486",0.00427779,0.000326,4.0337729,0.10333,0.9196206,"tRNA splicing endonuclease subunit 15","230257_s_at",2e-07,8.04e-09,8.3922074,10.259309,0.84722115,"tRNA splicing endonuclease subunit 15"
"455","TTC37","1554029_a_at",2.35e-05,6.06e-06,-4.67,2.7563293,-0.789,"tetratricopeptide repeat domain 37","ILMN_1795911",0.00474188,0.00038,3.9791488,-0.04079,1.1866119,"tetratricopeptide repeat domain 37","1554029_a_at",0.000412,8.94e-05,-4.6420391,0.975568,-1.11114344,"tetratricopeptide repeat domain 37"
"456","TTC39B","236826_at",1.3e-11,1.61e-12,7.63,17.5547083,1.18,"tetratricopeptide repeat domain 39B","ILMN_1769290",0.03002915,0.00551,2.980733,-2.53418,0.9065841,"tetratricopeptide repeat domain 39B","242477_at",0.00707,0.00253,-3.3476591,-2.279971,-0.63399116,"tetratricopeptide repeat domain 39B"
"457","TTLL12","216251_s_at",2.4e-11,3.06e-12,7.52,16.922388,0.601,"tubulin tyrosine ligase like 12","ILMN_1663113",0.00377314,0.000273,-4.0976702,0.27264,-1.0593567,"tubulin tyrosine ligase like 12","216251_s_at",0.000151,2.76e-05,-5.0908852,2.138172,-0.58882191,"tubulin tyrosine ligase like 12"
"458","TTPAL","219633_at",0.00202,0.000689,3.46,-1.7443949,0.61,"alpha tocopherol transfer protein like","ILMN_1744442",0.04683716,0.0101,-2.7366665,-3.08823,-0.6542429,"alpha tocopherol transfer protein like","228031_at",3.35e-08,7.83e-10,-9.4526412,12.583486,-0.66833111,"alpha tocopherol transfer protein like"
"459","TUBB2B","209372_x_at",1.81e-08,3.21e-09,6.25,10.0890473,1.46,"tubulin beta 2B class IIb///tubulin beta 2A class IIa","ILMN_1680874",6.601e-05,5.02e-07,-6.2942795,6.28026,-1.5016689,"tubulin beta 2B class IIb","214023_x_at",0.0146,0.00591,3.0023592,-3.088824,0.8402949,"tubulin beta 2B class IIb"
"460","TWSG1","219201_s_at",4.58e-11,6.03e-12,7.4,16.2539553,0.874,"twisted gastrulation BMP signaling modulator 1","ILMN_2214144",0.01553201,0.00217,3.3404527,-1.67239,1.0276901,"twisted gastrulation BMP signaling modulator 1","219201_s_at",9.23e-08,2.94e-09,8.8413481,11.26245,1.06996369,"twisted gastrulation BMP signaling modulator 1"
"461","TXNDC17","224511_s_at",7.38e-45,2.07e-47,20.4,97.3765731,1.43,"thioredoxin domain containing 17","ILMN_1659437",0.00257091,0.000156,4.2963074,0.80347,1.3578533,"thioredoxin domain containing 17","224511_s_at",6.22e-05,9.58e-06,5.4966302,3.18775,0.65077199,"thioredoxin domain containing 17"
"462","TXNDC9","1554047_at",1.11e-06,2.43e-07,5.38,5.869529,0.753,"thioredoxin domain containing 9","ILMN_1731137",0.00020266,3.1e-06,5.6599463,4.54153,1.3423221,"thioredoxin domain containing 9","1554047_at",0.00538,0.00184,3.4738704,-1.975605,0.70779106,"thioredoxin domain containing 9"
"463","TYMS","1554696_s_at",6.24e-25,1.76e-26,12.7,49.4310943,1.14,"thymidylate synthetase","ILMN_1806040",0.02542568,0.00436,3.0722709,-2.31964,0.7590675,"thymidylate synthetase","217684_at",2.58e-06,2.05e-07,-7.0170929,7.020116,-1.09415856,"thymidylate synthetase"
"464","TYSND1","238802_at",1.83e-14,1.64e-15,-8.79,24.3623537,-0.93,"trypsin domain containing 1","ILMN_2248725",0.00206587,0.000112,-4.4119065,1.11512,-0.6397401,"trypsin domain containing 1","238802_at",1.2e-07,4.15e-09,-8.6863996,10.919494,-1.15462763,"trypsin domain containing 1"
"465","UBA6","218340_s_at",1.11e-10,1.53e-11,7.24,15.3369931,1.81,"ubiquitin like modifier activating enzyme 6","ILMN_1675085",0.0217643,0.00349,3.1591836,-2.11283,1.1035929,"ubiquitin like modifier activating enzyme 6","1555441_at",0.0015,0.000411,4.0580736,-0.522298,0.79827881,"ubiquitin like modifier activating enzyme 6"
"466","UBE2Z","236107_at",1.15e-05,2.86e-06,-4.84,3.479392,-1.31,"ubiquitin conjugating enzyme E2 Z","ILMN_1692168",0.01369555,0.0018,-3.4105535,-1.499,-0.6849721,"ubiquitin conjugating enzyme E2 Z","236107_at",0.002,0.000576,-3.9283446,-0.850171,-0.91556702,"ubiquitin conjugating enzyme E2 Z"
"467","UGGT2","1558467_a_at",1.52e-07,3.01e-08,-5.81,7.902146,-0.874,"UDP-glucose glycoprotein glucosyltransferase 2","ILMN_1788387",0.00192025,0.000101,4.4500385,1.2183,0.6885447,"UDP-glucose glycoprotein glucosyltransferase 2","218801_at",4.25e-05,6.07e-06,5.6730944,3.642171,0.58822846,"UDP-glucose glycoprotein glucosyltransferase 2"
"468","UGP2","232180_at",2.28e-15,1.85e-16,-9.15,26.5192905,-0.725,"UDP-glucose pyrophosphorylase 2","ILMN_2389151",0.01049619,0.00122,3.5539982,-1.13936,1.0184907,"UDP-glucose pyrophosphorylase 2","232180_at",0.0011,0.000284,-4.2002073,-0.160573,-0.75230281,"UDP-glucose pyrophosphorylase 2"
"469","VAPA","228480_at",3.1e-07,6.36e-08,-5.66,7.1719553,-0.612,"VAMP associated protein A","ILMN_1690822",0.00142095,6.27e-05,4.6157858,1.66873,0.6337484,"VAMP associated protein A","242780_at",1.63e-06,1.16e-07,-7.2534492,7.594205,-0.75581559,"VAMP associated protein A"
"470","VEZT","207263_x_at",2.37e-10,3.4e-11,-7.1,14.5506257,-0.655,"vezatin, adherens junctions transmembrane protein","ILMN_1774828",0.00222985,0.000125,4.3737702,1.01211,1.222258,"vezatin, adherens junctions transmembrane protein","207263_x_at",6.38e-05,9.87e-06,-5.4851412,3.15811,-0.68713156,"vezatin, adherens junctions transmembrane protein"
"471","VIPR1","205019_s_at",1.24e-08,2.16e-09,6.33,10.4743495,0.768,"vasoactive intestinal peptide receptor 1","ILMN_2199389",0.02025927,0.00315,-3.1986147,-2.01803,-0.60252,"vasoactive intestinal peptide receptor 1","205019_s_at",5.45e-06,5.12e-07,-6.6470025,6.107952,-1.52622807,"vasoactive intestinal peptide receptor 1"
"472","VPS18","223346_at",4.69e-06,1.11e-06,5.06,4.3937489,0.694,"VPS18, CORVET/HOPS core subunit","ILMN_1721575",9.367e-05,9.22e-07,-6.0815975,5.6998,-0.9464742,"VPS18, CORVET/HOPS core subunit","223346_at",0.000163,3.01e-05,5.0571173,2.050657,0.87712699,"VPS18, CORVET/HOPS core subunit"
"473","VPS9D1","205781_at",2.18e-15,1.78e-16,9.15,26.5627681,1.03,"VPS9 domain containing 1","ILMN_1693630",0.02099419,0.00331,-3.1793149,-2.0645,-0.6490758,"VPS9 domain containing 1","205781_at",0.000518,0.000117,4.5406009,0.713581,0.62099548,"VPS9 domain containing 1"
"474","VWA1","218731_s_at",7.02e-11,9.46e-12,7.32,15.8104659,1.05,"von Willebrand factor A domain containing 1","ILMN_1781636",0.00603743,0.000547,-3.8481114,-0.384,-0.673788,"von Willebrand factor A domain containing 1","225983_s_at",8.59e-05,1.41e-05,5.347651,2.802965,1.11736094,"von Willebrand factor A domain containing 1"
"475","WASF2","224563_at",1.56e-05,3.95e-06,-4.77,3.1700417,-1.06,"WAS protein family member 2","ILMN_1684051",0.00977988,0.0011,-3.5921878,-1.04258,-1.1251092,"WAS protein family member 2","224563_at",0.0139,0.00561,-3.0241475,-3.038948,-0.60098359,"WAS protein family member 2"
"476","WDR11","229694_at",0.0141,0.00555,-2.81,-3.6703737,-0.722,"WD repeat domain 11","ILMN_1662896",0.02428713,0.00407,3.0990346,-2.25627,0.8139636,"WD repeat domain 11","229694_at",0.00116,0.000303,-4.1760304,-0.222267,-0.94602248,"WD repeat domain 11"
"477","WDR13","238782_at",7.05e-05,1.94e-05,-4.4,1.6396921,-0.66,"WD repeat domain 13","ILMN_1805512",0.00266668,0.000165,-4.2772127,0.75217,-1.0719256,"WD repeat domain 13","238782_at",5.71e-05,8.66e-06,-5.5355417,3.288092,-0.93513133,"WD repeat domain 13"
"478","WDR61","215156_at",7.47e-22,2.94e-23,-11.6,42.055006,-1.35,"WD repeat domain 61","ILMN_1665887",0.03916417,0.00794,2.8351426,-2.86797,0.7482606,"WD repeat domain 61","237208_at",0.0043,0.00142,-3.5771191,-1.723674,-0.79869945,"WD repeat domain 61"
"479","WDSUB1","226668_at",1.44e-21,5.9e-23,-11.5,41.3647007,-0.72,"WD repeat, sterile alpha motif and U-box domain containing 1","ILMN_1735275",0.0060175,0.000544,3.8500815,-0.37887,0.8249764,"WD repeat, sterile alpha motif and U-box domain containing 1","226668_at",3.98e-05,5.61e-06,-5.7033046,3.719792,-0.63080936,"WD repeat, sterile alpha motif and U-box domain containing 1"
"480","WTAP","210285_x_at",0.000602,0.000189,3.82,-0.5260164,0.615,"Wilms tumor 1 associated protein","ILMN_1748904",0.0386381,0.00778,2.8436015,-2.84883,0.8216277,"Wilms tumor 1 associated protein","210285_x_at",7.4e-05,1.18e-05,5.416548,2.981024,0.68793973,"Wilms tumor 1 associated protein"
"481","YIF1B","226437_at",1.65e-10,2.32e-11,7.16,14.9273971,0.771,"Yip1 interacting factor homolog B, membrane trafficking protein","ILMN_2363668",0.01110508,0.00132,-3.5250683,-1.21239,-0.7961367,"Yip1 interacting factor homolog B, membrane trafficking protein","226437_at",3.02e-09,2.72e-11,11.1133397,15.921328,0.86490647,"Yip1 interacting factor homolog B, membrane trafficking protein"
"482","YPEL3","232077_s_at",1.05e-11,1.29e-12,-7.67,17.772773,-0.969,"yippee like 3","ILMN_1791147",0.00936482,0.00104,-3.6145522,-0.98571,-0.8305849,"yippee like 3","232077_s_at",0.00532,0.00182,-3.4788159,-1.963596,-0.65582726,"yippee like 3"
"483","ZBTB16","205883_at",2.05e-29,3.38e-31,-14.4,60.2379632,-4.08,"zinc finger and BTB domain containing 16","ILMN_2305407",0.03777335,0.00753,-2.8567465,-2.81904,-1.1766706,"zinc finger and BTB domain containing 16","205883_at",0.00581,0.00202,-3.4376663,-2.063335,-1.30458114,"zinc finger and BTB domain containing 16"
"484","ZC3H14","242443_at",9.81e-12,1.2e-12,-7.69,17.8488818,-0.608,"zinc finger CCCH-type containing 14","ILMN_2335669",0.01954555,0.00298,3.219039,-1.96871,1.0167822,"zinc finger CCCH-type containing 14","242443_at",0.000109,1.88e-05,-5.2380274,2.519326,-0.67693443,"zinc finger CCCH-type containing 14"
"485","ZC3H8","223506_at",2.18e-18,1.27e-19,10.3,33.741586,0.886,"zinc finger CCCH-type containing 8","ILMN_1657837",0.00766553,0.000768,3.7248666,-0.70323,0.6220357,"zinc finger CCCH-type containing 8","239644_at",4.3e-06,3.86e-07,-6.7603229,6.388907,-0.8655251,"zinc finger CCCH-type containing 8"
"486","ZCCHC6","242776_at",0.00363,0.00129,3.27,-2.327956,0.687,"zinc finger CCHC-type containing 6","ILMN_1779677",0.00155761,7.24e-05,4.5656612,1.53221,1.6474186,"zinc finger CCHC-type containing 6","238800_s_at",0.00131,0.00035,-4.1198985,-0.36525,-0.66031884,"zinc finger CCHC-type containing 6"
"487","ZCCHC7","230332_at",5.23e-08,9.81e-09,-6.03,8.995793,-0.843,"zinc finger CCHC-type containing 7","ILMN_1744980",0.00078796,2.56e-05,4.9279044,2.52345,1.2065279,"zinc finger CCHC-type containing 7","230332_at",1.59e-06,1.12e-07,-7.2653919,7.62303,-1.52317499,"zinc finger CCHC-type containing 7"
"488","ZMYM2","226512_at",2.41e-15,1.97e-16,-9.14,26.4617273,-0.766,"zinc finger MYM-type containing 2","ILMN_1661636",0.00845813,0.000888,3.6718652,-0.83935,1.1154755,"zinc finger MYM-type containing 2","210281_s_at",0.00012,2.09e-05,-5.1962734,2.411208,-0.81017659,"zinc finger MYM-type containing 2"
"489","ZNF24","203247_s_at",0.000218,6.43e-05,-4.1,0.4954565,-0.608,"zinc finger protein 24","ILMN_1654357",0.02971796,0.00542,2.9876274,-2.51814,0.9002582,"zinc finger protein 24","1554045_at",0.000125,2.19e-05,5.1791298,2.366806,0.70340725,"zinc finger protein 24"
"490","ZNF277","215887_at",6.76e-09,1.14e-09,-6.45,11.1010251,-0.643,"zinc finger protein 277","ILMN_1681628",0.00047468,1.12e-05,5.2143558,3.3124,1.5905073,"zinc finger protein 277","1555193_a_at",0.00537,0.00184,-3.4747559,-1.973455,-0.597077,"zinc finger protein 277"
"491","ZNF302","228393_s_at",1.32e-29,2.12e-31,-14.5,60.7018135,-1.24,"zinc finger protein 302","ILMN_2307450",0.00335805,0.000231,4.1569242,0.43031,1.2064525,"zinc finger protein 302","228393_s_at",0.00039,8.38e-05,-4.666893,1.039829,-0.6009063,"zinc finger protein 302"
"492","ZNF33B","1558586_at",2.14e-12,2.41e-13,-7.96,19.4275134,-1.36,"zinc finger protein 33B","ILMN_1742935",0.00228713,0.000132,4.3554803,0.96277,1.3207998,"zinc finger protein 33B","1558586_at",8.62e-05,1.42e-05,-5.345919,2.798486,-0.76611207,"zinc finger protein 33B"
"493","ZNF451","1556060_a_at",1.22e-06,2.7e-07,-5.36,5.7658059,-1.11,"zinc finger protein 451","ILMN_1706734",0.0052255,0.00044,3.9266685,-0.17869,1.1870669,"zinc finger protein 451","1556060_a_at",0.012,0.00469,-3.0971901,-2.87053,-0.64646526,"zinc finger protein 451"
"494","ZNF518A","244132_x_at",7.24e-15,6.22e-16,-8.95,25.32168,-0.789,"zinc finger protein 518A","ILMN_1742541",0.04719942,0.0102,2.7323829,-3.0977,0.9264746,"zinc finger protein 518A","244132_x_at",0.000446,9.82e-05,-4.6063567,0.883354,-1.1571996,"zinc finger protein 518A"
"495","ZNF585A","229794_at",1.2e-07,2.35e-08,-5.86,8.1442107,-0.724,"zinc finger protein 585A","ILMN_1764415",3.36e-06,2.25e-09,8.2599727,11.42684,1.8464225,"zinc finger protein 585A","243790_at",0.000673,0.000158,-4.4241723,0.413582,-0.79065597,"zinc finger protein 585A"
"496","ZNF644","229684_s_at",0.0142,0.00563,-2.8,-3.6818721,-0.585,"zinc finger protein 644","ILMN_1730118",0.00771707,0.000774,3.7220603,-0.71046,0.7957635,"zinc finger protein 644","229684_s_at",0.0102,0.00387,-3.1762007,-2.686332,-0.74108683,"zinc finger protein 644"
