"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"388","SLC38A9","243709_at",4.18e-08,7.75e-09,-6.08,9.2267557,-0.996,"solute carrier family 38 member 9","ILMN_1773643",0.0025061,0.00015,4.3092393,0.83824,0.7156541,"solute carrier family 38 member 9","243709_at",0.0024,0.000713,-3.8452967,-1.058732,-1.12195241,"solute carrier family 38 member 9"
"389","SLC39A8","216504_s_at",0.000301,9.03e-05,-4.01,0.1725981,-0.87,"solute carrier family 39 member 8","ILMN_1695316",0.04780565,0.0104,2.7253726,-3.11319,0.6206374,"solute carrier family 39 member 8","219869_s_at",1.07e-07,3.58e-09,8.7530826,11.06749,2.29815095,"solute carrier family 39 member 8"
"390","SLC47A2","231068_at",3.35e-05,8.81e-06,4.59,2.3971316,1.02,"solute carrier family 47 member 2","ILMN_1693912",0.00083362,2.82e-05,4.8939846,2.43024,1.6783035,"solute carrier family 47 member 2","231068_at",0.0169,0.00704,-2.9300275,-3.253155,-0.75761023,"solute carrier family 47 member 2"
"391","SLK","206875_s_at",1.61e-19,8.28e-21,10.7,36.4534842,0.605,"STE20 like kinase","ILMN_1700834",0.00258021,0.000157,4.2943018,0.79808,1.4319668,"STE20 like kinase","206874_s_at",3.16e-07,1.44e-08,-8.1362938,9.675432,-0.86813034,"STE20 like kinase"
"392","SMAD5-AS1","220263_at",0.00272,0.000946,-3.37,-2.0399189,-0.676,"SMAD5 antisense RNA 1","ILMN_1867725",0.01181831,0.00145,3.4911069,-1.29781,0.89029,"SMAD5 antisense RNA 1","220263_at",2.03e-07,8.2e-09,-8.3836681,10.239969,-1.89006303,"SMAD5 antisense RNA 1"
"393","SMARCC2","201320_at",2.13e-09,3.41e-10,-6.68,12.2872119,-0.644,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2","ILMN_1773620",0.04279708,0.00896,-2.7864188,-2.97752,-0.8471591,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2","1561973_at",0.00016,2.96e-05,-5.0644447,2.069648,-1.26643262,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
"394","SMYD2","212922_s_at",2.26e-18,1.32e-19,10.3,33.7055059,0.63,"SET and MYND domain containing 2","ILMN_1721605",0.00076315,2.44e-05,4.9443593,2.56868,0.7951538,"SET and MYND domain containing 2","212921_at",1.65e-08,3e-10,-9.9098914,13.538574,-1.2727389,"SET and MYND domain containing 2"
"395","SNRPA1","242146_at",1.94e-07,3.88e-08,-5.76,7.6547092,-1.4,"small nuclear ribonucleoprotein polypeptide A'","ILMN_1715179",0.00595323,0.000533,3.857567,-0.35936,1.1547001,"small nuclear ribonucleoprotein polypeptide A'","242146_at",0.000211,4.08e-05,-4.9415009,1.750984,-1.68420415,"small nuclear ribonucleoprotein polypeptide A'"
"396","SNX33","229898_at",8.94e-15,7.75e-16,-8.92,25.104164,-0.588,"sorting nexin 33","ILMN_1736093",0.00159953,7.5e-05,-4.5533869,1.49881,-1.0096386,"sorting nexin 33","229898_at",2.86e-05,3.8e-06,-5.8548467,4.108269,-0.74161631,"sorting nexin 33"
"397","SP1","214732_at",5.45e-08,1.02e-08,6.03,8.9535735,0.84,"Sp1 transcription factor","ILMN_1676010",0.01421275,0.00189,-3.3913248,-1.54672,-0.6794782,"Sp1 transcription factor","224754_at",0.00044,9.66e-05,-4.6123942,0.898953,-0.94351925,"Sp1 transcription factor"
