"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"40","IFI30","201422_at",7.98e-17,5.57e-18,9.71,29.9933642,0.862,"IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2","201422_at",0.395,0.02332089,2.43,-5.20405,0.912,"IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2","201422_at",1.21e-09,7.22e-12,11.8184859,17.233285,1.52853802,"IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2",8026971,0.0290816,0.00179,3.9020273,-1.34221,1.38522,"IFI30, lysosomal thiol reductase"
"41","IL2RG","204116_at",1.54e-14,1.36e-15,8.82,24.5440794,1.77,"interleukin 2 receptor subunit gamma","204116_at",0.33,0.01386463,2.66,-4.72008,0.986,"interleukin 2 receptor subunit gamma","204116_at",2.29e-08,4.73e-10,9.69137,13.085632,1.43487146,"interleukin 2 receptor subunit gamma",8173444,0.0145767,0.000589,4.4954372,-0.2422,0.69770476,"interleukin 2 receptor subunit gamma"
"42","IL4R","203233_at",2.96e-32,3.46e-34,15.5,67.0872949,2.41,"interleukin 4 receptor","203233_at",0.14,0.00033355,4.2,-1.10145,1.03,"interleukin 4 receptor","203233_at",5.77e-05,8.77e-06,5.5307845,3.275829,1.15603624,"interleukin 4 receptor",7994280,0.0020094,2.63e-05,6.3016747,2.84307,1.45979071,"interleukin 4 receptor"
"43","IL7R","226218_at",4.23e-28,8.22e-30,13.9,57.0620116,2.34,"interleukin 7 receptor","226218_at",0.235,0.00310804,3.3,-3.29264,1.69,"interleukin 7 receptor","205798_at",1.2e-06,7.84e-08,7.4150298,7.982684,2.05839729,"interleukin 7 receptor",8104901,0.0173582,0.000789,4.3376127,-0.53176,1.20296476,"interleukin 7 receptor"
"44","IRF1","238725_at",2.64e-28,5.02e-30,14,57.5523121,2.51,"interferon regulatory factor 1","238725_at",0.423,0.02905246,2.33,-5.40596,1.08,"interferon regulatory factor 1","238725_at",9.72e-07,5.99e-08,7.527715,8.251643,1.9463746,"interferon regulatory factor 1",8114010,0.002085,2.83e-05,6.2546502,2.76872,1.1951931,"interferon regulatory factor 1"
"45","ITGA4","213416_at",4.19e-15,3.51e-16,9.04,25.886595,1.45,"integrin subunit alpha 4","213416_at",0.333,0.01440331,2.64,-4.75582,0.8,"integrin subunit alpha 4","205884_at",1.09e-09,6.15e-12,11.9056005,17.391242,2.63414216,"integrin subunit alpha 4",8046695,0.0102631,0.000346,4.7870069,0.28559,0.59201381,"integrin subunit alpha 4"
"46","ITGAM","205786_s_at",0.00372,0.00132,3.27,-2.3512353,0.738,"integrin subunit alpha M","205786_s_at",0.338,0.01487386,2.63,-4.78594,0.873,"integrin subunit alpha M","205786_s_at",0.00112,0.000291,4.1912846,-0.183349,0.77269654,"integrin subunit alpha M",7995096,0.0251684,0.00143,4.0208574,-1.11974,0.70384095,"integrin subunit alpha M"
"47","ITGAX","210184_at",7.96e-08,1.52e-08,5.95,8.5662596,0.745,"integrin subunit alpha X","210184_at",0.196,0.00129985,3.65,-2.44339,0.661,"integrin subunit alpha X","210184_at",1.01e-07,3.33e-09,8.7855127,11.139245,1.76925944,"integrin subunit alpha X",7995128,0.0083249,0.000252,4.964469,0.60181,0.907325,"integrin subunit alpha X"
"48","JAML","228094_at",2.86e-07,5.83e-08,5.68,7.2563888,0.938,"junction adhesion molecule like","228094_at",0.288,0.00888513,2.85,-4.30016,0.844,"junction adhesion molecule like","228094_at",2.07e-05,2.58e-06,6.0051179,4.491869,0.8921065,"junction adhesion molecule like",7952022,0.0884555,0.0102,2.9961734,-3.04567,0.83717167,"junction adhesion molecule like"
"49","KIAA0226L","219471_at",2.84e-08,5.17e-09,6.16,9.6231209,0.986,"KIAA0226 like","219471_at",0.211,0.00195307,3.49,-2.84128,0.79,"KIAA0226 like","44790_s_at",1.26e-10,1.94e-13,13.9025478,20.78064,2.45664687,"KIAA0226 like",7971486,0.0279609,0.0017,3.9304759,-1.28887,0.73311119,"KIAA0226 like"
