"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"81","PTPRC","207238_s_at",1.1e-07,2.13e-08,5.88,8.2366382,1.06,"protein tyrosine phosphatase, receptor type C","212588_at",0.368,0.01900316,2.52,-5.01447,1.49,"protein tyrosine phosphatase, receptor type C","1569830_at",1.09e-06,6.93e-08,7.4666707,8.106143,1.82849846,"protein tyrosine phosphatase, receptor type C",7908553,0.0100479,0.000336,4.8038752,0.31582,1.38505262,"protein tyrosine phosphatase, receptor type C"
"82","RAB27A","209514_s_at",2.09e-49,3.14e-52,22.3,108.3997033,4.74,"RAB27A, member RAS oncogene family","210951_x_at",0.45,0.03542964,2.23,-5.58674,0.961,"RAB27A, member RAS oncogene family","209514_s_at",1.2e-07,4.16e-09,8.6851116,10.916629,1.41752112,"RAB27A, member RAS oncogene family",7989023,0.0007517,5.21e-06,7.3603479,4.43005,0.89444167,"RAB27A, member RAS oncogene family"
"83","RAB31","217763_s_at",3.21e-27,7.01e-29,13.6,54.9292375,2.63,"RAB31, member RAS oncogene family","217763_s_at",0.159,0.00051746,4.02,-1.53658,0.982,"RAB31, member RAS oncogene family","217763_s_at",2.68e-09,2.27e-11,11.2084336,16.10178,1.52772275,"RAB31, member RAS oncogene family",8020110,0.0033624,6e-05,5.7952301,2.02495,0.88262929,"RAB31, member RAS oncogene family"
"84","RAC2","213603_s_at",1.19e-15,9.4e-17,9.26,27.1924782,1.21,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","213603_s_at",0.255,0.00516423,3.09,-3.78219,1.1,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","207419_s_at",4.65e-09,5.06e-11,10.793886,15.306888,1.80855952,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",8075910,0.0019847,2.56e-05,6.3181031,2.86897,1.0800869,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"85","RNF19B","36564_at",6.49e-21,2.85e-22,11.3,39.7998315,1.13,"ring finger protein 19B","36564_at",0.323,0.01292823,2.69,-4.65442,0.89,"ring finger protein 19B","36564_at",0.000366,7.79e-05,4.6943512,1.110851,0.74235005,"ring finger protein 19B",7914603,0.002469,3.8e-05,6.0728968,2.47825,0.99053571,"ring finger protein 19B"
"86","S100A12","205863_at",3.31e-84,6.06e-89,40.6,191.7651815,9.8,"S100 calcium binding protein A12","205863_at",0.448,0.03512121,2.24,-5.5788,2.26,"S100 calcium binding protein A12","205863_at",6.62e-05,1.03e-05,5.4671137,3.111589,3.11453203,"S100 calcium binding protein A12",7920238,0.0586582,0.0054,3.3262634,-2.42685,0.83452,"S100 calcium binding protein A12"
"87","SELE","206211_at",1.18e-12,1.3e-13,8.07,20.0407661,2.37,"selectin E","206211_at",0.167,0.00069027,3.91,-1.82117,3.01,"selectin E","206211_at",0.0043,0.00141,3.5777739,-1.722068,1.16803427,"selectin E",7922229,3.36e-05,2.02e-09,14.4058365,11.64059,4.34590262,"selectin E"
"88","SELL","204563_at",7.62e-17,5.31e-18,9.72,30.0406479,1.84,"selectin L","204563_at",0.328,0.01354335,2.67,-4.69808,1.18,"selectin L","204563_at",4.2e-08,1.07e-09,9.306596,12.272497,2.46097596,"selectin L",7922219,0.0131957,0.000506,4.57853,-0.0908,1.57662381,"selectin L"
"89","SELP","206049_at",6.4e-06,1.54e-06,4.98,4.0797221,0.961,"selectin P","206049_at",0.318,0.01237849,2.71,-4.61355,0.742,"selectin P","206049_at",6.82e-06,6.72e-07,6.5377772,5.83583,1.09094669,"selectin P",7922200,0.0068901,0.00019,5.1247075,0.88381,1.19894381,"selectin P"
"90","SEPP1","229620_at",7.32e-10,1.11e-10,-6.88,13.3862617,-0.964,"selenoprotein P, plasma, 1","229620_at",0.244,0.00398599,-3.19,-3.53304,-0.658,"selenoprotein P, plasma, 1","229620_at",0.00107,0.000276,-4.2117783,-0.131025,-0.6998611,"selenoprotein P, plasma, 1",8111915,0.0187753,0.000899,-4.267224,-0.66168,-1.32368881,"selenoprotein P, plasma, 1"
"91","SERPINA1","211429_s_at",2.14e-37,1.46e-39,17.4,79.4011566,4.23,"serpin family A member 1","211429_s_at",0.475,0.04148984,2.16,-5.72942,1.03,"serpin family A member 1","202833_s_at",2.29e-10,5.07e-13,13.3236351,19.841899,3.10824108,"serpin family A member 1",7981068,0.0129954,0.000493,4.5920497,-0.06624,0.71018333,"serpin family A member 1"
"92","SERPINB1","212268_at",4.7e-41,2e-43,18.9,88.2532621,2.41,"serpin family B member 1","212268_at",0.459,0.03776849,2.2,-5.64463,0.776,"serpin family B member 1","212268_at",3.33e-07,1.54e-08,8.108489,9.61146,1.69720142,"serpin family B member 1",8123598,0.0050897,0.000113,5.4194744,1.3934,1.40191762,"serpin family B member 1"
"93","SERPINB9","242814_at",1.07e-17,6.7e-19,10,32.0929733,1.36,"serpin family B member 9","209723_at",0.494,0.04635881,2.1,-5.82902,0.682,"serpin family B member 9","242814_at",0.000142,2.56e-05,5.1189107,2.210795,1.31532691,"serpin family B member 9",8123609,0.0206286,0.00105,4.1858971,-0.81235,0.65581571,"serpin family B member 9"
"94","SH3BGRL2","225354_s_at",5.75e-17,3.93e-18,-9.76,30.3375302,-1.29,"SH3 domain binding glutamate rich protein like 2","225354_s_at",0.403,0.02507203,-2.39,-5.27076,-0.946,"SH3 domain binding glutamate rich protein like 2","225354_s_at",0.0121,0.00471,-3.0955741,-2.874275,-0.72264309,"SH3 domain binding glutamate rich protein like 2",8120833,0.0598115,0.00558,-3.3096634,-2.45811,-0.93409833,"SH3 domain binding glutamate rich protein like 2"
"95","SLA","203761_at",2.17e-08,3.91e-09,6.21,9.896636,0.982,"Src-like-adaptor","203761_at",0.258,0.00556707,3.05,-3.85423,0.633,"Src-like-adaptor","203761_at",1.93e-07,7.69e-09,8.4119449,10.303971,1.41088272,"Src-like-adaptor",8152988,0.0059964,0.00015,5.2589102,1.11732,0.6056519,"Src-like-adaptor"
"96","SLC16A7","207057_at",0.000404,0.000123,-3.93,-0.1231069,-0.934,"solute carrier family 16 member 7","230003_at",0.196,0.00134008,-3.64,-2.47325,-0.825,"solute carrier family 16 member 7","241925_x_at",0.00889,0.00331,-3.2395148,-2.537295,-0.60188963,"solute carrier family 16 member 7",7956658,0.0011651,1.06e-05,6.8834201,3.73553,0.95927452,"solute carrier family 16 member 7"
"97","SOCS3","227697_at",2.73e-19,1.44e-20,10.6,35.9058866,1.31,"suppressor of cytokine signaling 3","227697_at",0.169,0.00070902,3.9,-1.84759,1.95,"suppressor of cytokine signaling 3","206359_at",2.66e-07,1.17e-08,8.2285744,9.886998,2.1763153,"suppressor of cytokine signaling 3",8018864,0.0021608,3.06e-05,6.2068066,2.69274,1.21054238,"suppressor of cytokine signaling 3"
"98","SRGN","201858_s_at",6.39e-08,1.21e-08,5.99,8.7912836,1.22,"serglycin","201859_at",0.261,0.00591605,3.03,-3.91247,0.75,"serglycin","201858_s_at",2.31e-08,4.78e-10,9.6864072,13.075271,1.77771881,"serglycin",7927964,0.0018202,2.19e-05,6.4165811,3.02335,2.57336929,"serglycin"
"99","SSBP2","238484_s_at",1.13e-14,9.87e-16,-8.88,24.8641625,-1.35,"single stranded DNA binding protein 2","238484_s_at",0.139,0.00031069,-4.23,-1.03097,-1.06,"single stranded DNA binding protein 2","238483_at",1.51e-05,1.77e-06,-6.1546351,4.871746,-0.6899674,"single stranded DNA binding protein 2",8112940,0.0321354,0.00206,-3.8289378,-1.47943,-0.70415786,"single stranded DNA binding protein 2"
"100","STAT1","AFFX-HUMISGF3A/M97935_MA_at",5.62e-35,4.95e-37,16.5,73.6052364,3.61,"signal transducer and activator of transcription 1","209969_s_at",0.247,0.00419882,3.17,-3.58318,1.37,"signal transducer and activator of transcription 1","209969_s_at",1.64e-05,1.95e-06,6.1157691,4.773182,1.98366367,"signal transducer and activator of transcription 1",8057744,0.0017955,2.1e-05,6.4422581,3.06336,0.62040952,"signal transducer and activator of transcription 1"
"101","TAP1","202307_s_at",1.71e-20,7.88e-22,11.1,38.7892859,0.777,"transporter 1, ATP binding cassette subfamily B member","202307_s_at",0.403,0.02508062,2.39,-5.27108,0.745,"transporter 1, ATP binding cassette subfamily B member","202307_s_at",0.00374,0.0012,3.6418953,-1.564384,0.61304528,"transporter 1, ATP binding cassette subfamily B member",8125512,0.016729,0.00074,4.371715,-0.46898,0.60724833,"transporter 1, ATP binding cassette subfamily B member"
"102","TBX18","242107_x_at",8.58e-19,4.81e-20,-10.5,34.7057432,-1.4,"T-box 18","242107_x_at",0.252,0.00472864,-3.12,-3.69754,-0.725,"T-box 18","242107_x_at",0.000265,5.34e-05,-4.8388112,1.484872,-0.90585115,"T-box 18",8127932,0.0006785,4.22e-06,-7.5067184,4.63665,-0.69825,"T-box 18"
"103","TSPAN8","203824_at",9.09e-20,4.55e-21,-10.8,37.0470587,-2.27,"tetraspanin 8","203824_at",0.253,0.00478598,-3.12,-3.70913,-1.41,"tetraspanin 8","203824_at",0.000101,1.71e-05,-5.2746508,2.614123,-3.03371437,"tetraspanin 8",7964927,0.1577234,0.0257,-2.5158231,-3.92343,-1.0835281,"tetraspanin 8"
"104","TYROBP","204122_at",2.55e-05,6.6e-06,4.65,2.6745319,0.754,"TYRO protein tyrosine kinase binding protein","204122_at",0.358,0.01759474,2.55,-4.94283,0.985,"TYRO protein tyrosine kinase binding protein","204122_at",2.27e-09,1.8e-11,11.3291271,16.329209,1.38990256,"TYRO protein tyrosine kinase binding protein",8036224,0.0481829,0.00403,3.4781446,-2.14047,0.82418,"TYRO protein tyrosine kinase binding protein"
"105","VMP1","1569003_at",6.11e-27,1.39e-28,13.5,54.2513961,1.94,"vacuole membrane protein 1","1569003_at",0.283,0.00838584,2.88,-4.24524,1.12,"vacuole membrane protein 1","1569003_at",0.000334,6.99e-05,4.7360586,1.218778,1.16009452,"vacuole membrane protein 1",8008870,0.0005586,3.04e-06,7.7376626,4.9565,0.62546286,"vacuole membrane protein 1"
"106","ZC3H6","241372_at",6.23e-06,1.49e-06,-4.99,4.107635,-0.605,"zinc finger CCCH-type containing 6","227809_at",0.263,0.00617985,-3.01,-3.95421,-0.748,"zinc finger CCCH-type containing 6","227809_at",1.37e-07,4.95e-09,-8.6077969,10.744263,-0.80694551,"zinc finger CCCH-type containing 6",8044450,0.0020935,2.87e-05,-6.2459111,2.75487,-0.802605,"zinc finger CCCH-type containing 6"
