"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"295","FILIP1L","ILMN_1738578",0.00788137,0.000802,3.7095184,-0.74272,1.021074,"filamin A interacting protein 1 like","1554966_a_at",2.26e-05,2.87e-06,5.9644226,4.388156,0.58816671,"filamin A interacting protein 1 like"
"296","FNBP4","ILMN_2108938",0.0107429,0.00126,3.5418684,-1.17001,1.335202,"formin binding protein 4","229272_at",0.00973,0.00367,-3.1970609,-2.637366,-0.651176,"formin binding protein 4"
"297","FNTA","ILMN_1721704",0.00171692,8.42e-05,4.5126229,1.38803,0.977536,"farnesyltransferase, CAAX box, alpha","230808_at",0.00191,0.000546,-3.9486045,-0.799127,-0.68401696,"farnesyltransferase, CAAX box, alpha"
"298","FOXO4","ILMN_1712095",0.00077658,2.49e-05,-4.9369216,2.54823,-0.8423889,"forkhead box O4","205451_at",9.6e-07,5.89e-08,-7.5351598,8.269355,-0.73604707,"forkhead box O4"
"299","FXYD5","ILMN_1704286",0.02838886,0.00507,-3.0136493,-2.45743,-0.6982486,"FXYD domain containing ion transport regulator 5","218084_x_at",2.29e-08,4.7e-10,9.6941071,13.091344,1.01472687,"FXYD domain containing ion transport regulator 5"
"300","G6PC3","ILMN_2127477",0.00023035,3.69e-06,-5.5987058,4.37274,-1.0168798,"glucose-6-phosphatase catalytic subunit 3","44654_at",2.73e-09,2.33e-11,11.1933092,16.073154,0.96127438,"glucose-6-phosphatase catalytic subunit 3"
"301","GAA","ILMN_2410783",0.00102608,3.81e-05,-4.7891208,2.14254,-0.818484,"glucosidase alpha, acid","202812_at",1.53e-05,1.79e-06,6.1503547,4.860897,0.67436488,"glucosidase alpha, acid"
"302","GAS2L1","ILMN_2370535",0.00186736,9.63e-05,-4.465511,1.26022,-0.7794773,"growth arrest specific 2 like 1","31874_at",0.000267,5.39e-05,-4.8352385,1.475617,-0.59270923,"growth arrest specific 2 like 1"
"303","GBP1","ILMN_1701114",0.00035481,7.01e-06,5.3763767,3.75943,1.64122,"guanylate binding protein 1","231577_s_at",1.31e-06,8.76e-08,7.3687825,7.871831,2.05610138,"guanylate binding protein 1"
"304","GBP6","ILMN_1756953",0.00182847,9.39e-05,4.4745868,1.28482,1.2801267,"guanylate binding protein family member 6","1559606_at",0.0333,0.0157,2.5884658,-4.000567,0.70807921,"guanylate binding protein family member 6"
"305","GHR","ILMN_1775814",0.0060175,0.000545,3.8497729,-0.37967,0.7073674,"growth hormone receptor","205498_at",0.00352,0.00112,-3.6697039,-1.495726,-0.60238788,"growth hormone receptor"
"306","GJB3","ILMN_1789575",0.00384465,0.000281,-4.0868389,0.24389,-0.6094743,"gap junction protein beta 3","215243_s_at",4.61e-07,2.34e-08,-7.9276424,9.192834,-1.646215,"gap junction protein beta 3"
