"","Gene.symbol","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1","AAED1","ILMN_1717229",0.00592928,0.00053,3.8598374,-0.35344,1.082205,"AhpC/TSA antioxidant enzyme domain containing 1","227534_at",9.71e-06,1.03e-06,6.3673514,5.408758,0.94646776,"AhpC/TSA antioxidant enzyme domain containing 1"
"2","ABHD12","ILMN_2245305",0.01482068,0.00201,-3.3680685,-1.60428,-0.6510646,"abhydrolase domain containing 12","228124_at",0.000183,3.44e-05,-5.0059202,1.917958,-0.69958915,"abhydrolase domain containing 12"
"3","ABHD14A","ILMN_1794213",0.02097139,0.0033,-3.1799755,-2.06292,-0.6524567,"abhydrolase domain containing 14A","210006_at",7.07e-05,1.12e-05,5.4379756,3.036365,0.75641054,"abhydrolase domain containing 14A///aminoacylase 1"
"4","ABI3","ILMN_1755658",0.00661693,0.000625,-3.8001245,-0.50873,-0.7708603,"ABI family member 3","223615_at",1.62e-08,2.9e-10,9.9257746,13.571249,1.38397203,"ABI family member 3"
"5","ABLIM2","ILMN_1758825",0.00364409,0.00026,-4.1146462,0.31775,-0.8183847,"actin binding LIM protein family member 2","228132_at",0.00111,0.000287,-4.1958948,-0.171583,-0.79588965,"actin binding LIM protein family member 2"
"6","ACAA2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2"
"7","ACAT1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1"
"8","ACER3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3"
"9","ACP2","ILMN_2104830",0.00447043,0.000346,-4.0126975,0.04765,-0.6030181,"acid phosphatase 2, lysosomal","202767_at",1.04e-08,1.63e-10,10.2062109,14.142656,1.32693433,"acid phosphatase 2, lysosomal"
"10","ACP5","ILMN_2078599",0.02647422,0.0046,-3.0517231,-2.3681,-0.593246,"acid phosphatase 5, tartrate resistant","204638_at",5.38e-07,2.86e-08,7.8411987,8.991186,1.52187236,"acid phosphatase 5, tartrate resistant"
"11","ACSF2","ILMN_1711928",0.01060497,0.00124,-3.5482192,-1.15397,-0.6163694,"acyl-CoA synthetase family member 2","218844_at",0.00493,0.00166,-3.5138218,-1.87842,-0.64895525,"acyl-CoA synthetase family member 2"
"12","ACSL4","ILMN_1683598",0.00843835,0.000885,3.6732754,-0.83574,0.9656529,"acyl-CoA synthetase long-chain family member 4","202422_s_at",1.31e-05,1.49e-06,6.2211227,5.040047,0.8208624,"acyl-CoA synthetase long-chain family member 4"
"13","ACVR1B","ILMN_2243308",0.0493831,0.0109,-2.7074732,-3.15262,-0.6651741,"activin A receptor type 1B","208218_s_at",0.000619,0.000144,-4.4609683,0.5083,-0.71836458,"activin A receptor type 1B"
"14","ADAMTS1","ILMN_1673566",0.04405013,0.00931,2.7710073,-3.01194,0.9125307,"ADAM metallopeptidase with thrombospondin type 1 motif 1","222162_s_at",4.67e-06,4.24e-07,6.7223722,6.294974,1.31855105,"ADAM metallopeptidase with thrombospondin type 1 motif 1"
"15","ADAP1","ILMN_2047511",0.01652667,0.00237,-3.3060751,-1.75681,-1.0299766,"ArfGAP with dual PH domains 1","90265_at",5.99e-05,9.16e-06,5.513929,3.232368,0.79510902,"ArfGAP with dual PH domains 1"
"16","ADGRG1","ILMN_2352097",0.0447327,0.00951,-2.7621889,-3.03159,-0.8312674,"adhesion G protein-coupled receptor G1","206582_s_at",0.000102,1.73e-05,-5.2684947,2.598191,-0.61505364,"adhesion G protein-coupled receptor G1"
"17","AGAP6","ILMN_2209578",0.01641712,0.00236,3.3087262,-1.75032,1.1175358,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6","242393_x_at",0.00013,2.31e-05,-5.1585525,2.313502,-0.65202736,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6"
"18","AGFG2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2"
"19","AGPS","ILMN_1698209",0.00413329,0.000311,4.0507371,0.1482,0.9182704,"alkylglycerone phosphate synthase","205401_at",3.16e-09,2.89e-11,11.0816721,15.860987,0.98595529,"alkylglycerone phosphate synthase"
"20","AGTPBP1","ILMN_1718071",0.01466597,0.00199,3.3731219,-1.59178,0.8705634,"ATP/GTP binding protein 1","242008_at",0.000405,8.75e-05,-4.6502388,0.996766,-0.9207674,NA
"21","AGTRAP","ILMN_2307656",0.01195114,0.00148,-3.4833377,-1.3173,-0.5929717,"angiotensin II receptor associated protein","225059_at",2.53e-07,1.09e-08,8.2583369,9.954987,1.01778527,"angiotensin II receptor associated protein"
"22","AHSA2","ILMN_1798308",0.02653862,0.00462,3.0499915,-2.37218,1.2324498,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","230148_at",2.98e-06,2.46e-07,-6.9432534,6.839386,-0.78939569,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"23","AIF1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1"
"24","AIM1L","ILMN_1669557",0.02700073,0.00473,-3.0407924,-2.39381,-0.7011367,"absent in melanoma 1-like","220289_s_at",0.000615,0.000143,-4.4636942,0.51532,-0.87820809,"absent in melanoma 1-like"
"25","AKR1B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10"
"26","AKTIP","ILMN_1665982",0.02832932,0.00505,3.0149113,-2.45448,0.7233242,"AKT interacting protein","223894_s_at",0.000226,4.41e-05,-4.9118036,1.674015,-0.6421899,"AKT interacting protein"
"27","ALDH7A1","ILMN_1687508",0.01126008,0.00135,3.5163811,-1.23428,0.7279067,"aldehyde dehydrogenase 7 family member A1","213591_at",5.8e-05,8.82e-06,-5.5284302,3.269759,-0.83353744,"aldehyde dehydrogenase 7 family member A1"
"28","ALG5","ILMN_1664449",0.02796462,0.00497,3.0215512,-2.43894,0.769476,"ALG5, dolichyl-phosphate beta-glucosyltransferase","222556_at",3.13e-06,2.61e-07,6.919145,6.780238,0.88403713,"ALG5, dolichyl-phosphate beta-glucosyltransferase"
"29","ALOXE3","ILMN_1678255",0.04127085,0.00851,-2.8074763,-2.93031,-0.8650142,"arachidonate lipoxygenase 3","207708_at",8.68e-08,2.72e-09,-8.8768085,11.340475,-2.00964312,"arachidonate lipoxygenase 3"
"30","ANGPTL4","ILMN_1707727",0.03819247,0.00765,-2.8504171,-2.83339,-0.616771,"angiopoietin like 4","221009_s_at",0.00175,0.000492,3.9891517,-0.696786,0.86478826,"angiopoietin like 4"
"31","ANK3","ILMN_2390609",0.04500497,0.00958,2.7590252,-3.03862,0.7044751,"ankyrin 3, node of Ranvier (ankyrin G)","206385_s_at",4.18e-08,1.06e-09,-9.3099542,12.279681,-1.24442441,"ankyrin 3, node of Ranvier (ankyrin G)"
"32","ANKRD10","ILMN_2115218",0.00519003,0.000435,3.9308214,-0.1678,0.6767634,"ankyrin repeat domain 10","239116_at",0.0251,0.0112,2.732871,-3.690684,0.58552422,"ankyrin repeat domain 10"
"33","ANKRD13C","ILMN_2148507",0.01225987,0.00153,3.4704137,-1.34969,0.7548847,"ankyrin repeat domain 13C","1556361_s_at",0.0083,0.00305,-3.2716426,-2.461203,-0.61391862,"ankyrin repeat domain 13C"
"34","ANLN","ILMN_1739645",0.00745713,0.000735,3.740931,-0.66183,2.0315686,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein"
"35","ANXA11","ILMN_1807003",0.04512854,0.00962,-2.7574369,-3.04216,-0.6702948,"annexin A11","228727_at",0.000263,5.27e-05,-4.8432767,1.496442,-0.79289033,"annexin A11"
"36","ANXA2R","ILMN_2098616",0.01789963,0.00265,3.2646166,-1.85808,1.0181266,"annexin A2 receptor","227877_at",5.69e-08,1.58e-09,9.1246408,11.88099,1.14091751,"annexin A2 receptor"
"37","APCDD1L","ILMN_1689431",0.01314738,0.0017,-3.4311783,-1.44768,-0.9571712,"APC down-regulated 1 like","235548_at",0.0234,0.0103,2.7695187,-3.610568,0.8090028,"APC down-regulated 1 like"
"38","APOD","ILMN_1780170",0.00047468,1.12e-05,-5.2140236,3.31148,-1.7934745,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D"
"39","APOE","ILMN_1740938",0.00605211,0.00055,-3.8463329,-0.38863,-1.2549723,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA
"40","APOOL","ILMN_1777483",0.01816435,0.0027,3.2572367,-1.87605,1.2788763,"apolipoprotein O like","213289_at",0.000191,3.63e-05,-4.9863421,1.867211,-0.70300888,"apolipoprotein O like"
"41","AR","ILMN_1767351",0.03696277,0.0073,-2.8687712,-2.79171,-0.6705351,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor"
"42","ARF3","ILMN_1682938",0.00298034,0.000194,-4.2186942,0.5953,-0.9485949,"ADP ribosylation factor 3","211622_s_at",3.95e-06,3.48e-07,6.8026889,6.493577,0.75783611,"ADP ribosylation factor 3"
"43","ARFGAP3","ILMN_1731287",0.01038725,0.0012,3.5607159,-1.12237,0.8979759,"ADP ribosylation factor GTPase activating protein 3","202211_at",8.61e-07,5.15e-08,7.5919141,8.404142,0.68552428,"ADP ribosylation factor GTPase activating protein 3"
"44","ARG1","ILMN_1812281",0.02797078,0.00497,3.0213343,-2.43945,1.397024,"arginase 1","206177_s_at",0.00513,0.00174,-3.4956325,-1.922715,-0.99763775,"arginase 1"
"45","ARL6IP6","ILMN_1797964",0.02013612,0.00312,3.2019665,-2.00995,0.8952796,"ADP ribosylation factor like GTPase 6 interacting protein 6","225711_at",1.96e-05,2.42e-06,-6.0306438,4.556854,-0.62021576,"ADP ribosylation factor like GTPase 6 interacting protein 6"
"46","ARMC8","ILMN_1781151",0.01284059,0.00165,3.4439042,-1.41595,0.7398211,"armadillo repeat containing 8","236966_at",2.44e-05,3.14e-06,-5.9286804,4.29696,-1.36085451,"armadillo repeat containing 8"
"47","ARV1","ILMN_1800935",0.00918818,0.00101,3.6260375,-0.95645,0.8700429,"ARV1 homolog, fatty acid homeostasis modulator","238140_at",6.33e-05,9.79e-06,-5.4882451,3.166118,-1.30613358,"ARV1 homolog, fatty acid homeostasis modulator"
"48","ASCL2","ILMN_1723412",0.00454873,0.000357,-4.0014601,0.018,-0.9522263,"achaete-scute family bHLH transcription factor 2","229215_at",6.43e-05,9.96e-06,-5.4814102,3.148483,-0.68951616,"achaete-scute family bHLH transcription factor 2"
"49","ATF5","ILMN_1669113",0.00312559,0.00021,-4.1912109,0.52181,-0.7470307,"activating transcription factor 5","204998_s_at",9.94e-07,6.17e-08,7.5157088,8.223064,1.33987591,"activating transcription factor 5"
"50","ATG4C","ILMN_1700923",0.0031852,0.000215,4.1821532,0.49762,1.0630379,"autophagy related 4C cysteine peptidase","228190_at",4.85e-08,1.29e-09,9.21872,12.08398,0.59441033,"autophagy related 4C cysteine peptidase"
"51","ATG5","ILMN_1718265",0.01640022,0.00235,3.3092477,-1.74904,0.6566303,"autophagy related 5","210639_s_at",0.00012,2.09e-05,5.1977824,2.415116,0.58987019,"autophagy related 5"
"52","ATL2","ILMN_1716384",0.04161031,0.00861,2.8024384,-2.94163,0.871605,"atlastin GTPase 2","1553603_s_at",2.5e-06,1.98e-07,-7.0311483,7.054445,-0.71640786,"atlastin GTPase 2"
"53","ATP11B","ILMN_1658884",0.04925794,0.0108,2.7087023,-3.14992,0.8040641,"ATPase phospholipid transporting 11B (putative)","238811_at",0.00309,0.000958,-3.7303164,-1.345537,-0.77977322,"ATPase phospholipid transporting 11B (putative)"
"54","ATP5C1","ILMN_1701269",0.00702849,0.000682,3.7683984,-0.59089,1.3998656,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1","214132_at",5.21e-05,7.74e-06,-5.5788311,3.399635,-0.75990451,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
"55","ATP5H","ILMN_1666372",0.00668503,0.000633,3.7952649,-0.52133,1.1021988,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit D","1555998_at",4.04e-06,3.58e-07,-6.791404,6.465716,-0.86690992,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit D"
"56","ATP5S","ILMN_1679188",0.02354437,0.00391,3.1149346,-2.21849,0.7178415,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","239859_x_at",5.53e-06,5.21e-07,-6.6401027,6.0908,-0.63240341,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"
"57","ATP5SL","ILMN_1809027",0.04402023,0.0093,-2.7713794,-3.01111,-0.6123843,"ATP5S like","1557759_at",4.83e-05,7.08e-06,-5.6134625,3.488798,-1.09070612,"ATP5S like"
"58","ATP6V1C1","ILMN_1659801",0.01345506,0.00176,3.4192264,-1.47744,0.7456202,"ATPase H+ transporting V1 subunit C1","202872_at",2.44e-06,1.93e-07,7.0434778,7.084539,0.7362041,"ATPase H+ transporting V1 subunit C1"
"59","ATP8B4","ILMN_1783956",0.00167475,8e-05,4.5307931,1.43739,0.6779693,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.00434,0.00143,3.5726991,-1.734509,0.67330596,"ATPase phospholipid transporting 8B4 (putative)"
"60","ATP9A","ILMN_2089073",0.00836464,0.000872,-3.6785778,-0.82215,-0.8388448,"ATPase phospholipid transporting 9A (putative)","216129_at",1.13e-06,7.27e-08,-7.4466846,8.058402,-1.1276978,"ATPase phospholipid transporting 9A (putative)"
"61","ATPIF1","ILMN_1727332",0.00110484,4.22e-05,4.7539818,2.04629,1.3139001,"ATPase inhibitory factor 1","223339_at",1.51e-07,5.64e-09,-8.549441,10.613622,-0.64956162,"ATPase inhibitory factor 1"
"62","ATXN3","ILMN_2393497",0.01657895,0.00239,3.3040913,-1.76167,0.810649,"ataxin 3","217321_x_at",6.29e-05,9.71e-06,-5.4911939,3.173726,-0.58643062,"ataxin 3"
"63","AURKA","ILMN_2357438",0.01186649,0.00147,3.4868812,-1.30842,0.6681987,"aurora kinase A","208080_at",0.000359,7.6e-05,4.7039179,1.135602,0.76804333,"aurora kinase A"
"64","B3GALT4","ILMN_1690682",0.00407841,0.000306,-4.0566863,0.16395,-0.8842282,"beta-1,3-galactosyltransferase 4","216065_at",0.000238,4.69e-05,-4.8881974,1.612838,-0.5876829,"beta-1,3-galactosyltransferase 4"
"65","B3GALT6","ILMN_1739749",0.00275711,0.000173,-4.2600569,0.70613,-0.9067917,"beta-1,3-galactosyltransferase 6","1553959_a_at",0.000134,2.38e-05,5.1473649,2.284519,0.86764586,"beta-1,3-galactosyltransferase 6"
"66","B4GALT7","ILMN_1663541",0.01151699,0.0014,-3.5044894,-1.2642,-0.6077958,"beta-1,4-galactosyltransferase 7","53076_at",4.5e-06,4.07e-07,6.7394198,6.337189,1.01072118,"beta-1,4-galactosyltransferase 7"
"67","BACE2","ILMN_1669323",0.00787447,8e-04,-3.710017,-0.74144,-0.6372916,"beta-site APP-cleaving enzyme 2","217867_x_at",4.55e-06,4.12e-07,6.7343921,6.324742,0.83275592,"beta-site APP-cleaving enzyme 2"
"68","BAIAP2","ILMN_1699727",0.00778193,0.000784,-3.7175465,-0.72207,-0.9431352,"BAI1 associated protein 2","205294_at",0.000385,8.25e-05,-4.6724668,1.054244,-0.68610725,"BAI1 associated protein 2"
"69","BCAP29","ILMN_2342084",0.00242121,0.000143,4.32715,0.88644,1.359445,"B-cell receptor-associated protein 29","230150_at",4.44e-07,2.23e-08,-7.9484981,9.241335,-0.89924374,"B-cell receptor-associated protein 29"
"70","BCAR1","ILMN_1672596",0.0008274,2.79e-05,-4.8976087,2.4402,-0.7064719,"BCAR1, Cas family scaffolding protein","223116_at",1.45e-06,1e-07,7.313177,7.738188,0.58537578,"BCAR1, Cas family scaffolding protein"
"71","BCHE","ILMN_2176592",0.02245237,0.00364,3.1426499,-2.1524,1.1445752,"butyrylcholinesterase","205433_at",0.002,0.000575,-3.9288291,-0.848951,-1.35978516,"butyrylcholinesterase"
"72","BCL2L1","ILMN_1654118",0.00484829,0.000394,-3.966547,-0.07396,-1.0330706,"BCL2 like 1","212312_at",5.91e-05,9.01e-06,5.5201233,3.248341,0.66299707,"BCL2 like 1"
"73","BEX2","ILMN_2181892",0.03014888,0.00554,2.9786293,-2.53907,0.7258358,"brain expressed X-linked 2","224367_at",0.00203,0.000586,-3.9213686,-0.867732,-0.84866125,"brain expressed X-linked 2"
"74","BGN","ILMN_2206746",0.00548433,0.000475,-3.8992005,-0.25063,-1.1231488,"biglycan","201262_s_at",5.59e-06,5.27e-07,6.6350353,6.0782,1.40761685,"biglycan"
"75","BLCAP","ILMN_1675612",0.04267092,0.00892,-2.7882618,-2.9734,-0.6809371,"bladder cancer associated protein","1557522_x_at",2.85e-06,2.33e-07,-6.9649978,6.892674,-1.10911913,NA
"76","BOLA3","ILMN_1786658",3.947e-05,2e-07,6.6197382,7.16174,1.6121667,"bolA family member 3","227291_s_at",3.16e-05,4.29e-06,5.8078564,3.987975,0.64022238,"bolA family member 3"
"77","BTG3","ILMN_1707339",0.02335696,0.00386,3.1199703,-2.2065,0.9760454,"BTG anti-proliferation factor 3","215425_at",1.3e-06,8.71e-08,-7.3713661,7.878031,-1.34794136,"BTG anti-proliferation factor 3"
"78","BUB1","ILMN_2202948",0.03153793,0.00591,2.9533056,-2.59777,1.4362668,"BUB1 mitotic checkpoint serine/threonine kinase","209642_at",0.00199,0.000571,3.9314217,-0.842422,1.05361904,"BUB1 mitotic checkpoint serine/threonine kinase"
"79","C10orf99","ILMN_1802192",0.00071944,2.19e-05,4.9816844,2.67134,1.8205194,"chromosome 10 open reading frame 99","227736_at",0.0249,0.0111,2.7374663,-3.68067,1.23141362,"chromosome 10 open reading frame 99"
"80","C11orf96","ILMN_1677402",0.01658691,0.00239,-3.3037784,-1.76244,-0.7253861,"chromosome 11 open reading frame 96","227099_s_at",4.02e-06,3.55e-07,6.7941263,6.472438,1.37846956,"chromosome 11 open reading frame 96"
"81","C12orf29","ILMN_1792671",0.00977232,0.0011,3.5928281,-1.04095,1.1584999,"chromosome 12 open reading frame 29","213701_at",2.74e-06,2.22e-07,-6.9862318,6.944659,-0.71652297,"chromosome 12 open reading frame 29"
"82","C12orf4","ILMN_1751898",0.01201547,0.00149,3.479996,-1.32568,1.4195405,"chromosome 12 open reading frame 4","218374_s_at",3.98e-05,5.6e-06,5.7039751,3.721514,0.619497,"chromosome 12 open reading frame 4"
"83","C14orf37","ILMN_1796377",0.03117114,0.00583,2.9586006,-2.58552,0.5896138,"chromosome 14 open reading frame 37","1557176_a_at",1.22e-07,4.25e-09,8.6757157,10.895725,1.04496975,"chromosome 14 open reading frame 37"
"84","C15orf39","ILMN_1793729",3.258e-05,1.21e-07,-6.799112,7.64346,-1.4027833,"chromosome 15 open reading frame 39","215087_at",0.000345,7.26e-05,4.7211817,1.180274,1.18802381,"chromosome 15 open reading frame 39"
"85","C15orf41","ILMN_1747217",0.00809893,0.000836,3.6942462,-0.78196,0.7674878,"chromosome 15 open reading frame 41","224486_s_at",2.04e-07,8.26e-09,-8.3801397,10.231976,-0.70529408,"chromosome 15 open reading frame 41"
"86","C15orf59","ILMN_2141118",0.01460729,0.00197,-3.3757367,-1.58532,-0.8046121,"chromosome 15 open reading frame 59","230475_at",6.29e-05,9.73e-06,-5.4907723,3.172639,-0.69787664,"chromosome 15 open reading frame 59"
"87","C17orf62","ILMN_1750401",0.00170472,8.29e-05,-4.5183295,1.40353,-0.7748403,"chromosome 17 open reading frame 62","218130_at",1.36e-07,4.88e-09,8.613706,10.757465,1.31326341,"chromosome 17 open reading frame 62"
"88","C1GALT1C1","ILMN_1751234",0.00968477,0.00109,3.5972842,-1.02963,0.722402,"C1GALT1 specific chaperone 1","219283_at",1e-06,6.24e-08,7.5110746,8.212028,0.71641035,"C1GALT1 specific chaperone 1"
"89","C1orf106","ILMN_1713952",0.02812452,0.00501,-3.0179778,-2.44731,-0.8898249,"chromosome 1 open reading frame 106","219010_at",8.47e-07,5.05e-08,-7.5999704,8.423242,-1.43522365,"chromosome 1 open reading frame 106"
"90","C1orf53","ILMN_1661595",0.00153401,7.01e-05,4.5770367,1.56317,0.7336152,"chromosome 1 open reading frame 53","1558508_a_at",2.81e-06,2.29e-07,6.972383,6.910761,1.02091543,"chromosome 1 open reading frame 53"
"91","C21orf91","ILMN_1698166",0.00041778,9.21e-06,5.282055,3.49916,0.8684505,"chromosome 21 open reading frame 91","226109_at",2.23e-07,9.25e-09,-8.3306396,10.119652,-0.67231521,"chromosome 21 open reading frame 91"
"92","C22orf29","ILMN_1759595",0.01838979,0.00274,-3.2510076,-1.89119,-0.6770067,"chromosome 22 open reading frame 29","226204_at",4.98e-09,5.6e-11,-10.7425876,15.207024,-0.94388367,"chromosome 22 open reading frame 29///G protein subunit beta 1 like"
"93","C2orf40","ILMN_1676822",0.03492583,0.00679,2.8980377,-2.72493,0.7608111,"chromosome 2 open reading frame 40","223623_at",0.00137,0.000367,-4.1016233,-0.411722,-1.53407626,"chromosome 2 open reading frame 40"
"94","C2orf68","ILMN_1679771",0.00223872,0.000127,-4.3676704,0.99565,-0.9249999,"chromosome 2 open reading frame 68","221878_at",2.68e-06,2.16e-07,-6.9973722,6.971911,-0.62212921,"chromosome 2 open reading frame 68"
"95","C3orf14","ILMN_2224486",7.681e-05,6.31e-07,6.2146024,6.06316,1.5358308,"chromosome 3 open reading frame 14","236068_s_at",0.00436,0.00144,-3.571003,-1.738666,-0.6550656,"chromosome 3 open reading frame 14"
"96","C5","ILMN_1746819",0.00069509,2.08e-05,5.0000524,2.72188,1.2003836,"complement component 5","205500_at",2.67e-07,1.17e-08,-8.2281155,9.885949,-0.72448831,"complement component 5"
"97","C5orf46","ILMN_1718866",0.02105879,0.00333,3.1772852,-2.06938,1.1333679,"chromosome 5 open reading frame 46","1554195_a_at",0.000181,3.39e-05,-5.0121738,1.934167,-2.25469931,"chromosome 5 open reading frame 46"
"98","C9orf72","ILMN_1762508",0.00778191,0.000783,3.7179241,-0.7211,1.30686,"chromosome 9 open reading frame 72","1553133_at",0.00596,0.00208,3.4259898,-2.091559,0.76456569,"chromosome 9 open reading frame 72"
"99","CAB39L","ILMN_1783598",0.00098467,3.6e-05,4.8095376,2.1985,1.288323,"calcium binding protein 39 like","221003_s_at",1.63e-05,1.93e-06,-6.1201117,4.784201,-0.90842243,"calcium binding protein 39 like"
"100","CABLES1","ILMN_1653001",0.00259785,0.000158,-4.2907429,0.78852,-0.8709491,"Cdk5 and Abl enzyme substrate 1","225532_at",3.09e-07,1.4e-08,-8.1485541,9.703607,-0.81124544,"Cdk5 and Abl enzyme substrate 1"
"101","CALCOCO1","ILMN_1774427",0.00302598,2e-04,-4.2077163,0.56593,-0.7388694,"calcium binding and coiled-coil domain 1","209002_s_at",8.62e-09,1.27e-10,-10.3318699,14.395346,-0.81092682,"calcium binding and coiled-coil domain 1"
"102","CALD1","ILMN_1730487",6.55e-05,4.93e-07,6.3007273,6.2978,1.7774111,"caldesmon 1","201615_x_at",0.00135,0.000361,4.1083492,-0.394624,0.82482663,"caldesmon 1"
"103","CALM3","ILMN_1666385",0.02936098,0.00533,-2.9936791,-2.50405,-0.6899508,"calmodulin 3","200622_x_at",1.29e-09,7.97e-12,11.7647666,17.135436,1.01603002,"calmodulin 3///calmodulin 2///calmodulin 1"
"104","CAMK1D","ILMN_1751561",0.04896201,0.0108,-2.7118296,-3.14304,-0.8307746,"calcium/calmodulin dependent protein kinase ID","235626_at",4.03e-05,5.7e-06,-5.6974502,3.704754,-0.64189344,"calcium/calmodulin dependent protein kinase ID"
"105","CAMSAP3","ILMN_2273609",0.00030727,5.52e-06,-5.4594039,3.98853,-0.9685012,"calmodulin regulated spectrin associated protein family member 3","226494_at",2.72e-09,2.32e-11,-11.1960724,16.078386,-1.19692675,"calmodulin regulated spectrin associated protein family member 3"
"106","CAPN1","ILMN_1705261",0.03559523,0.00695,-2.8885194,-2.74669,-0.7817345,"calpain 1","232012_at",4.46e-06,4.03e-07,-6.7431701,6.346471,-0.97841008,"calpain 1"
"107","CAPN3","ILMN_1687971",0.03777335,0.00753,-2.8568072,-2.8189,-0.8047958,"calpain 3","210944_s_at",1.68e-07,6.44e-09,-8.490237,10.480606,-1.09557931,"calpain 3"
"108","CAPNS1","ILMN_1655418",0.00549889,0.000477,-3.897418,-0.2553,-1.0151797,"calpain small subunit 1","200001_at",8.79e-09,1.31e-10,10.3161769,14.363901,0.60915097,"calpain small subunit 1"
"109","CAPZA1","ILMN_1803742",0.0247481,0.00419,3.087919,-2.28263,0.6251015,"capping actin protein of muscle Z-line alpha subunit 1","241275_at",0.0124,0.00485,-3.0834748,-2.902294,-1.02587273,"capping actin protein of muscle Z-line alpha subunit 1"
"110","CARD18","ILMN_1692349",0.00156114,7.26e-05,4.5644915,1.52902,1.5865647,"caspase recruitment domain family member 18","231733_at",0.0264,0.0119,-2.7066192,-3.747716,-0.98371713,"caspase recruitment domain family member 18"
"111","CASK","ILMN_1654773",0.02540048,0.00435,3.0731625,-2.31754,0.8025206,"calcium/calmodulin dependent serine protein kinase","238698_at",1.31e-05,1.48e-06,6.2231253,5.04511,0.87991239,"calcium/calmodulin dependent serine protein kinase"
"112","CASP1","ILMN_2326512",0.00060351,1.65e-05,5.0807738,2.94415,1.0422397,"caspase 1","211366_x_at",1.15e-05,1.27e-06,6.2850437,5.201471,0.60193913,"caspase 1"
"113","CAST","ILMN_1672947",0.0386381,0.00778,2.8435604,-2.84893,0.9275201,"calpastatin","212580_at",0.00151,0.000414,4.0557386,-0.52822,0.59069548,"calpastatin"
"114","CASZ1","ILMN_1655191",0.03703235,0.00732,-2.8679166,-2.79365,-0.8491121,"castor zinc finger 1","220015_at",6.14e-06,5.92e-07,-6.588667,5.962774,-1.17214446,"castor zinc finger 1"
"115","CAV2","ILMN_1735220",0.03112247,0.00581,2.9599215,-2.58246,0.721353,"caveolin 2","203323_at",5.44e-05,8.16e-06,-5.5585217,3.347316,-0.60341965,"caveolin 2"
"116","CBLC","ILMN_1811729",0.02373454,0.00395,-3.1107355,-2.22848,-0.8641848,"Cbl proto-oncogene C","220638_s_at",0.000121,2.12e-05,-5.1916551,2.399247,-0.99529393,"Cbl proto-oncogene C"
"117","CBR4","ILMN_1813400",0.01850738,0.00277,3.2470542,-1.9008,0.871515,"carbonyl reductase 4","1553693_s_at",3.74e-06,3.26e-07,-6.8286885,6.557711,-1.46908098,"carbonyl reductase 4"
"118","CBX3","ILMN_1790625",7.757e-05,6.64e-07,6.19658,6.014,1.2084038,"chromobox 3","201091_s_at",1.65e-08,3e-10,9.9101805,13.539169,0.61112085,"chromobox 3"
