"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"1022","FUS","231108_at",0.0033,0.00117,-3.3,-2.2342723,-0.723,"FUS RNA binding protein","231108_at",0.000514,0.000116,-4.5439168,0.722137,-1.04977557,"FUS RNA binding protein"
"1023","FUT8","203988_s_at",1.09e-09,1.69e-10,-6.8,12.9761978,-1.02,"fucosyltransferase 8","1554930_a_at",1.12e-05,1.22e-06,6.3001678,5.239609,1.86754734,"fucosyltransferase 8"
"1024","FYB","227266_s_at",3.27e-10,4.77e-11,7.03,14.2192477,1.42,"FYN binding protein","211795_s_at",1.23e-06,8.09e-08,7.402093,7.951702,1.91617586,"FYN binding protein"
"1025","FYN","212486_s_at",7.12e-05,1.96e-05,-4.39,1.629828,-0.689,"FYN proto-oncogene, Src family tyrosine kinase","243006_at",0.0198,0.00845,-2.853353,-3.42518,-0.72243327,"FYN proto-oncogene, Src family tyrosine kinase"
"1026","FZD5","221245_s_at",9.55e-28,1.96e-29,13.8,56.1976161,2.29,"frizzled class receptor 5","221245_s_at",0.000581,0.000133,4.4900554,0.583237,0.77221281,"frizzled class receptor 5"
"1027","G0S2","213524_s_at",0.00019,5.55e-05,-4.14,0.6354106,-0.867,"G0/G1 switch 2","213524_s_at",0.00126,0.000332,4.1401672,-0.313662,1.34957397,"G0/G1 switch 2"
"1028","G3BP1","201514_s_at",0.000671,0.000212,3.79,-0.635995,0.68,"G3BP stress granule assembly factor 1","244396_at",0.0319,0.0149,-2.6099216,-3.955129,-0.66141038,"G3BP stress granule assembly factor 1"
"1029","GAB1","225998_at",4.49e-06,1.06e-06,5.07,4.4381046,0.816,"GRB2 associated binding protein 1","207112_s_at",0.00144,0.000389,-4.0795183,-0.467878,-0.59786219,"GRB2 associated binding protein 1"
"1030","GABBR1","238569_at",7.36e-21,3.27e-22,-11.2,39.6636841,-1.06,"gamma-aminobutyric acid type B receptor subunit 1","203146_s_at",0.000321,6.66e-05,-4.7544833,1.266473,-0.66264087,"gamma-aminobutyric acid type B receptor subunit 1"
"1031","GABPB1","206173_x_at",2.29e-09,3.68e-10,6.66,12.2126452,0.925,"GA binding protein transcription factor beta subunit 1","206173_x_at",2.69e-06,2.16e-07,6.9960893,6.968773,1.0119267,"GA binding protein transcription factor beta subunit 1"
"1032","GABPB1-AS1","231979_at",0.000583,0.000182,-3.83,-0.4929024,-0.594,"GABPB1 antisense RNA 1","235172_at",0.0098,0.0037,-3.1936552,-2.64537,-1.13465133,"GABPB1 antisense RNA 1"
"1033","GABRA4","208463_at",1.36e-14,1.19e-15,8.84,24.6752646,2.03,"gamma-aminobutyric acid type A receptor alpha4 subunit","233437_at",0.0206,0.00886,-2.833503,-3.469336,-0.84838861,"gamma-aminobutyric acid type A receptor alpha4 subunit"
"1034","GALK2","230918_at",6.37e-19,3.51e-20,-10.5,35.018267,-2.14,"galactokinase 2","230918_at",0.000185,3.48e-05,-5.0017386,1.907119,-1.27074422,"galactokinase 2"
"1035","GALNT2","239930_at",7.89e-08,1.51e-08,-5.95,8.5761062,-0.726,"polypeptide N-acetylgalactosaminyltransferase 2","223991_s_at",1.48e-11,3.53e-15,16.5333166,24.649743,1.57452679,"polypeptide N-acetylgalactosaminyltransferase 2"
"1036","GALNT6","219956_at",5.38e-42,2.04e-44,19.2,90.5220842,3.64,"polypeptide N-acetylgalactosaminyltransferase 6","219956_at",0.0216,0.00939,2.8086797,-3.52433,0.65261629,"polypeptide N-acetylgalactosaminyltransferase 6"
"1037","GALNT7","222587_s_at",1.48e-08,2.6e-09,-6.29,10.2959627,-1.24,"polypeptide N-acetylgalactosaminyltransferase 7","218313_s_at",0.00102,0.000258,4.2365796,-0.067644,0.7480276,"polypeptide N-acetylgalactosaminyltransferase 7"
"1038","GALNT8","205616_at",4.45e-10,6.59e-11,-6.98,13.9010555,-1.16,"polypeptide N-acetylgalactosaminyltransferase 8///potassium voltage-gated channel subfamily A member 6","205616_at",1.12e-05,1.23e-06,-6.2973264,5.232445,-1.17346815,"polypeptide N-acetylgalactosaminyltransferase 8///potassium voltage-gated channel subfamily A member 6"
"1039","GAN","228567_at",4.52e-23,1.55e-24,-12.1,44.9817127,-0.928,"gigaxonin","228567_at",1.43e-07,5.27e-09,-8.5797663,10.681569,-1.9545361,"gigaxonin"
"1040","GAPDHP62","238807_at",6.56e-05,1.8e-05,-4.42,1.712959,-0.596,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 62///ankyrin repeat domain 46","238807_at",0.00053,0.00012,-4.5299451,0.68609,-0.68064923,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 62///ankyrin repeat domain 46"
"1041","GAPVD1","214869_x_at",1.37e-25,3.56e-27,13,51.0241057,1.11,"GTPase activating protein and VPS9 domains 1","235553_at",3.41e-06,2.91e-07,-6.8756825,6.673437,-0.72168032,"GTPase activating protein and VPS9 domains 1"
"1042","GAREM1","235065_at",1.93e-12,2.17e-13,7.98,19.5341943,0.939,"GRB2 associated regulator of MAPK1 subtype 1","237262_at",3.8e-05,5.3e-06,-5.7250831,3.775713,-1.2628779,"GRB2 associated regulator of MAPK1 subtype 1"
"1043","GARNL3","223604_at",1.82e-10,2.57e-11,-7.15,14.8256587,-0.872,"GTPase activating Rap/RanGAP domain like 3","223604_at",3.07e-06,2.56e-07,-6.9276699,6.801161,-0.97490543,"GTPase activating Rap/RanGAP domain like 3"
"1044","GART","230766_at",2.15e-07,4.32e-08,5.74,7.5494162,1.12,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","236969_at",0.000276,5.6e-05,-4.8207664,1.438126,-0.86669629,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"1045","GAS1RR","1556936_at",2.28e-10,3.27e-11,-7.1,14.5895317,-1.03,"GAS1 adjacent regulatory RNA","1556936_at",0.00123,0.000324,-4.1493504,-0.290273,-1.02888193,"GAS1 adjacent regulatory RNA"
"1046","GATA3","209602_s_at",3.19e-19,1.69e-20,-10.6,35.7444281,-0.927,"GATA binding protein 3","209603_at",9.38e-09,1.42e-10,-10.2760463,14.283344,-1.85875226,"GATA binding protein 3"
"1047","GATA6","210002_at",6.81e-19,3.77e-20,-10.5,34.9472028,-1.78,"GATA binding protein 6","210002_at",0.0122,0.00478,3.0900346,-2.887109,0.81240937,"GATA binding protein 6"
"1048","GATAD2B","238076_at",1e-24,2.91e-26,-12.7,48.9329725,-0.725,"GATA zinc finger domain containing 2B","238076_at",5.05e-07,2.63e-08,-7.876468,9.073579,-0.86876848,"GATA zinc finger domain containing 2B"
"1049","GATB","233593_at",4.07e-35,3.55e-37,16.6,73.9367415,3.07,"glutamyl-tRNA amidotransferase subunit B","233593_at",6.02e-06,5.79e-07,-6.5975252,5.984843,-0.75303932,"glutamyl-tRNA amidotransferase subunit B"
"1050","GATM","231686_at",0.0014,0.000466,-3.57,-1.3787014,-0.667,"glycine amidinotransferase","203178_at",1.08e-05,1.17e-06,-6.3175715,5.283468,-0.83392253,"glycine amidinotransferase"
"1051","GBP1","202269_x_at",4.65e-36,3.66e-38,16.9,76.1970613,3.23,"guanylate binding protein 1","231577_s_at",1.31e-06,8.76e-08,7.3687825,7.871831,2.05610138,"guanylate binding protein 1"
"1052","GBP3","223434_at",3.96e-13,4.14e-14,8.26,21.169086,1.05,"guanylate binding protein 3","223434_at",4.81e-06,4.4e-07,6.7074492,6.257994,0.79744704,"guanylate binding protein 3"
"1053","GBP4","235175_at",1.42e-07,2.8e-08,5.83,7.9711514,0.76,"guanylate binding protein 4","235175_at",2.06e-06,1.56e-07,7.1294653,7.293909,1.6762247,"guanylate binding protein 4"
"1054","GBP5","229625_at",3.86e-27,8.55e-29,13.6,54.732224,1.83,"guanylate binding protein 5","238581_at",2.85e-08,6.3e-10,9.5551132,12.799967,3.39335552,"guanylate binding protein 5"
"1055","GBP6","1559607_s_at",1.14e-16,8.05e-18,9.65,29.6271581,1.93,"guanylate binding protein family member 6","1559606_at",0.0333,0.0157,2.5884658,-4.000567,0.70807921,"guanylate binding protein family member 6"
"1056","GCLM","203925_at",8.31e-07,1.79e-07,5.45,6.1624367,0.963,"glutamate-cysteine ligase modifier subunit","203925_at",0.000732,0.000175,4.3852603,0.313523,0.60186537,"glutamate-cysteine ligase modifier subunit"
"1057","GCNT2","230788_at",1.29e-21,5.26e-23,-11.5,41.4781415,-1.22,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)","230788_at",0.0364,0.0174,-2.543072,-4.095974,-0.87017514,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"
"1058","GDAP2","219473_at",1.65e-16,1.19e-17,9.59,29.2411719,1.09,"ganglioside induced differentiation associated protein 2","1554154_at",9.74e-05,1.64e-05,-5.2908924,2.656152,-0.72400538,"ganglioside induced differentiation associated protein 2"
"1059","GDF7","214238_at",1.37e-09,2.14e-10,-6.76,12.7456088,-0.614,"growth differentiation factor 7","214238_at",5.09e-05,7.53e-06,-5.5892286,3.426412,-0.88317603,"growth differentiation factor 7"
"1060","GDPD2","220291_at",1.73e-20,7.95e-22,-11.1,38.7795966,-1.35,"glycerophosphodiester phosphodiesterase domain containing 2","220291_at",5.28e-08,1.45e-09,-9.1653975,11.969076,-2.22898319,"glycerophosphodiester phosphodiesterase domain containing 2"
"1061","GDPD5","32502_at",1.06e-08,1.84e-09,-6.36,10.6360166,-1.04,"glycerophosphodiester phosphodiesterase domain containing 5","213343_s_at",0.000449,9.89e-05,4.6034271,0.875786,0.61586829,"glycerophosphodiester phosphodiesterase domain containing 5"
"1062","GFPT1","202721_s_at",1.9e-10,2.69e-11,7.14,14.7805363,0.782,"glutamine--fructose-6-phosphate transaminase 1","202721_s_at",1.43e-09,9.26e-12,11.6838551,16.987413,1.08777892,"glutamine--fructose-6-phosphate transaminase 1"
"1063","GFRA1","230163_at",3.63e-08,6.67e-09,-6.11,9.3724415,-0.838,"GDNF family receptor alpha 1","205696_s_at",0.000779,0.000189,-4.3567466,0.240276,-0.96639507,"GDNF family receptor alpha 1"
"1064","GGA2","208913_at",2.22e-11,2.82e-12,-7.54,17.0016033,-0.591,"golgi associated, gamma adaptin ear containing, ARF binding protein 2","208915_s_at",3.58e-07,1.69e-08,8.0683494,9.518924,0.63048423,"golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"1065","GGCX","214005_at",2.88e-10,4.17e-11,7.06,14.3511594,0.764,"gamma-glutamyl carboxylase","214005_at",2.68e-06,2.16e-07,6.9971883,6.971461,0.85413658,"gamma-glutamyl carboxylase"
"1066","GHR","205498_at",7.42e-09,1.26e-09,-6.43,11.0056691,-0.669,"growth hormone receptor","205498_at",0.00352,0.00112,-3.6697039,-1.495726,-0.60238788,"growth hormone receptor"
"1067","GIGYF2","237052_x_at",1.53e-19,7.83e-21,-10.7,36.5085872,-0.743,"GRB10 interacting GYF protein 2","1560133_at",4.91e-07,2.54e-08,-7.891184,9.107909,-1.57928873,NA
"1068","GIMAP1","1552318_at",3.06e-06,7.08e-07,-5.15,4.8300484,-0.603,"GTPase, IMAP family member 1","1552316_a_at",3.64e-06,3.16e-07,6.8419913,6.590496,1.15348595,"GTPase, IMAP family member 1"
"1069","GIMAP6","219777_at",9.29e-11,1.27e-11,-7.27,15.5196479,-0.591,"GTPase, IMAP family member 6","229367_s_at",4.03e-06,3.57e-07,6.7923667,6.468093,0.95961648,"GTPase, IMAP family member 6"
"1070","GIPC2","236548_at",7.38e-06,1.79e-06,-4.95,3.9336117,-0.756,"GIPC PDZ domain containing family member 2","219970_at",4.65e-07,2.36e-08,-7.9233279,9.182793,-1.18139561,"GIPC PDZ domain containing family member 2"
"1071","GJB2","223278_at",1.31e-52,1.15e-55,23.7,116.2494531,1.86,"gap junction protein beta 2","223278_at",0.0053,0.00181,3.4806302,-1.959189,0.8615149,"gap junction protein beta 2"
"1072","GK","217167_x_at",1.17e-34,1.07e-36,16.4,72.8427653,2.62,"glycerol kinase","215977_x_at",4.22e-07,2.09e-08,7.976713,9.306857,2.04622604,"glycerol kinase"
"1073","GK3P","215966_x_at",6.14e-38,3.98e-40,17.6,80.6943502,3.09,"glycerol kinase 3 pseudogene","215966_x_at",5.71e-07,3.09e-08,7.8088205,8.915401,1.81072618,"glycerol kinase 3 pseudogene"
"1074","GLA","214430_at",3.09e-11,3.99e-12,7.48,16.6609168,0.595,"galactosidase alpha","214430_at",1.37e-07,4.94e-09,8.6083196,10.745431,0.78331658,"galactosidase alpha"
"1075","GLB1L2","213713_s_at",4.67e-11,6.16e-12,7.4,16.2341273,0.642,"galactosidase beta 1 like 2","213713_s_at",2.56e-05,3.33e-06,-5.9064687,4.240238,-1.00837239,"galactosidase beta 1 like 2"
"1076","GLB1L3","1569886_a_at",1.01e-29,1.6e-31,14.5,60.9786093,1.43,"galactosidase beta 1 like 3","1569886_a_at",0.000219,4.25e-05,-4.925948,1.710673,-1.26289496,"galactosidase beta 1 like 3"
"1077","GLDC","204836_at",2.17e-10,3.1e-11,-7.11,14.6413499,-2.71,"glycine decarboxylase","204836_at",0.0455,0.0226,2.4257139,-4.337911,1.11225884,"glycine decarboxylase"
"1078","GLDN","230360_at",1.9e-12,2.14e-13,-7.98,19.5486259,-0.79,"gliomedin","230360_at",6.6e-07,3.69e-08,-7.7325631,8.736364,-1.32938212,"gliomedin"
"1079","GLG1","225918_at",1.71e-18,9.89e-20,-10.3,33.991303,-0.644,"golgi glycoprotein 1","214730_s_at",0.00381,0.00123,3.6328283,-1.586734,0.63225607,"golgi glycoprotein 1"
"1080","GLIDR","228040_at",7.1e-15,6.09e-16,-8.95,25.341384,-1.06,"glioblastoma down-regulated RNA","228040_at",4.78e-08,1.27e-09,-9.2281099,12.104174,-1.3318855,"glioblastoma down-regulated RNA"
"1081","GLIPR1","226142_at",0.000463,0.000143,3.89,-0.2617343,0.652,"GLI pathogenesis related 1","204222_s_at",2.37e-07,1e-08,8.295547,10.03982,1.18610585,"GLI pathogenesis related 1"
"1082","GLIPR2","225602_at",1.02e-09,1.57e-10,-6.82,13.0451704,-0.592,"GLI pathogenesis related 2","225604_s_at",1.03e-08,1.62e-10,10.2121059,14.154557,1.79217957,"GLI pathogenesis related 2"
"1083","GLMP","1558692_at",2.78e-23,9.31e-25,-12.1,45.4879463,-0.782,"glycosylated lysosomal membrane protein","1558693_s_at",4.82e-09,5.31e-11,10.7690644,15.258609,0.88723491,"glycosylated lysosomal membrane protein"
"1084","GLRB","205280_at",2.44e-13,2.5e-14,-8.34,21.6671245,-1.44,"glycine receptor beta","205279_s_at",0.0356,0.0169,-2.5543784,-4.072304,-0.71722833,"glycine receptor beta"
"1085","GLRX3","209080_x_at",9.03e-22,3.6e-23,11.6,41.8550773,1.33,"glutaredoxin 3","230095_at",5.7e-07,3.08e-08,-7.8101764,8.918578,-0.98325044,"glutaredoxin 3"
"1086","GLS","203158_s_at",2.48e-14,2.26e-15,8.74,24.0451866,1.16,"glutaminase","203158_s_at",1.17e-06,7.54e-08,7.4316325,8.022414,0.91345684,"glutaminase"
"1087","GLT1D1","229770_at",1.92e-26,4.59e-28,13.3,53.0602536,1.74,"glycosyltransferase 1 domain containing 1","229770_at",0.00216,0.000629,3.894127,-0.936237,0.7778085,"glycosyltransferase 1 domain containing 1"
"1088","GLTP","219267_at",4.3e-18,2.57e-19,10.2,33.0451476,0.787,"glycolipid transfer protein","219267_at",0.000249,4.95e-05,-4.8678669,1.560155,-0.60171473,"glycolipid transfer protein"
"1089","GLUL","217202_s_at",2.94e-36,2.26e-38,17,76.6762322,3.46,"glutamate-ammonia ligase","242281_at",3.44e-07,1.6e-08,8.0903575,9.569687,2.13000556,"glutamate-ammonia ligase"
"1090","GLYCTK","238518_x_at",5.77e-12,6.85e-13,7.78,18.3993474,0.818,"glycerate kinase","238518_x_at",8.19e-06,8.39e-07,6.4492319,5.614311,0.76209046,"glycerate kinase"
"1091","GM2A","215891_s_at",1.14e-38,6.79e-41,17.9,82.4549693,4.14,"GM2 ganglioside activator","215890_at",0.00201,0.000579,3.9262001,-0.85557,0.97190181,"GM2 ganglioside activator"
"1092","GMFB","202543_s_at",1.45e-29,2.34e-31,14.5,60.6044862,2.44,"glia maturation factor beta","202543_s_at",1.68e-07,6.45e-09,8.4900547,10.480196,0.99644741,"glia maturation factor beta"
"1093","GMIP","218913_s_at",3.21e-14,2.96e-15,8.7,23.777545,1.08,"GEM interacting protein","218913_s_at",4.9e-06,4.51e-07,6.698143,6.23492,1.05141106,"GEM interacting protein"
"1094","GNAS","228173_at",1.88e-08,3.34e-09,-6.24,10.049062,-0.871,"GNAS complex locus","214157_at",0.00169,0.000473,4.0038359,-0.659665,0.64249922,"GNAS complex locus"
"1095","GNB1","200744_s_at",5.25e-17,3.57e-18,9.78,30.4330608,0.804,"G protein subunit beta 1","200744_s_at",7e-08,2.09e-09,8.9982566,11.606398,0.93434825,"G protein subunit beta 1"
"1096","GNB5","204000_at",6.28e-15,5.36e-16,8.98,25.4686264,0.748,"G protein subunit beta 5","207124_s_at",9.73e-06,1.03e-06,6.3663934,5.406349,0.83823033,"G protein subunit beta 5"
"1097","GNL1","228857_at",2.59e-07,5.27e-08,-5.7,7.3550853,-0.873,"G protein nucleolar 1 (putative)","228857_at",4.5e-05,6.5e-06,-5.6465721,3.573981,-0.79971491,"G protein nucleolar 1 (putative)"
"1098","GNLY","37145_at",1.82e-13,1.84e-14,8.39,21.9725524,1.47,"granulysin","205495_s_at",1.74e-06,1.25e-07,7.2214366,7.51685,2.02086967,"granulysin"
"1099","GNRH1","207987_s_at",3.6e-07,7.46e-08,-5.63,7.0164369,-0.694,"gonadotropin releasing hormone 1","207987_s_at",7.36e-09,1.01e-10,-10.4438317,14.618763,-1.36106814,"gonadotropin releasing hormone 1"
"1100","GOLGA2P10","223326_s_at",4.09e-08,7.57e-09,6.09,9.2492005,0.712,"golgin A2 pseudogene 10","223326_s_at",0.00074,0.000178,-4.3801015,0.300266,-0.89679714,"golgin A2 pseudogene 10"
"1101","GOLGA4","215203_at",4.19e-11,5.49e-12,-7.42,16.3471137,-1.1,"golgin A4","215203_at",2.05e-06,1.54e-07,-7.1342751,7.305593,-1.7114034,"golgin A4"
"1102","GOLGA8A","208797_s_at",8.41e-14,8.17e-15,-8.53,22.773251,-0.894,"golgin A8 family member A","208798_x_at",7.37e-05,1.17e-05,-5.4188298,2.986918,-0.76332633,"golgin A8 family member A"
"1103","GOLT1B","218193_s_at",3.03e-12,3.49e-13,7.9,19.0645952,0.766,"golgi transport 1B","218193_s_at",5.72e-09,6.87e-11,10.6384994,15.003367,1.10560703,"golgi transport 1B"
"1104","GON4L","1555913_at",2e-08,3.57e-09,-6.23,9.9856465,-1.29,"gon-4 like","219846_at",0.00096,0.000242,-4.2621919,-0.002126,-1.00755368,"gon-4 like"
"1105","GOSR1","213021_at",2.69e-12,3.08e-13,7.92,19.1879315,0.636,"golgi SNAP receptor complex member 1","1555199_at",0.000974,0.000246,-4.2557524,-0.018605,-0.91601755,"golgi SNAP receptor complex member 1"
"1106","GOSR2","210009_s_at",8.36e-18,5.16e-19,10.1,32.3512425,1.99,"golgi SNAP receptor complex member 2","210009_s_at",3.22e-07,1.47e-08,8.1266272,9.653203,1.08915704,"golgi SNAP receptor complex member 2"
"1107","GPALPP1","220171_x_at",2.66e-09,4.3e-10,6.63,12.0585836,0.718,"GPALPP motifs containing 1","226429_at",0.000143,2.58e-05,-5.1163589,2.204183,-0.8476212,"GPALPP motifs containing 1"
"1108","GPAT2","235557_at",6.3e-05,1.72e-05,-4.43,1.7538921,-1,"glycerol-3-phosphate acyltransferase 2, mitochondrial","235557_at",0.00223,0.000654,3.8789514,-0.974348,0.77833008,"glycerol-3-phosphate acyltransferase 2, mitochondrial"
"1109","GPATCH2","219078_at",7.9e-11,1.07e-11,7.3,15.6881114,1.06,"G-patch domain containing 2","1556126_s_at",0.00166,0.000463,-4.0120794,-0.638813,-0.672285,NA
"1110","GPATCH2L","229514_at",3.61e-10,5.29e-11,-7.02,14.1169799,-0.8,"G-patch domain containing 2 like","239478_x_at",0.00161,0.000446,-4.0267413,-0.601702,-0.64327008,"G-patch domain containing 2 like"
"1111","GPBP1L1","1569320_at",0.00085,0.000272,-3.72,-0.8726702,-0.629,"GC-rich promoter binding protein 1 like 1","1569320_at",5.21e-05,7.75e-06,-5.5784059,3.39854,-1.48732091,"GC-rich promoter binding protein 1 like 1"
"1112","GPC2","239422_at",6.26e-26,1.56e-27,-13.1,51.8410022,-1.15,"glypican 2","239422_at",2e-09,1.52e-11,-11.4199343,16.499149,-1.50015381,"glypican 2"
"1113","GPC6","227059_at",9.69e-20,4.86e-21,-10.8,36.9819465,-2,"glypican 6","227059_at",1.84e-07,7.23e-09,8.4388955,10.364869,2.59007336,"glypican 6"
"1114","GPCPD1","230492_s_at",2.56e-34,2.41e-36,16.3,72.0313105,2.72,"glycerophosphocholine phosphodiesterase 1","230492_s_at",7.64e-07,4.44e-08,7.6544404,8.552153,1.22043181,"glycerophosphocholine phosphodiesterase 1"
"1115","GPD1L","212510_at",9.42e-32,1.18e-33,-15.3,65.8682068,-0.864,"glycerol-3-phosphate dehydrogenase 1-like","212510_at",7.78e-06,7.88e-07,-6.474311,5.677135,-0.76865177,"glycerol-3-phosphate dehydrogenase 1-like"
"1116","GPD2","210007_s_at",3.17e-16,2.35e-17,-9.48,28.5644785,-0.586,"glycerol-3-phosphate dehydrogenase 2","210007_s_at",0.00336,0.00106,-3.6913144,-1.442262,-0.63722565,"glycerol-3-phosphate dehydrogenase 2"
"1117","GPLD1","206265_s_at",1.78e-24,5.32e-26,12.6,48.332984,2.76,"glycosylphosphatidylinositol specific phospholipase D1","206265_s_at",0.000275,5.58e-05,-4.8220089,1.441344,-1.44988424,"glycosylphosphatidylinositol specific phospholipase D1"
"1118","GPR143","206696_at",9.07e-05,2.53e-05,4.33,1.3851837,0.7,"G protein-coupled receptor 143","206696_at",0.000165,3.05e-05,-5.0519041,2.037145,-0.94576066,"G protein-coupled receptor 143"
"1119","GPR155","239533_at",1.99e-14,1.78e-15,-8.78,24.278007,-0.894,"G protein-coupled receptor 155","239533_at",1.4e-05,1.62e-06,-6.1897656,4.960722,-0.82190363,"G protein-coupled receptor 155"
"1120","GPR160","223423_at",1.43e-09,2.24e-10,-6.75,12.700276,-1.19,"G protein-coupled receptor 160","223423_at",0.00249,0.000745,3.8283825,-1.10107,1.16840063,"G protein-coupled receptor 160"
"1121","GPR171","207651_at",2.75e-09,4.46e-10,6.63,12.0236506,1.55,"G protein-coupled receptor 171","207651_at",0.000434,9.52e-05,4.6181597,0.913851,0.76711769,"G protein-coupled receptor 171"
"1122","GPR18","210279_at",2.34e-05,6.03e-06,4.67,2.760958,0.698,"G protein-coupled receptor 18","210279_at",4.73e-07,2.43e-08,7.9116957,9.15571,1.80042306,"G protein-coupled receptor 18"
"1123","GPR183","205419_at",2.32e-20,1.09e-21,11,38.4680056,1.88,"G protein-coupled receptor 183","205419_at",5.39e-09,6.32e-11,10.6804826,15.085676,1.2454184,"G protein-coupled receptor 183"
"1124","GPR27","227769_at",1.69e-12,1.89e-13,-8,19.6711149,-0.961,"G protein-coupled receptor 27","227769_at",0.00011,1.89e-05,-5.2355992,2.513039,-0.62027948,"G protein-coupled receptor 27"
"1125","GPR39","208600_s_at",2.75e-05,7.16e-06,4.63,2.5957233,0.607,"G protein-coupled receptor 39","208600_s_at",2.24e-05,2.84e-06,5.9685565,4.398698,2.05752844,"G protein-coupled receptor 39"
"1126","GPR65","214467_at",7.09e-17,4.91e-18,9.73,30.117412,1.62,"G protein-coupled receptor 65","214467_at",1.7e-09,1.18e-11,11.5519637,16.744454,2.04531921,"G protein-coupled receptor 65"
"1127","GPR68","229055_at",2.96e-44,9.19e-47,20.2,95.8929903,2.4,"G protein-coupled receptor 68","229055_at",0.000109,1.87e-05,5.2386557,2.520952,0.98909099,"G protein-coupled receptor 68"
"1128","GPR78","211062_s_at",0.0112,0.00435,-2.89,-3.4487205,-0.676,"G protein-coupled receptor 78///carboxypeptidase Z","211062_s_at",0.00261,0.000789,3.8060517,-1.156891,0.91991403,"G protein-coupled receptor 78///carboxypeptidase Z"
"1129","GPR87","219936_s_at",7.4e-26,1.86e-27,13.1,51.6671197,0.939,"G protein-coupled receptor 87","219936_s_at",0.000425,9.3e-05,-4.6271389,0.937055,-1.04169165,"G protein-coupled receptor 87"
"1130","GPR89B","1562412_at",3.9e-05,1.04e-05,-4.55,2.2420339,-0.673,"G protein-coupled receptor 89B","1562412_at",6.59e-07,3.68e-08,-7.7338546,8.739403,-1.19639752,"G protein-coupled receptor 89B"
"1131","GPRASP1","204793_at",1.81e-13,1.83e-14,-8.39,21.9764005,-1.51,"G protein-coupled receptor associated sorting protein 1","204793_at",0.00272,0.000827,-3.7879648,-1.202038,-0.63994402,"G protein-coupled receptor associated sorting protein 1"
"1132","GPRC5A","203108_at",7.93e-08,1.52e-08,-5.95,8.570337,-1.56,"G protein-coupled receptor class C group 5 member A","203108_at",0.0159,0.00652,2.961631,-3.181593,1.40029657,"G protein-coupled receptor class C group 5 member A"
"1133","GPRIN2","206747_at",7.08e-07,1.52e-07,-5.48,6.3259824,-0.908,"G protein regulated inducer of neurite outgrowth 2","1554541_a_at",2.98e-05,3.99e-06,-5.8358514,4.05966,-0.82555601,"G protein regulated inducer of neurite outgrowth 2"
"1134","GPRIN3","240173_at",9.75e-10,1.5e-10,6.83,13.0917804,1.14,"GPRIN family member 3","1556698_a_at",3.06e-09,2.77e-11,11.1048216,15.90511,1.80796025,"GPRIN family member 3"
"1135","GPSM2","233058_at",3.75e-05,9.94e-06,4.56,2.2805617,0.809,"G-protein signaling modulator 2","233058_at",0.000253,5.04e-05,-4.8604325,1.540891,-0.58862468,"G-protein signaling modulator 2"
"1136","GPSM3","204265_s_at",1.43e-07,2.82e-08,5.83,7.9644015,0.734,"G-protein signaling modulator 3","204265_s_at",2.64e-09,2.19e-11,11.2265676,16.136065,1.55734956,"G-protein signaling modulator 3"
"1137","GRAMD3","238049_at",1.4e-07,2.75e-08,-5.83,7.9891404,-0.598,"GRAM domain containing 3","218706_s_at",4.85e-06,4.45e-07,-6.7031845,6.247421,-0.87481979,"GRAM domain containing 3"
"1138","GRB14","206204_at",2.11e-07,4.24e-08,-5.74,7.5660481,-1.71,"growth factor receptor bound protein 14","206204_at",0.0471,0.0236,-2.4075142,-4.374799,-1.37707707,"growth factor receptor bound protein 14"
"1139","GRB7","210761_s_at",8.79e-06,2.15e-06,4.91,3.7562391,0.588,"growth factor receptor bound protein 7","210761_s_at",7.92e-07,4.63e-08,-7.636669,8.510137,-1.09402036,"growth factor receptor bound protein 7"
"1140","GREB1L","243907_at",1.84e-28,3.44e-30,-14.1,57.9287087,-2.17,"growth regulation by estrogen in breast cancer 1 like","220340_at",2.18e-05,2.74e-06,-5.9818797,4.432662,-0.7789704,"growth regulation by estrogen in breast cancer 1 like"
"1141","GREM2","235504_at",2.28e-05,5.88e-06,-4.68,2.7850924,-0.599,"gremlin 2, DAN family BMP antagonist","220794_at",2.57e-07,1.12e-08,-8.247127,9.929394,-2.23248466,"gremlin 2, DAN family BMP antagonist"
"1142","GRHL1","1552685_a_at",6.48e-14,6.2e-15,8.57,23.0466567,2.02,"grainyhead like transcription factor 1","222830_at",2.28e-05,2.9e-06,-5.960417,4.377941,-1.01237858,"grainyhead like transcription factor 1"
