"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS"
"44","ADAM12","226777_at",2.23e-13,2.28e-14,8.36,21.7597716,1.77,"ADAM metallopeptidase domain 12","226777_at",9.28e-13,1.7e-17,20.6746882,29.66061,4.75001177,"ADAM metallopeptidase domain 12"
"45","ADAM19","209765_at",7.82e-12,9.41e-13,7.73,18.0858942,1.06,"ADAM metallopeptidase domain 19","209765_at",9.64e-09,1.48e-10,10.2558494,14.242721,2.00135852,"ADAM metallopeptidase domain 19"
"46","ADAM22","213411_at",2.02e-12,2.27e-13,-7.97,19.4876642,-1.54,"ADAM metallopeptidase domain 22","213411_at",5.17e-05,7.67e-06,-5.5821675,3.408228,-1.36885105,"ADAM metallopeptidase domain 22"
"47","ADAM23","244463_at",2.09e-38,1.27e-40,17.8,81.8338924,3.41,"ADAM metallopeptidase domain 23","206046_at",1.96e-08,3.8e-10,9.7955386,13.302343,1.30124367,"ADAM metallopeptidase domain 23"
"48","ADAM28","205997_at",0.000135,3.86e-05,4.23,0.9823735,0.799,"ADAM metallopeptidase domain 28","205997_at",1.51e-09,1e-11,11.6417828,16.910136,1.9660678,"ADAM metallopeptidase domain 28"
"49","ADAM8","205180_s_at",4.77e-14,4.48e-15,8.63,23.3684551,1.62,"ADAM metallopeptidase domain 8","205180_s_at",1.91e-07,7.58e-09,8.4179669,10.317587,1.49314437,"ADAM metallopeptidase domain 8"
"50","ADAMDEC1","206134_at",3.59e-41,1.5e-43,18.9,88.5359412,5.11,"ADAM like decysin 1","206134_at",9.63e-13,5.11e-17,19.7519452,28.641371,4.70355955,"ADAM like decysin 1"
"51","ADAMTS12","226997_at",0.00672,0.00249,3.07,-2.9380926,0.75,"ADAM metallopeptidase with thrombospondin type 1 motif 12","226997_at",7.73e-10,3.39e-12,12.2342773,17.979263,3.04394169,"ADAM metallopeptidase with thrombospondin type 1 motif 12"
"52","ADAMTS15","229004_at",2.69e-05,6.98e-06,-4.64,2.6205891,-1.12,"ADAM metallopeptidase with thrombospondin type 1 motif 15","229004_at",6.74e-06,6.63e-07,6.5433978,5.849864,1.17722614,"ADAM metallopeptidase with thrombospondin type 1 motif 15"
"53","ADAMTS2","226311_at",0.0289,0.0121,2.54,-4.3731548,0.636,"ADAM metallopeptidase with thrombospondin type 1 motif 2","226311_at",1.01e-08,1.57e-10,10.2246745,14.179914,2.32999566,"ADAM metallopeptidase with thrombospondin type 1 motif 2"
"54","ADAMTS5","219935_at",1e-10,1.38e-11,-7.26,15.4406718,-1.51,"ADAM metallopeptidase with thrombospondin type 1 motif 5","1558636_s_at",0.00147,4e-04,4.0687516,-0.495208,1.29793404,"ADAM metallopeptidase with thrombospondin type 1 motif 5"
"55","ADAMTS9-AS2","1556364_at",3.43e-16,2.56e-17,-9.47,28.4807278,-1.93,"ADAMTS9 antisense RNA 2","234078_at",1.5e-08,2.63e-10,-9.9729862,13.668172,-1.16787992,"ADAMTS9 antisense RNA 2"
"56","ADAMTSL1","229585_at",8.43e-06,2.06e-06,-4.92,3.7979454,-1.01,"ADAMTS like 1","1552457_a_at",0.00256,0.00077,3.8153099,-1.133759,0.77453242,"ADAMTS like 1"
"57","ADAMTSL3","213974_at",4.25e-13,4.46e-14,-8.25,21.0966349,-1.11,"ADAMTS like 3","213974_at",4.18e-08,1.06e-09,-9.3104348,12.280709,-1.82439999,"ADAMTS like 3"
"58","ADAP2","219358_s_at",1.64e-40,7.61e-43,18.7,86.9223794,3.41,"ArfGAP with dual PH domains 2","219358_s_at",3.98e-05,5.62e-06,5.7027573,3.718386,0.73840213,"ArfGAP with dual PH domains 2"
"59","ADCY2","213217_at",1.62e-22,5.9e-24,-11.9,43.6520761,-1.99,"adenylate cyclase 2","213217_at",2.24e-08,4.59e-10,-9.7056366,13.115398,-1.80503093,"adenylate cyclase 2"
"60","ADCYAP1","230237_at",0.000262,7.79e-05,4.05,0.3124548,1.24,"adenylate cyclase activating polypeptide 1","230237_at",1.11e-09,6.33e-12,11.8893659,17.361873,4.23016246,"adenylate cyclase activating polypeptide 1"
"61","ADD3-AS1","217380_s_at",2.22e-07,4.48e-08,-5.73,7.5133051,-0.678,"ADD3 antisense RNA 1","222072_at",0.00341,0.00108,-3.6848437,-1.458281,-0.59446903,"ADD3 antisense RNA 1"
"62","ADGRF1","238689_at",1.36e-11,1.69e-12,7.63,17.5077594,1.45,"adhesion G protein-coupled receptor F1","238689_at",0.0143,0.00576,3.0128094,-3.064923,1.39931471,"adhesion G protein-coupled receptor F1"
"63","ADGRF5","212951_at",2.48e-06,5.67e-07,-5.2,5.0457253,-0.779,"adhesion G protein-coupled receptor F5","212950_at",4.75e-05,6.93e-06,5.621272,3.508896,0.81081507,"adhesion G protein-coupled receptor F5"
