"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"729","PPP2R3C","239188_at",1.08e-05,2.66e-06,-4.86,3.5488503,-0.705,"protein phosphatase 2 regulatory subunit B''gamma","ILMN_1662617",0.0014158,6.23e-05,4.6178426,1.67433,1.2476067,"protein phosphatase 2 regulatory subunit B''gamma"
"730","PPP4R3B","224474_x_at",7.05e-08,1.34e-08,5.97,8.6891867,0.742,"protein phosphatase 4 regulatory subunit 3B","ILMN_1661650",0.04023481,0.00824,2.8204611,-2.9011,0.9315539,"protein phosphatase 4 regulatory subunit 3B"
"731","PRC1","218009_s_at",1.85e-27,3.9e-29,13.7,55.5122706,1.95,"protein regulator of cytokinesis 1","ILMN_1728934",0.0127071,0.00162,3.4490624,-1.40308,0.7452588,"protein regulator of cytokinesis 1"
"732","PRELID3B","229835_s_at",4.95e-36,3.9e-38,16.9,76.133973,1.3,"PRELI domain containing 3B","ILMN_1728168",0.0003568,7.14e-06,5.370348,3.74279,1.0796585,"PRELI domain containing 3B"
"733","PRICKLE3","217349_s_at",1.03e-15,8.11e-17,9.28,27.3391783,1.54,"prickle planar cell polarity protein 3","ILMN_1656942",0.00179145,9.07e-05,-4.4865459,1.31726,-0.6004321,"prickle planar cell polarity protein 3"
"734","PRIM1","205053_at",2.82e-19,1.49e-20,10.6,35.8705378,1.37,"primase (DNA) subunit 1","ILMN_2210129",2.843e-05,9.05e-08,6.9014127,7.91674,1.152601,"primase (DNA) subunit 1"
"735","PRMT3","213320_at",5.62e-19,3.08e-20,10.5,35.1495385,1.08,"protein arginine methyltransferase 3","ILMN_1662964",0.0037819,0.000274,4.0963541,0.26914,1.1220421,"protein arginine methyltransferase 3"
"736","PRMT9","228536_at",3.09e-11,3.99e-12,7.48,16.6607291,0.791,"protein arginine methyltransferase 9","ILMN_1778985",0.01611452,0.00229,3.3191477,-1.72476,0.8759814,"protein arginine methyltransferase 9"
"737","PRRC2C","211947_s_at",0.0287,0.012,2.54,-4.3660582,0.606,"proline rich coiled-coil 2C","ILMN_1743137",0.00626374,0.000576,3.8294782,-0.4325,1.078235,"proline rich coiled-coil 2C"
"738","PRSS8","202525_at",2.11e-22,7.8e-24,11.8,43.3740728,1.61,"protease, serine 8","ILMN_1796461",0.00343948,0.000239,-4.1445809,0.39741,-1.0398077,"protease, serine 8"
"739","PSD4","203317_at",8.37e-18,5.18e-19,10.1,32.3491447,0.995,"pleckstrin and Sec7 domain containing 4","ILMN_2154115",0.00014121,1.79e-06,-5.8506758,5.06645,-0.8912858,"pleckstrin and Sec7 domain containing 4"
"740","PSMA3","201532_at",6.68e-27,1.52e-28,13.5,54.1597642,0.604,"proteasome subunit alpha 3","ILMN_2318011",0.00010944,1.16e-06,6.0024874,5.48314,1.5760728,"proteasome subunit alpha 3"
"741","PSMA5","201274_at",1.65e-22,6.04e-24,11.8,43.6287065,0.896,"proteasome subunit alpha 5","ILMN_1759952",0.02712307,0.00477,3.0378918,-2.40062,0.8619526,"proteasome subunit alpha 5"
"742","PSMC2","201067_at",3.31e-06,7.68e-07,-5.14,4.7516292,-0.898,"proteasome 26S subunit, ATPase 2","ILMN_1768784",0.00792041,0.000807,3.7069999,-0.7492,0.9302072,"proteasome 26S subunit, ATPase 2"
"743","PSMD1","201198_s_at",6.63e-22,2.6e-23,11.6,42.1782606,1.08,"proteasome 26S subunit, non-ATPase 1","ILMN_1702837",0.004681,0.000373,3.9864592,-0.02154,1.165273,"proteasome 26S subunit, non-ATPase 1"
"744","PSMD10","1554577_a_at",0.000653,0.000206,3.8,-0.6073546,0.655,"proteasome 26S subunit, non-ATPase 10","ILMN_2383435",0.00055967,1.46e-05,5.1219225,3.05753,1.0050638,"proteasome 26S subunit, non-ATPase 10"
"745","PSMD12","202352_s_at",5.9e-40,2.9e-42,18.4,85.5902391,1.28,"proteasome 26S subunit, non-ATPase 12","ILMN_2368971",0.00691308,0.000667,3.7766593,-0.56952,1.0117574,"proteasome 26S subunit, non-ATPase 12"
"746","PSME3","209853_s_at",1.95e-40,9.08e-43,18.6,86.7468415,2.02,"proteasome activator subunit 3","ILMN_2346573",0.03623283,0.00711,-2.8793883,-2.76753,-0.7389759,"proteasome activator subunit 3"
"747","PSORS1C2","220635_at",3.71e-11,4.83e-12,7.44,16.4723614,2.36,"psoriasis susceptibility 1 candidate 2","ILMN_1653447",0.01704785,0.00248,-3.2897275,-1.79682,-1.4130187,"psoriasis susceptibility 1 candidate 2"
"748","PSPC1","226574_at",1.25e-20,5.65e-22,11.1,39.1200119,0.754,"paraspeckle component 1","ILMN_1724490",0.00194205,0.000103,4.4419345,1.19636,1.2954319,"paraspeckle component 1"
"749","PSTK","230129_at",2.08e-11,2.63e-12,7.55,17.0732884,0.781,"phosphoseryl-tRNA kinase","ILMN_1717707",0.01841458,0.00275,3.2501128,-1.89337,0.7423603,"phosphoseryl-tRNA kinase"
"750","PTGR1","228824_s_at",1.7e-12,1.91e-13,8,19.6615201,1.37,"prostaglandin reductase 1","ILMN_1704531",0.02590456,0.00448,3.0622316,-2.34334,0.7040386,"prostaglandin reductase 1"
"751","PTGS2","204748_at",0.00127,0.00042,3.6,-1.2802307,0.854,"prostaglandin-endoperoxide synthase 2","ILMN_2054297",0.00968477,0.00109,3.5972602,-1.02969,1.5983493,"prostaglandin-endoperoxide synthase 2"
"752","PTK6","1553114_a_at",4.94e-19,2.69e-20,10.5,35.2848938,0.768,"protein tyrosine kinase 6","ILMN_1764508",0.04724054,0.0103,-2.731513,-3.09963,-0.7042488,"protein tyrosine kinase 6"
