"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.VL","adj.P.Val.VL","P.Value.VL","t.VL","B.VL","logFC.VL","Gene.title.VL"
"1","AASDH","235435_at",0.000201,5.88e-05,-4.12,0.5801078,-0.602,"aminoadipate-semialdehyde dehydrogenase","ILMN_1784269",0.04635946,0.01,2.7418013,-3.07686,0.7257071,"aminoadipate-semialdehyde dehydrogenase"
"2","AASDHPPT","202170_s_at",7.62e-14,7.36e-15,8.55,22.8764103,0.927,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","ILMN_2096191",0.02904606,0.00526,2.9988941,-2.49189,0.9753801,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"3","ABHD4","242023_at",8.85e-08,1.7e-08,5.93,8.4583943,1.11,"abhydrolase domain containing 4","ILMN_1700633",0.00095256,3.45e-05,-4.823537,2.23688,-0.5910461,"abhydrolase domain containing 4"
"4","ABLIM2","228132_at",1.89e-29,3.1e-31,-14.4,60.3229346,-2.22,"actin binding LIM protein family member 2","ILMN_1758825",0.00364409,0.00026,-4.1146462,0.31775,-0.8183847,"actin binding LIM protein family member 2"
"5","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2"
"6","ACAP2","1552472_a_at",1.63e-36,1.21e-38,17.1,77.297785,2.68,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","ILMN_2088825",0.03440531,0.00666,2.9057652,-2.70723,0.8131197,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"7","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1"
"8","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3"
"9","ACOT7","208002_s_at",1.88e-26,4.51e-28,13.3,53.0787742,1.23,"acyl-CoA thioesterase 7","ILMN_2332250",0.00640275,0.000594,-3.8184096,-0.46127,-0.6895868,"acyl-CoA thioesterase 7"
"10","ACP1","201629_s_at",6.62e-21,2.92e-22,11.3,39.7761676,2.11,"acid phosphatase 1, soluble","ILMN_1669633",0.00120736,4.88e-05,4.702996,1.90681,0.9411387,"acid phosphatase 1, soluble"
"11","ACP5","204638_at",2.99e-25,8.07e-27,12.9,50.2087432,1.75,"acid phosphatase 5, tartrate resistant","ILMN_2078599",0.02647422,0.0046,-3.0517231,-2.3681,-0.593246,"acid phosphatase 5, tartrate resistant"
"12","ACSF2","218844_at",1.34e-15,1.07e-16,-9.24,27.0629238,-1.2,"acyl-CoA synthetase family member 2","ILMN_1711928",0.01060497,0.00124,-3.5482192,-1.15397,-0.6163694,"acyl-CoA synthetase family member 2"
"13","ACSM3","210377_at",1.15e-05,2.87e-06,-4.84,3.4774026,-1.22,"acyl-CoA synthetase medium-chain family member 3","ILMN_1771084",0.02239258,0.00362,3.1445099,-2.14795,1.4990075,"acyl-CoA synthetase medium-chain family member 3"
"14","ACSS1","224882_at",7.7e-14,7.45e-15,-8.54,22.864937,-0.641,"acyl-CoA synthetase short-chain family member 1","ILMN_1752269",0.00042842,9.62e-06,-5.2670121,3.45766,-0.9352907,"acyl-CoA synthetase short-chain family member 1"
"15","ACVR1B","205209_at",8.46e-08,1.62e-08,-5.94,8.5047275,-0.862,"activin A receptor type 1B","ILMN_2243308",0.0493831,0.0109,-2.7074732,-3.15262,-0.6651741,"activin A receptor type 1B"
"16","ADAT3","230634_x_at",1.13e-13,1.11e-14,8.48,22.4694278,1.83,"adenosine deaminase, tRNA specific 3///secretory carrier membrane protein 4","ILMN_1806275",0.00061095,1.68e-05,-5.0740551,2.92564,-0.9452009,"adenosine deaminase, tRNA specific 3"
"17","ADGRG1","206582_s_at",0.00073,0.000231,3.76,-0.7193887,0.609,"adhesion G protein-coupled receptor G1","ILMN_2352097",0.0447327,0.00951,-2.7621889,-3.03159,-0.8312674,"adhesion G protein-coupled receptor G1"
"18","ADRM1","201281_at",9.44e-17,6.62e-18,9.68,29.8219066,0.949,"adhesion regulating molecule 1","ILMN_2389013",0.01975436,0.00303,-3.2131044,-1.98306,-0.7138294,"adhesion regulating molecule 1"
"19","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2"
"20","AGGF1","218534_s_at",6.77e-21,2.99e-22,11.2,39.7523847,0.957,"angiogenic factor with G-patch and FHA domains 1","ILMN_2064917",0.00404417,0.000302,4.0622092,0.17858,1.0583187,"angiogenic factor with G-patch and FHA domains 1"
"21","AGO2","225827_at",3.65e-29,6.28e-31,14.3,59.6211072,1.8,"argonaute 2, RISC catalytic component","ILMN_1695719",0.03705653,0.00733,-2.8674532,-2.79471,-0.8071665,"argonaute 2, RISC catalytic component"
"22","AGPS","225114_at",4.83e-07,1.02e-07,5.56,6.716301,0.731,"alkylglycerone phosphate synthase","ILMN_1698209",0.00413329,0.000311,4.0507371,0.1482,0.9182704,"alkylglycerone phosphate synthase"
"23","AGTRAP","225059_at",8.36e-21,3.74e-22,11.2,39.5299528,1.08,"angiotensin II receptor associated protein","ILMN_2307656",0.01195114,0.00148,-3.4833377,-1.3173,-0.5929717,"angiotensin II receptor associated protein"
"24","AHSA2","212980_at",1.48e-07,2.93e-08,-5.82,7.9272187,-0.631,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)","ILMN_1798308",0.02653862,0.00462,3.0499915,-2.37218,1.2324498,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"25","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1"
"26","AK2","212173_at",4.42e-10,6.54e-11,6.98,13.9080289,0.866,"adenylate kinase 2","ILMN_1670542",0.02588589,0.00447,3.0627375,-2.34215,0.7808366,"adenylate kinase 2"
"27","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10"
"28","AKR1C3","209160_at",2.01e-09,3.2e-10,-6.69,12.3475583,-0.696,"aldo-keto reductase family 1, member C3","ILMN_1713124",0.02982205,0.00545,2.9853064,-2.52354,0.8309589,"aldo-keto reductase family 1, member C3"
"29","ALDH1A1","212224_at",3.13e-09,5.09e-10,-6.6,11.8926831,-0.849,"aldehyde dehydrogenase 1 family member A1","ILMN_2096372",0.01181195,0.00145,3.4917536,-1.29619,0.9145535,"aldehyde dehydrogenase 1 family member A1"
"30","ALDH7A1","208950_s_at",1.79e-35,1.49e-37,16.7,74.8012283,0.743,"aldehyde dehydrogenase 7 family member A1","ILMN_1687508",0.01126008,0.00135,3.5163811,-1.23428,0.7279067,"aldehyde dehydrogenase 7 family member A1"
"31","ALG11","221513_s_at",9.4e-16,7.36e-17,9.3,27.4348646,0.741,"ALG11, alpha-1,2-mannosyltransferase///UTP14A small subunit processome component///UTP14, small subunit processome component homolog C (S. cerevisiae)","ILMN_1660856",0.01238213,0.00155,3.4658256,-1.36117,0.8755508,"ALG11, alpha-1,2-mannosyltransferase"
"32","ALG13","219015_s_at",2.65e-24,8.02e-26,12.5,47.9254847,1.49,"ALG13, UDP-N-acetylglucosaminyltransferase subunit","ILMN_1761456",2.648e-05,7.9e-08,6.9500429,8.04626,1.7220372,"ALG13, UDP-N-acetylglucosaminyltransferase subunit"
"33","ALOXE3","222383_s_at",7.36e-14,7.09e-15,8.55,22.9133787,1.2,"arachidonate lipoxygenase 3","ILMN_1678255",0.04127085,0.00851,-2.8074763,-2.93031,-0.8650142,"arachidonate lipoxygenase 3"
"34","ANGPTL4","221009_s_at",9.02e-28,1.84e-29,13.8,56.2583662,3.58,"angiopoietin like 4","ILMN_1707727",0.03819247,0.00765,-2.8504171,-2.83339,-0.616771,"angiopoietin like 4"
"35","ANK3","239726_at",1.56e-07,3.09e-08,-5.81,7.8746045,-1.14,"ankyrin 3, node of Ranvier (ankyrin G)","ILMN_2390609",0.04500497,0.00958,2.7590252,-3.03862,0.7044751,"ankyrin 3, node of Ranvier (ankyrin G)"
"36","ANKRD12","212286_at",1.88e-10,2.67e-11,7.14,14.7897881,0.822,"ankyrin repeat domain 12","ILMN_1661833",0.00022241,3.54e-06,5.6136417,4.41392,1.7467286,"ankyrin repeat domain 12"
"37","ANKRD13C","1556361_s_at",1.16e-37,7.81e-40,17.5,80.0250518,3.82,"ankyrin repeat domain 13C","ILMN_2148507",0.01225987,0.00153,3.4704137,-1.34969,0.7548847,"ankyrin repeat domain 13C"
"38","ANKRD29","238332_at",1.22e-08,2.12e-09,6.33,10.4957586,1.29,"ankyrin repeat domain 29","ILMN_2075643",0.0029887,0.000196,4.2147814,0.58483,1.772159,"ankyrin repeat domain 29"
"39","ANKRD6","204671_s_at",1.58e-05,3.99e-06,-4.77,3.1590724,-0.915,"ankyrin repeat domain 6","ILMN_2178587",0.04232552,0.00883,2.7925252,-2.96385,0.7132695,"ankyrin repeat domain 6"
"40","ANKRD9","227959_at",7.03e-06,1.7e-06,4.96,3.9833097,0.761,"ankyrin repeat domain 9","ILMN_2048607",0.0143482,0.00192,-3.3866412,-1.55833,-0.753683,"ankyrin repeat domain 9"
"41","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","ILMN_1739645",0.00745713,0.000735,3.740931,-0.66183,2.0315686,"anillin actin binding protein"
"42","ANXA11","214783_s_at",1.35e-20,6.13e-22,-11.1,39.0386821,-1.04,"annexin A11","ILMN_1807003",0.04512854,0.00962,-2.7574369,-3.04216,-0.6702948,"annexin A11"
"43","AP1S2","203300_x_at",3.94e-06,9.23e-07,-5.1,4.5734473,-1.16,"adaptor related protein complex 1 sigma 2 subunit","ILMN_1766411",0.00313703,0.000211,4.1896533,0.51765,0.7730484,"adaptor related protein complex 1 sigma 2 subunit"
"44","AP3B1","203142_s_at",8.06e-09,1.37e-09,6.41,10.919396,0.696,"adaptor related protein complex 3 beta 1 subunit","ILMN_1768867",0.04055521,0.00832,2.8164385,-2.91015,0.7158337,"adaptor related protein complex 3 beta 1 subunit"
"45","AP5M1","222531_s_at",8.57e-17,6e-18,9.7,29.9193318,0.848,"adaptor related protein complex 5 mu 1 subunit","ILMN_1741331",0.01184643,0.00146,3.4881105,-1.30533,0.8309917,"adaptor related protein complex 5 mu 1 subunit"
"46","APEX2","204408_at",4.49e-39,2.53e-41,18.1,83.4369483,2.11,"apurinic/apyrimidinic endodeoxyribonuclease 2","ILMN_1652505",0.00923261,0.00101,-3.6237636,-0.96225,-0.872234,"apurinic/apyrimidinic endodeoxyribonuclease 2"
"47","APITD1-CORT","213454_at",1.44e-15,1.15e-16,9.22,26.9929396,1.11,"APITD1-CORT readthrough///apoptosis-inducing, TAF9-like domain 1","ILMN_1793360",2.622e-05,7.62e-08,6.96324,8.08137,0.9449499,"APITD1-CORT readthrough"
"48","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","ILMN_1780170",0.00047468,1.12e-05,-5.2140236,3.31148,-1.7934745,"apolipoprotein D"
"49","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","ILMN_1740938",0.00605211,0.00055,-3.8463329,-0.38863,-1.2549723,"apolipoprotein E"
"50","APOOL","222269_at",1.41e-24,4.18e-26,12.6,48.5722682,1.97,"apolipoprotein O like","ILMN_1777483",0.01816435,0.0027,3.2572367,-1.87605,1.2788763,"apolipoprotein O like"
"51","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","ILMN_1767351",0.03696277,0.0073,-2.8687712,-2.79171,-0.6705351,"androgen receptor"
"52","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","ILMN_1682938",0.00298034,0.000194,-4.2186942,0.5953,-0.9485949,"ADP ribosylation factor 3"
"53","ARG1","231663_s_at",9.66e-32,1.21e-33,15.3,65.8401353,4.59,"arginase 1","ILMN_1812281",0.02797078,0.00497,3.0213343,-2.43945,1.397024,"arginase 1"
"54","ARGLU1","227448_at",1.65e-18,9.53e-20,-10.4,34.028368,-0.977,"arginine and glutamate rich 1","ILMN_1788468",0.02671679,0.00466,3.0467072,-2.37991,1.1229793,"arginine and glutamate rich 1"
"55","ARHGAP11A","204492_at",6.16e-18,3.74e-19,10.1,32.6719494,1.03,"Rho GTPase activating protein 11A","ILMN_1673815",0.00056563,1.49e-05,5.1156225,3.04017,0.9318429,"Rho GTPase activating protein 11A"
"56","ARHGAP27","1554594_at",4.47e-13,4.7e-14,8.24,21.0430178,0.724,"Rho GTPase activating protein 27","ILMN_1656361",0.01187792,0.00147,-3.4863733,-1.30969,-0.6977366,"Rho GTPase activating protein 27"
"57","ARL6IP6","225711_at",6.76e-09,1.14e-09,6.45,11.1008935,0.797,"ADP ribosylation factor like GTPase 6 interacting protein 6","ILMN_1797964",0.02013612,0.00312,3.2019665,-2.00995,0.8952796,"ADP ribosylation factor like GTPase 6 interacting protein 6"
"58","ARMC8","236966_at",6.46e-07,1.38e-07,-5.5,6.4198546,-0.948,"armadillo repeat containing 8","ILMN_1781151",0.01284059,0.00165,3.4439042,-1.41595,0.7398211,"armadillo repeat containing 8"
"59","ARRB1","221861_at",7.7e-10,1.17e-10,6.87,13.3345934,0.984,"arrestin beta 1","ILMN_2325168",0.01508246,0.00207,-3.3572229,-1.63106,-0.6097428,"arrestin beta 1"
"60","ARSD","225280_x_at",1e-11,1.22e-12,-7.68,17.825631,-0.681,"arylsulfatase D","ILMN_1684873",0.01369555,0.0018,-3.4105887,-1.49891,-0.5971981,"arylsulfatase D"
"61","ASB6","221657_s_at",2.22e-10,3.17e-11,7.11,14.6197052,1.18,"ankyrin repeat and SOCS box containing 6","ILMN_2397776",0.01513375,0.00208,-3.3551257,-1.63623,-0.6095326,"ankyrin repeat and SOCS box containing 6"
"62","ASCC3","231269_at",1.21e-13,1.19e-14,8.47,22.3973208,1.15,"activating signal cointegrator 1 complex subunit 3","ILMN_1745772",0.02134569,0.00339,3.1705197,-2.08563,1.1169486,"activating signal cointegrator 1 complex subunit 3"
"63","ASMTL","36553_at",2.99e-11,3.85e-12,-7.48,16.6962309,-0.623,"acetylserotonin O-methyltransferase-like","ILMN_1689786",0.03373878,0.00648,-2.9165369,-2.68252,-0.6158336,"acetylserotonin O-methyltransferase-like"
"64","ASUN","221652_s_at",6.3e-20,3.11e-21,10.9,37.4268699,0.76,"asunder, spermatogenesis regulator","ILMN_2196337",0.00046655,1.09e-05,5.2247916,3.34118,1.6209429,"asunder, spermatogenesis regulator"
"65","ATAD2","222740_at",1.99e-21,8.25e-23,11.4,41.0309726,1.95,"ATPase family, AAA domain containing 2","ILMN_2048700",0.02120354,0.00336,3.1739244,-2.07746,1.6103156,"ATPase family, AAA domain containing 2"
"66","ATG2A","213300_at",1.67e-22,6.09e-24,11.8,43.6198672,1.02,"autophagy related 2A","ILMN_1756006",0.01014913,0.00117,-3.5720689,-1.09362,-0.9107922,"autophagy related 2A"
"67","ATG3","220237_at",6.1e-24,1.92e-25,12.4,47.0594053,1,"autophagy related 3","ILMN_1769566",0.00025112,4.11e-06,5.5615424,4.27027,1.3586774,"autophagy related 3"
"68","ATG4A","213115_at",2.5e-22,9.31e-24,11.8,43.1992604,0.683,"autophagy related 4A cysteine peptidase","ILMN_2313782",0.0080788,0.000833,3.6955087,-0.77872,0.9120588,"autophagy related 4A cysteine peptidase"
"69","ATG5","202511_s_at",1.34e-23,4.37e-25,12.2,46.2391751,0.805,"autophagy related 5","ILMN_1718265",0.01640022,0.00235,3.3092477,-1.74904,0.6566303,"autophagy related 5"
"70","ATG9A","202492_at",1.57e-09,2.48e-10,6.73,12.5999441,0.616,"autophagy related 9A","ILMN_1739008",0.00530092,0.000453,-3.9164481,-0.20548,-0.8566368,"autophagy related 9A"
"71","ATL2","237968_at",0.000142,4.08e-05,4.21,0.9281863,0.635,"atlastin GTPase 2","ILMN_1716384",0.04161031,0.00861,2.8024384,-2.94163,0.871605,"atlastin GTPase 2"
"72","ATM","210858_x_at",3.59e-10,5.27e-11,-7.02,14.1216103,-0.697,"ATM serine/threonine kinase","ILMN_2370825",0.01928524,0.00293,3.226042,-1.95176,1.5340904,"ATM serine/threonine kinase"
"73","ATP11B","1554556_a_at",1.09e-23,3.52e-25,12.3,46.4541471,2.19,"ATPase phospholipid transporting 11B (putative)","ILMN_1658884",0.04925794,0.0108,2.7087023,-3.14992,0.8040641,"ATPase phospholipid transporting 11B (putative)"
"74","ATP13A2","218608_at",6.47e-06,1.56e-06,4.98,4.0688658,0.664,"ATPase 13A2","ILMN_1704164",0.00339367,0.000235,-4.151383,0.41554,-0.7021088,"ATPase 13A2"
"75","ATP5S","238799_at",4.69e-14,4.4e-15,-8.63,23.3858172,-1.14,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)","ILMN_1679188",0.02354437,0.00391,3.1149346,-2.21849,0.7178415,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)"
"76","ATP5SL","1557759_at",2.94e-07,6.02e-08,-5.67,7.2250292,-0.945,"ATP5S like","ILMN_1809027",0.04402023,0.0093,-2.7713794,-3.01111,-0.6123843,"ATP5S like"
"77","ATP6V0D1","212041_at",1.44e-14,1.27e-15,8.83,24.6141079,0.808,"ATPase H+ transporting V0 subunit d1","ILMN_1795826",0.0041344,0.000312,-4.0504047,0.14732,-1.0726143,"ATPase H+ transporting V0 subunit d1"
"78","ATP6V1C1","202872_at",6.56e-15,5.61e-16,8.97,25.4235979,0.995,"ATPase H+ transporting V1 subunit C1","ILMN_1659801",0.01345506,0.00176,3.4192264,-1.47744,0.7456202,"ATPase H+ transporting V1 subunit C1"
"79","ATP6V1D","208899_x_at",1.78e-13,1.79e-14,8.4,21.9965589,1.18,"ATPase H+ transporting V1 subunit D","ILMN_1797310",0.03011278,0.00553,2.9793155,-2.53747,0.8605267,"ATPase H+ transporting V1 subunit D"
"80","ATP6V1G1","238765_at",7.63e-16,5.91e-17,9.33,27.6515795,1.6,"ATPase H+ transporting V1 subunit G1","ILMN_1784523",0.00753627,0.00075,3.7339737,-0.67977,0.8894927,"ATPase H+ transporting V1 subunit G1"
"81","ATP8B4","220416_at",1.49e-06,3.32e-07,-5.32,5.5649518,-0.676,"ATPase phospholipid transporting 8B4 (putative)","ILMN_1783956",0.00167475,8e-05,4.5307931,1.43739,0.6779693,"ATPase phospholipid transporting 8B4 (putative)"
"82","ATP9A","216129_at",1.29e-11,1.6e-12,-7.64,17.5640944,-1.08,"ATPase phospholipid transporting 9A (putative)","ILMN_2089073",0.00836464,0.000872,-3.6785778,-0.82215,-0.8388448,"ATPase phospholipid transporting 9A (putative)"
"83","ATXN3","205416_s_at",6.39e-17,4.4e-18,9.75,30.2275721,1.28,"ataxin 3","ILMN_2393497",0.01657895,0.00239,3.3040913,-1.76167,0.810649,"ataxin 3"
"84","AURKA","204092_s_at",8e-29,1.43e-30,14.2,58.8038835,3.02,"aurora kinase A","ILMN_2357438",0.01186649,0.00147,3.4868812,-1.30842,0.6681987,"aurora kinase A"
"85","AZI2","227904_at",2.61e-12,2.99e-13,7.92,19.217847,0.904,"5-azacytidine induced 2","ILMN_1733680",0.01899435,0.00287,3.2338082,-1.93294,1.3262533,"5-azacytidine induced 2"
"86","B3GALT6","1553959_a_at",1.58e-10,2.22e-11,7.17,14.9709789,1.46,"beta-1,3-galactosyltransferase 6","ILMN_1739749",0.00275711,0.000173,-4.2600569,0.70613,-0.9067917,"beta-1,3-galactosyltransferase 6"
"87","B4GAT1","203188_at",1.99e-20,9.25e-22,-11.1,38.6292661,-0.809,"beta-1,4-glucuronyltransferase 1","ILMN_1715384",0.00331672,0.000226,-4.1644153,0.45028,-0.791994,"beta-1,4-glucuronyltransferase 1"
"88","BAIAP2","205294_at",9.99e-20,5.03e-21,10.8,36.9488852,1.22,"BAI1 associated protein 2","ILMN_1699727",0.00778193,0.000784,-3.7175465,-0.72207,-0.9431352,"BAI1 associated protein 2"
"89","BAMBI","203304_at",5.09e-05,1.37e-05,-4.48,1.9716401,-0.961,"BMP and activin membrane bound inhibitor","ILMN_1691410",0.01382314,0.00183,3.4050878,-1.51258,0.8182873,"BMP and activin membrane bound inhibitor"
"90","BBS4","212744_at",5.7e-25,1.6e-26,-12.8,49.5279547,-0.77,"Bardet-Biedl syndrome 4","ILMN_1762466",0.00350561,0.000247,4.1325123,0.36528,0.9144435,"Bardet-Biedl syndrome 4"
"91","BBS7","219688_at",8.45e-12,1.02e-12,7.71,18.0049312,0.98,"Bardet-Biedl syndrome 7","ILMN_2257833",0.00058009,1.55e-05,5.1024958,3.004,1.220891,"Bardet-Biedl syndrome 7"
"92","BCHE","205433_at",1.85e-06,4.17e-07,-5.27,5.3448654,-0.953,"butyrylcholinesterase","ILMN_2176592",0.02245237,0.00364,3.1426499,-2.1524,1.1445752,"butyrylcholinesterase"
"93","BCKDK","202030_at",1.82e-18,1.05e-19,10.3,33.9299184,1.1,"branched chain ketoacid dehydrogenase kinase","ILMN_1693394",0.01688642,0.00245,-3.2947707,-1.78448,-0.7914533,"branched chain ketoacid dehydrogenase kinase"
"94","BCLAF1","229454_at",0.000477,0.000147,-3.88,-0.2917725,-0.648,"BCL2 associated transcription factor 1","ILMN_2357272",0.00980184,0.00111,3.5908788,-1.0459,1.7104008,"BCL2 associated transcription factor 1"
"95","BCR","202315_s_at",6.44e-18,3.92e-19,10.1,32.6249207,1.6,"BCR, RhoGEF and GTPase activating protein","ILMN_1670398",0.04002636,0.00818,-2.8231117,-2.89512,-0.7389334,"BCR, RhoGEF and GTPase activating protein"
"96","BEX5","229963_at",2.88e-12,3.31e-13,-7.91,19.117341,-0.983,"brain expressed X-linked 5","ILMN_1806473",0.02094623,0.00329,3.181166,-2.06005,0.6361842,"brain expressed X-linked 5"
"97","BGN","201261_x_at",2.93e-11,3.77e-12,-7.49,16.7176538,-0.7,"biglycan","ILMN_2206746",0.00548433,0.000475,-3.8992005,-0.25063,-1.1231488,"biglycan"
"98","BOK","223349_s_at",1.16e-18,6.59e-20,10.4,34.3941738,1.59,"BOK, BCL2 family apoptosis regulator","ILMN_1730032",0.00886015,0.000952,-3.6466324,-0.9039,-0.7617319,"BOK, BCL2 family apoptosis regulator"
"99","BORA","219544_at",8.19e-21,3.65e-22,11.2,39.5524448,1.58,"bora, aurora kinase A activator","ILMN_1761486",0.00062314,1.75e-05,5.0604632,2.8882,0.9940332,"bora, aurora kinase A activator"
"100","BPNT1","232103_at",2.32e-06,5.28e-07,5.22,5.1139086,0.591,"3'(2'), 5'-bisphosphate nucleotidase 1","ILMN_1712718",0.00559389,0.000489,3.8889791,-0.27736,0.596667,"3'(2'), 5'-bisphosphate nucleotidase 1"
"101","BRD3","203825_at",1.15e-13,1.14e-14,-8.47,22.4462225,-1.3,"bromodomain containing 3","ILMN_1785635",0.00604841,0.000549,-3.8470574,-0.38675,-1.0117944,"bromodomain containing 3"
"102","BRMS1L","224484_s_at",8.89e-21,3.98e-22,11.2,39.4663896,0.793,"breast cancer metastasis-suppressor 1-like","ILMN_1775943",0.00502343,0.000415,3.9479194,-0.12292,1.0709914,"breast cancer metastasis-suppressor 1-like"
"103","BTBD7","220297_at",3.24e-26,7.93e-28,13.2,52.5168615,1.31,"BTB domain containing 7","ILMN_1757298",0.01713877,0.0025,3.2869301,-1.80365,1.145828,"BTB domain containing 7"
"104","BUB1","209642_at",1.24e-32,1.39e-34,15.6,67.9944837,2.66,"BUB1 mitotic checkpoint serine/threonine kinase","ILMN_2202948",0.03153793,0.00591,2.9533056,-2.59777,1.4362668,"BUB1 mitotic checkpoint serine/threonine kinase"
"105","C10orf99","227735_s_at",7.18e-35,6.4e-37,16.5,73.348925,5.25,"chromosome 10 open reading frame 99","ILMN_1802192",0.00071944,2.19e-05,4.9816844,2.67134,1.8205194,"chromosome 10 open reading frame 99"
"106","C12orf29","228378_at",2.28e-40,1.07e-42,18.6,86.581511,3.07,"chromosome 12 open reading frame 29","ILMN_1792671",0.00977232,0.0011,3.5928281,-1.04095,1.1584999,"chromosome 12 open reading frame 29"
"107","C12orf4","218374_s_at",2.38e-13,2.43e-14,8.35,21.695047,1.19,"chromosome 12 open reading frame 4","ILMN_1751898",0.01201547,0.00149,3.479996,-1.32568,1.4195405,"chromosome 12 open reading frame 4"
"108","C12orf45","226349_at",4.6e-11,6.06e-12,7.4,16.2502253,0.902,"chromosome 12 open reading frame 45","ILMN_1728435",1.69e-06,3.34e-10,8.9956336,13.22226,1.3557627,"chromosome 12 open reading frame 45"
"109","C12orf56","236840_at",9.42e-52,1e-54,23.4,114.1066198,4,"chromosome 12 open reading frame 56","ILMN_1770616",0.00123291,5.05e-05,4.6910133,1.87406,1.4086963,"chromosome 12 open reading frame 56"
"110","C15orf59","230475_at",3.6e-06,8.4e-07,-5.12,4.6647443,-0.779,"chromosome 15 open reading frame 59","ILMN_2141118",0.01460729,0.00197,-3.3757367,-1.58532,-0.8046121,"chromosome 15 open reading frame 59"
"111","C19orf24","221587_s_at",7.36e-13,7.91e-14,8.15,20.52985,0.989,"chromosome 19 open reading frame 24","ILMN_1678052",0.0003107,5.61e-06,-5.4536454,3.97264,-1.1060509,"chromosome 19 open reading frame 24"
"112","C1GALT1C1","238989_at",4.33e-11,5.68e-12,-7.41,16.3132657,-1.07,"C1GALT1 specific chaperone 1","ILMN_1751234",0.00968477,0.00109,3.5972842,-1.02963,0.722402,"C1GALT1 specific chaperone 1"
"113","C1orf112","220840_s_at",2.09e-08,3.74e-09,6.22,9.9392136,0.663,"chromosome 1 open reading frame 112","ILMN_1727540",0.02554828,0.00439,3.0699277,-2.32518,0.99103,"chromosome 1 open reading frame 112"
"114","C1orf115","218546_at",4.51e-23,1.54e-24,-12.1,44.9850626,-1.43,"chromosome 1 open reading frame 115","ILMN_1674817",0.01015953,0.00117,-3.5712112,-1.09579,-0.6061371,"chromosome 1 open reading frame 115"
"115","C1orf53","1558508_a_at",1.37e-11,1.7e-12,7.62,17.5041551,0.7,"chromosome 1 open reading frame 53","ILMN_1661595",0.00153401,7.01e-05,4.5770367,1.56317,0.7336152,"chromosome 1 open reading frame 53"
"116","C21orf91","220941_s_at",4.58e-33,4.95e-35,15.8,69.0232021,2.32,"chromosome 21 open reading frame 91","ILMN_1698166",0.00041778,9.21e-06,5.282055,3.49916,0.8684505,"chromosome 21 open reading frame 91"
"117","C2orf40","223623_at",1.96e-18,1.14e-19,-10.3,33.8544354,-1.88,"chromosome 2 open reading frame 40","ILMN_1676822",0.03492583,0.00679,2.8980377,-2.72493,0.7608111,"chromosome 2 open reading frame 40"
"118","C2orf49","219662_at",4.73e-25,1.31e-26,12.8,49.7235199,1.57,"chromosome 2 open reading frame 49","ILMN_1701131",0.00021758,3.39e-06,5.6285662,4.45506,1.2867857,"chromosome 2 open reading frame 49"
