"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD","ID.HS","adj.P.Val.HS","P.Value.HS","t.HS","B.HS","logFC.HS","Gene.title.HS","ID","adj.P.Val","P.Value","t","B","logFC","Gene.title"
"1","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","202003_s_at",0.204,0.00171347,-3.54,-2.7136,-1.31,"acetyl-CoA acyltransferase 2","202002_at",1.71e-07,6.65e-09,8.4762988,10.449222,0.61052869,"acetyl-CoA acyltransferase 2","ILMN_1660199",0.01182584,0.00145,3.4899491,-1.30072,0.7129633,"acetyl-CoA acyltransferase 2"
"2","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","205412_at",0.115,2.919e-05,-5.17,1.33598,-0.598,"acetyl-CoA acetyltransferase 1","1559239_s_at",0.000904,0.000225,-4.2894282,0.067615,-0.8693785,"acetyl-CoA acetyltransferase 1","ILMN_1800008",0.03651638,0.00719,2.8750528,-2.77741,0.7069348,"acetyl-CoA acetyltransferase 1"
"3","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","222689_at",0.293,0.00947538,2.83,-4.36115,0.75,"alkaline ceramidase 3","222689_at",4.84e-08,1.29e-09,9.2202897,12.087356,0.9405161,"alkaline ceramidase 3","ILMN_1812552",0.00364409,0.00026,4.1144945,0.31734,0.6730827,"alkaline ceramidase 3"
"4","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","222362_at",0.377,0.02037859,-2.49,-5.07933,-0.836,"ArfGAP with FG repeats 2","222362_at",4.96e-09,5.56e-11,-10.7460353,15.213746,-1.69429935,"ArfGAP with FG repeats 2","ILMN_1703228",0.00059733,1.61e-05,-5.0876697,2.96314,-0.7365093,"ArfGAP with FG repeats 2"
"5","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","209901_x_at",0.457,0.03703209,2.21,-5.62682,1.01,"allograft inflammatory factor 1","213095_x_at",1.36e-07,4.86e-09,8.6154621,10.761388,1.16394457,"allograft inflammatory factor 1","ILMN_1792473",0.01097107,0.0013,3.5309648,-1.19753,0.8874445,"allograft inflammatory factor 1"
"6","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","206561_s_at",0.31,0.01145253,2.74,-4.5403,2.98,"aldo-keto reductase family 1 member B10","206561_s_at",0.00425,0.0014,3.5827111,-1.709959,1.77668876,"aldo-keto reductase family 1 member B10","ILMN_1672148",1.813e-05,3.7e-08,7.2234893,8.76967,2.2752749,"aldo-keto reductase family 1 member B10"
"7","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","222608_s_at",0.482,0.04300771,2.14,-5.76173,0.756,"anillin actin binding protein","222608_s_at",0.00146,0.000397,-4.0713383,-0.488644,-0.74879019,"anillin actin binding protein","ILMN_1739645",0.00745713,0.000735,3.740931,-0.66183,2.0315686,"anillin actin binding protein"
"8","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","201525_at",0.213,0.00218688,-3.44,-2.95141,-1.06,"apolipoprotein D","201525_at",0.0434,0.0214,-2.4509338,-4.28651,-0.59472934,"apolipoprotein D","ILMN_1780170",0.00047468,1.12e-05,-5.2140236,3.31148,-1.7934745,"apolipoprotein D"
"9","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","212884_x_at",0.255,0.00487523,-3.11,-3.72688,-0.647,"apolipoprotein E","212883_at",0.00269,0.000817,3.7923091,-1.191199,0.98180058,NA,"ILMN_1740938",0.00605211,0.00055,-3.8463329,-0.38863,-1.2549723,"apolipoprotein E"
"10","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","211621_at",0.366,0.01861555,-2.53,-4.99532,-0.614,"androgen receptor","226197_at",0.00197,0.000564,-3.9358778,-0.831199,-0.84481639,"androgen receptor","ILMN_1767351",0.03696277,0.0073,-2.8687712,-2.79171,-0.6705351,"androgen receptor"
