"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"1086","TIMP3","201150_s_at",8.13e-34,8.04e-36,-16.1,70.8311174,-1.17,"TIMP metallopeptidase inhibitor 3","201148_s_at",0.438,0.0320591,-2.28,-5.49586,-0.851,"TIMP metallopeptidase inhibitor 3"
"1087","TIMP4","206243_at",1.66e-09,2.62e-10,-6.72,12.5452089,-1.65,"TIMP metallopeptidase inhibitor 4","206243_at",0.286,0.00873718,-2.86,-4.28422,-2.53,"TIMP metallopeptidase inhibitor 4"
"1088","TK1","202338_at",2.68e-32,3.11e-34,15.5,67.1943525,1.83,"thymidine kinase 1","1554408_a_at",0.242,0.00382313,3.21,-3.4928,1.17,"thymidine kinase 1"
"1089","TLE2","204431_at",1.79e-13,1.8e-14,-8.4,21.9918976,-0.881,"transducin like enhancer of split 2","204431_at",0.463,0.03853942,-2.19,-5.66289,-0.606,"transducin like enhancer of split 2"
"1090","TLE3","206472_s_at",3.23e-55,2.07e-58,24.9,122.5202507,3.51,"transducin like enhancer of split 3","212769_at",0.339,0.01490973,2.63,-4.78819,0.643,"transducin like enhancer of split 3"
"1091","TLN2","212703_at",1.51e-05,3.79e-06,-4.78,3.2084478,-0.658,"talin 2","212703_at",0.292,0.0093691,-2.83,-4.35046,-0.619,"talin 2"
"1092","TMC8","227353_at",9.03e-07,1.96e-07,5.43,6.0777868,1.02,"transmembrane channel like 8","227353_at",0.255,0.00500719,3.1,-3.75254,0.768,"transmembrane channel like 8"
"1093","TMEM117","223594_at",3.84e-23,1.31e-24,12.1,45.1518453,1.17,"transmembrane protein 117","223594_at",0.497,0.04717116,2.1,-5.84456,0.74,"transmembrane protein 117"
"1094","TMEM132C","232313_at",1.63e-25,4.26e-27,-13,50.8448096,-2.54,"transmembrane protein 132C","232313_at",0.438,0.03193113,-2.28,-5.49222,-1.11,"transmembrane protein 132C"
"1095","TMEM139","227753_at",5.33e-19,2.91e-20,-10.5,35.2043223,-2.4,"transmembrane protein 139","227753_at",0.446,0.03435952,-2.25,-5.5589,-0.963,"transmembrane protein 139"
