"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.AD","adj.P.Val.AD","P.Value.AD","t.AD","B.AD","logFC.AD","Gene.title.AD"
"1","AACS","218434_s_at",5.54e-20,2.71e-21,-10.9,37.5616901,-0.688,"acetoacetyl-CoA synthetase","218434_s_at",0.229,0.00284086,-3.33,-3.20556,-0.672,"acetoacetyl-CoA synthetase"
"2","ABAT","209459_s_at",1.16e-07,2.27e-08,-5.87,8.1756988,-0.88,"4-aminobutyrate aminotransferase","209460_at",0.284,0.00849243,-2.87,-4.25724,-0.676,"4-aminobutyrate aminotransferase"
"3","ABCA11P","220159_at",4.98e-12,5.88e-13,-7.81,18.5501133,-1,"ATP binding cassette subfamily A member 11, pseudogene","220159_at",0.386,0.02199154,-2.45,-5.14985,-0.618,"ATP binding cassette subfamily A member 11, pseudogene"
"4","ABCA8","204719_at",1.59e-09,2.51e-10,-6.73,12.5885796,-0.678,"ATP binding cassette subfamily A member 8","204719_at",0.263,0.00615085,-3.01,-3.94971,-0.885,"ATP binding cassette subfamily A member 8"
"5","ABCA9","242541_at",2.84e-11,3.66e-12,-7.49,16.7474945,-1.26,"ATP binding cassette subfamily A member 9","242541_at",0.486,0.04400347,-2.13,-5.78228,-0.868,"ATP binding cassette subfamily A member 9"
"6","ABCC3","209641_s_at",9.14e-06,2.24e-06,-4.9,3.7164705,-0.63,"ATP binding cassette subfamily C member 3","209641_s_at",0.347,0.01592465,-2.6,-4.84979,-0.611,"ATP binding cassette subfamily C member 3"
"7","ABCF2","209246_at",1.27e-21,5.14e-23,11.5,41.5001614,1.06,"ATP binding cassette subfamily F member 2","207623_at",0.296,0.01004706,-2.8,-4.41662,-0.644,"ATP binding cassette subfamily F member 2"
"8","ABHD5","218739_at",2.14e-09,3.42e-10,6.67,12.2835016,1.07,"abhydrolase domain containing 5","213805_at",0.492,0.04561476,-2.11,-5.81453,-0.73,"abhydrolase domain containing 5"
"9","ABLIM3","205730_s_at",1.81e-15,1.46e-16,-9.19,26.7584507,-1.31,"actin binding LIM protein family member 3","205730_s_at",0.288,0.00893597,-2.85,-4.30557,-1.14,"actin binding LIM protein family member 3"
"10","ACAA2","241114_s_at",5.98e-10,9e-11,-6.92,13.5950045,-1.15,"acetyl-CoA acyltransferase 2","202003_s_at",0.204,0.00171347,-3.54,-2.7136,-1.31,"acetyl-CoA acyltransferase 2"
"11","ACACB","49452_at",6.17e-21,2.7e-22,-11.3,39.8533166,-1.17,"acetyl-CoA carboxylase beta","221928_at",0.213,0.00220449,-3.44,-2.95921,-1.27,"acetyl-CoA carboxylase beta"
"12","ACADL","206069_s_at",6.72e-13,7.19e-14,-8.17,20.6245446,-1.42,"acyl-CoA dehydrogenase, long chain","206069_s_at",0.395,0.02344462,-2.42,-5.20893,-0.626,"acyl-CoA dehydrogenase, long chain"
"13","ACAP1","205213_at",2.65e-10,3.83e-11,7.07,14.4337994,0.788,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","205213_at",0.213,0.00215534,3.45,-2.93727,1.12,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"14","ACAT1","205412_at",5.67e-29,9.98e-31,-14.2,59.1600076,-0.948,"acetyl-CoA acetyltransferase 1","205412_at",0.115,2.919e-05,-5.17,1.33598,-0.598,"acetyl-CoA acetyltransferase 1"
"15","ACER3","222689_at",5.34e-17,3.63e-18,9.78,30.4167449,1.21,"alkaline ceramidase 3","222689_at",0.293,0.00947538,2.83,-4.36115,0.75,"alkaline ceramidase 3"
"16","ACO1","207071_s_at",9.62e-10,1.48e-10,-6.83,13.105413,-0.88,"aconitase 1","207071_s_at",0.135,0.00017108,-4.46,-0.43703,-1.19,"aconitase 1"
"17","ACOT1","202982_s_at",1.53e-21,6.27e-23,-11.5,41.3028761,-2.75,"acyl-CoA thioesterase 1///acyl-CoA thioesterase 2","202982_s_at",0.135,0.00022717,-4.35,-0.71963,-1.89,"acyl-CoA thioesterase 1///acyl-CoA thioesterase 2"
"18","ACOT4","229534_at",1.15e-05,2.86e-06,-4.84,3.4815652,-0.859,"acyl-CoA thioesterase 4","229534_at",0.263,0.00612357,-3.01,-3.94546,-0.868,"acyl-CoA thioesterase 4"
"19","ACOT7","208002_s_at",1.88e-26,4.51e-28,13.3,53.0787742,1.23,"acyl-CoA thioesterase 7","208002_s_at",0.371,0.01960454,2.51,-5.04341,0.59,"acyl-CoA thioesterase 7"
"20","ACOX2","205364_at",4.25e-12,4.97e-13,-7.84,18.7156697,-1.97,"acyl-CoA oxidase 2","205364_at",0.261,0.00602422,-3.02,-3.92981,-1.62,"acyl-CoA oxidase 2"
"21","ACSBG1","206465_at",3e-10,4.36e-11,-7.05,14.3065584,-1.84,"acyl-CoA synthetase bubblegum family member 1","206466_at",0.272,0.00731961,-2.94,-4.11582,-1.45,"acyl-CoA synthetase bubblegum family member 1"
"22","ACSL3","201661_s_at",2.24e-17,1.46e-18,-9.92,31.3174566,-0.824,"acyl-CoA synthetase long-chain family member 3","201660_at",0.303,0.01061037,-2.78,-4.4682,-0.636,"acyl-CoA synthetase long-chain family member 3"
"23","ACSM3","210377_at",1.15e-05,2.87e-06,-4.84,3.4774026,-1.22,"acyl-CoA synthetase medium-chain family member 3","210377_at",0.317,0.01222568,-2.72,-4.60185,-2.31,"acyl-CoA synthetase medium-chain family member 3"
"24","ACSS3","229222_at",5.79e-25,1.63e-26,-12.8,49.5099911,-1.8,"acyl-CoA synthetase short-chain family member 3","229222_at",0.242,0.00380079,-3.21,-3.48714,-1.43,"acyl-CoA synthetase short-chain family member 3"
"25","ACTG1P4","208498_s_at",6e-09,1.01e-09,-6.47,11.2250611,-0.788,"actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)","208498_s_at",0.454,0.03640776,-2.22,-5.61142,-0.853,"actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)"
"26","ACVR1C","1563182_at",3.01e-06,6.96e-07,-5.16,4.8463795,-0.723,"activin A receptor type 1C","1552519_at",0.356,0.01716133,-2.57,-4.91959,-1.72,"activin A receptor type 1C"
"27","ADAM10","202604_x_at",8.3e-32,1.03e-33,15.3,66.0064065,2.13,"ADAM metallopeptidase domain 10","202604_x_at",0.465,0.0389487,2.19,-5.67243,0.726,"ADAM metallopeptidase domain 10"
"28","ADAM19","209765_at",7.82e-12,9.41e-13,7.73,18.0858942,1.06,"ADAM metallopeptidase domain 19","209765_at",0.115,2.363e-05,5.25,1.54868,1.53,"ADAM metallopeptidase domain 19"
"29","ADAM8","205180_s_at",4.77e-14,4.48e-15,8.63,23.3684551,1.62,"ADAM metallopeptidase domain 8","205180_s_at",0.115,3.696e-05,5.08,1.09834,1.36,"ADAM metallopeptidase domain 8"
"30","ADAMTS12","226997_at",0.00672,0.00249,3.07,-2.9380926,0.75,"ADAM metallopeptidase with thrombospondin type 1 motif 12","226997_at",0.499,0.04758858,2.09,-5.85243,0.628,"ADAM metallopeptidase with thrombospondin type 1 motif 12"
"31","ADAMTS9-AS2","1556364_at",3.43e-16,2.56e-17,-9.47,28.4807278,-1.93,"ADAMTS9 antisense RNA 2","1559296_at",0.266,0.00661528,-2.98,-4.01929,-0.591,"ADAMTS9 antisense RNA 2"
"32","ADAMTSL3","213974_at",4.25e-13,4.46e-14,-8.25,21.0966349,-1.11,"ADAMTS like 3","213974_at",0.266,0.00672072,-2.97,-4.03439,-0.831,"ADAMTS like 3"
"33","ADAP2","219358_s_at",1.64e-40,7.61e-43,18.7,86.9223794,3.41,"ArfGAP with dual PH domains 2","222876_s_at",0.292,0.00921241,2.84,-4.33447,1.26,"ArfGAP with dual PH domains 2"
"34","ADAT3","230634_x_at",1.13e-13,1.11e-14,8.48,22.4694278,1.83,"adenosine deaminase, tRNA specific 3///secretory carrier membrane protein 4","230634_x_at",0.336,0.01463402,2.64,-4.77071,0.669,"adenosine deaminase, tRNA specific 3///secretory carrier membrane protein 4"
"35","ADGRL3","236264_at",1.03e-17,6.42e-19,-10.1,32.1353987,-1.72,"adhesion G protein-coupled receptor L3","242186_x_at",0.235,0.00307763,-3.3,-3.28312,-1.08,"adhesion G protein-coupled receptor L3"
"36","ADH1B","209614_at",2.87e-08,5.23e-09,-6.16,9.6106608,-0.788,"alcohol dehydrogenase 1B (class I), beta polypeptide","209613_s_at",0.416,0.02783288,-2.35,-5.36669,-1.48,"alcohol dehydrogenase 1B (class I), beta polypeptide"
"37","ADHFE1","227113_at",3.9e-09,6.41e-10,-6.56,11.6673666,-1.38,"alcohol dehydrogenase, iron containing 1","227113_at",0.404,0.02527139,-2.39,-5.27805,-0.76,"alcohol dehydrogenase, iron containing 1"
"38","ADIRF","203571_s_at",1.01e-21,4.03e-23,-11.6,41.7418654,-0.983,"adipogenesis regulatory factor","203571_s_at",0.313,0.01173442,-2.73,-4.56322,-0.864,"adipogenesis regulatory factor"
"39","ADRB1","229309_at",2.07e-21,8.64e-23,-11.4,40.984604,-2.05,"adrenoceptor beta 1","229309_at",0.139,0.00028661,-4.26,-0.95082,-2.32,"adrenoceptor beta 1"
"40","ADSSL1","226325_at",9.89e-08,1.91e-08,-5.9,8.3442829,-0.829,"adenylosuccinate synthase like 1","226325_at",0.265,0.00657074,-2.98,-4.01284,-0.749,"adenylosuccinate synthase like 1"
"41","AFAP1L2","226829_at",8.03e-41,3.55e-43,18.8,87.6798333,1.23,"actin filament associated protein 1 like 2","226829_at",0.226,0.00260085,3.37,-3.11992,0.821,"actin filament associated protein 1 like 2"
"42","AFF3","227198_at",7.17e-14,6.9e-15,-8.56,22.9405858,-1.68,"AF4/FMR2 family member 3","227198_at",0.331,0.01397573,-2.66,-4.72757,-1.15,"AF4/FMR2 family member 3"
"43","AGFG2","222126_at",2.7e-18,1.58e-19,-10.3,33.5234829,-1.34,"ArfGAP with FG repeats 2","222362_at",0.377,0.02037859,-2.49,-5.07933,-0.836,"ArfGAP with FG repeats 2"
"44","AGPAT1","215535_s_at",2.63e-14,2.4e-15,-8.73,23.9842439,-1.13,"1-acylglycerol-3-phosphate O-acyltransferase 1","32836_at",0.296,0.0099613,-2.8,-4.40851,-0.695,"1-acylglycerol-3-phosphate O-acyltransferase 1"
"45","AGPAT3","223182_s_at",3.36e-06,7.81e-07,-5.13,4.7355858,-0.587,"1-acylglycerol-3-phosphate O-acyltransferase 3","225440_at",0.356,0.01714167,-2.57,-4.91852,-0.748,"1-acylglycerol-3-phosphate O-acyltransferase 3"
"46","AIF1","209901_x_at",0.000294,8.82e-05,4.02,0.1945984,0.677,"allograft inflammatory factor 1","209901_x_at",0.457,0.03703209,2.21,-5.62682,1.01,"allograft inflammatory factor 1"
"47","AIFM2","228445_at",3.83e-12,4.45e-13,-7.86,18.8235532,-1.27,"apoptosis inducing factor, mitochondria associated 2","228445_at",0.25,0.00454487,-3.14,-3.65942,-0.866,"apoptosis inducing factor, mitochondria associated 2"
"48","AKAP12","227530_at",1.35e-10,1.89e-11,-7.2,15.1306188,-1.07,"A-kinase anchoring protein 12","210517_s_at",0.421,0.02829902,-2.34,-5.38191,-0.703,"A-kinase anchoring protein 12"
"49","AKR1B10","206561_s_at",2.53e-50,3.33e-53,22.7,110.6252226,6.77,"aldo-keto reductase family 1 member B10","206561_s_at",0.31,0.01145253,2.74,-4.5403,2.98,"aldo-keto reductase family 1 member B10"
"50","AKR1C1","217626_at",9.44e-09,1.62e-09,-6.38,10.7572879,-1.4,"aldo-keto reductase family 1 member C1","204151_x_at",0.435,0.03116227,-2.29,-5.47,-0.607,"aldo-keto reductase family 1 member C1"
"51","AKR1C3","209160_at",2.01e-09,3.2e-10,-6.69,12.3475583,-0.696,"aldo-keto reductase family 1, member C3","209160_at",0.26,0.00586159,-3.03,-3.90361,-1.09,"aldo-keto reductase family 1, member C3"
"52","ALCAM","201952_at",1.17e-21,4.71e-23,-11.5,41.5869386,-0.757,"activated leukocyte cell adhesion molecule","201952_at",0.268,0.00691676,-2.96,-4.06184,-0.758,"activated leukocyte cell adhesion molecule"
"53","ALDH1A1","212224_at",3.13e-09,5.09e-10,-6.6,11.8926831,-0.849,"aldehyde dehydrogenase 1 family member A1","212224_at",0.213,0.00222474,-3.43,-2.96811,-1.22,"aldehyde dehydrogenase 1 family member A1"
"54","ALDH4A1","203722_at",6.71e-20,3.31e-21,10.9,37.3626688,1.01,"aldehyde dehydrogenase 4 family member A1","203722_at",0.293,0.00955036,2.82,-4.36862,0.759,"aldehyde dehydrogenase 4 family member A1"
"55","ALDH5A1","203608_at",6.4e-17,4.4e-18,9.75,30.2259544,0.825,"aldehyde dehydrogenase 5 family member A1","203608_at",0.229,0.00266647,-3.36,-3.14411,-0.981,"aldehyde dehydrogenase 5 family member A1"
"56","ALDH6A1","221588_x_at",0.000496,0.000154,-3.87,-0.3312922,-0.621,"aldehyde dehydrogenase 6 family member A1","221588_x_at",0.161,0.0005962,-3.97,-1.67656,-0.765,"aldehyde dehydrogenase 6 family member A1"
"57","ALDOC","202022_at",6.32e-12,7.53e-13,-7.77,18.3053228,-0.86,"aldolase, fructose-bisphosphate C","202022_at",0.195,0.00123463,-3.67,-2.39295,-1.04,"aldolase, fructose-bisphosphate C"
"58","ALOX15B","206714_at",0.0232,0.00954,-2.62,-4.158548,-0.614,"arachidonate 15-lipoxygenase, type B","206714_at",0.406,0.025818,-2.38,-5.29773,-1.75,"arachidonate 15-lipoxygenase, type B"
"59","ALOX5AP","204174_at",2.95e-06,6.82e-07,5.16,4.8674225,0.938,"arachidonate 5-lipoxygenase activating protein","204174_at",0.444,0.03356635,2.26,-5.53768,1.34,"arachidonate 5-lipoxygenase activating protein"
"60","AMMECR1","236760_at",2.97e-21,1.26e-22,11.4,40.6132204,1.75,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","226421_at",0.457,0.03724877,2.21,-5.6321,0.954,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"61","AMPD3","207992_s_at",3.58e-35,3.11e-37,16.6,74.0687209,1.52,"adenosine monophosphate deaminase 3","207992_s_at",0.28,0.00801404,2.9,-4.20212,0.645,"adenosine monophosphate deaminase 3"
"62","ANG","205141_at",2.48e-25,6.62e-27,-12.9,50.4057976,-2.02,"angiogenin","205141_at",0.221,0.00249283,-3.39,-3.07873,-0.701,"angiogenin"
"63","ANGPT1","205609_at",1.3e-07,2.55e-08,-5.85,8.0623883,-0.905,"angiopoietin 1","205609_at",0.357,0.01731838,-2.56,-4.92808,-0.915,"angiopoietin 1"
"64","ANKDD1A","229497_at",1.69e-09,2.67e-10,-6.72,12.5249858,-1.2,"ankyrin repeat and death domain containing 1A","229497_at",0.159,0.00054034,-4.01,-1.57935,-0.999,"ankyrin repeat and death domain containing 1A"
"65","ANKRD6","204671_s_at",1.58e-05,3.99e-06,-4.77,3.1590724,-0.915,"ankyrin repeat domain 6","204672_s_at",0.422,0.02887007,-2.33,-5.4002,-0.646,"ankyrin repeat domain 6"
"66","ANLN","1552619_a_at",8.14e-16,6.33e-17,9.32,27.5838447,1.36,"anillin actin binding protein","222608_s_at",0.482,0.04300771,2.14,-5.76173,0.756,"anillin actin binding protein"
"67","ANP32E","208103_s_at",2.04e-17,1.32e-18,9.94,31.4191054,1.21,"acidic nuclear phosphoprotein 32 family member E","208103_s_at",0.247,0.00430432,3.16,-3.60708,0.838,"acidic nuclear phosphoprotein 32 family member E"
"68","AOC3","204894_s_at",7.88e-14,7.63e-15,-8.54,22.8405522,-1.22,"amine oxidase, copper containing 3","204894_s_at",0.322,0.0128922,-2.69,-4.65179,-0.945,"amine oxidase, copper containing 3"
"69","APBA1","228101_at",4.41e-14,4.13e-15,-8.64,23.4478073,-1.29,"amyloid beta precursor protein binding family A member 1","228101_at",0.483,0.04338224,-2.14,-5.76952,-0.84,"amyloid beta precursor protein binding family A member 1"
"70","APELA","1559280_a_at",6.32e-14,6.03e-15,8.58,23.0736433,2.51,"apelin receptor early endogenous ligand","1559280_a_at",0.233,0.00298868,3.31,-3.25472,2.29,"apelin receptor early endogenous ligand"
"71","APEX2","204408_at",4.49e-39,2.53e-41,18.1,83.4369483,2.11,"apurinic/apyrimidinic endodeoxyribonuclease 2","204408_at",0.282,0.00831414,2.88,-4.23708,0.629,"apurinic/apyrimidinic endodeoxyribonuclease 2"
"72","APMAP","228309_at",1.74e-14,1.55e-15,-8.8,24.4167271,-0.778,"adipocyte plasma membrane associated protein","206656_s_at",0.245,0.004052,-3.19,-3.54888,-1.09,"adipocyte plasma membrane associated protein"
"73","APOBEC3A_B","210873_x_at",1.21e-15,9.62e-17,9.25,27.1690234,2.61,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A","210873_x_at",0.36,0.01780749,2.55,-4.95402,2.07,"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"74","APOBEC3B","206632_s_at",1.1e-23,3.55e-25,12.3,46.4465341,2.42,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B","206632_s_at",0.385,0.02184999,2.46,-5.14388,1.45,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B"
"75","APOC1","213553_x_at",1.07e-13,1.05e-14,-8.49,22.5276256,-1.86,"apolipoprotein C1","213553_x_at",0.213,0.00224271,-3.43,-2.97594,-1.6,"apolipoprotein C1"
"76","APOD","201525_at",6.99e-21,3.09e-22,-11.2,39.7184492,-0.881,"apolipoprotein D","201525_at",0.213,0.00218688,-3.44,-2.95141,-1.06,"apolipoprotein D"
"77","APOE","212884_x_at",3.24e-16,2.41e-17,-9.48,28.5397996,-0.674,"apolipoprotein E","212884_x_at",0.255,0.00487523,-3.11,-3.72688,-0.647,"apolipoprotein E"
"78","APOL6","219716_at",3.02e-49,4.63e-52,22.3,108.0123168,4.39,"apolipoprotein L6","241869_at",0.414,0.02726098,2.36,-5.34766,1.51,"apolipoprotein L6"
"79","AQP3","39249_at",3.91e-05,1.04e-05,4.55,2.2383224,0.704,"aquaporin 3 (Gill blood group)","39249_at",0.444,0.03360528,2.26,-5.53873,1.25,"aquaporin 3 (Gill blood group)"
"80","AR","211621_at",3.66e-14,3.4e-15,-8.67,23.6402874,-0.629,"androgen receptor","211621_at",0.366,0.01861555,-2.53,-4.99532,-0.614,"androgen receptor"
"81","ARF3","211622_s_at",3.82e-28,7.42e-30,13.9,57.1635838,2.27,"ADP ribosylation factor 3","211622_s_at",0.488,0.04463179,2.12,-5.795,0.82,"ADP ribosylation factor 3"
"82","ARFGEF3","228051_at",3.83e-27,8.46e-29,-13.6,54.7422543,-2.5,"ARFGEF family member 3","231856_at",0.297,0.01015636,-2.8,-4.42685,-1.11,"ARFGEF family member 3"
"83","ARHGAP20","228368_at",7.78e-22,3.07e-23,-11.6,42.0124904,-2.4,"Rho GTPase activating protein 20","228368_at",0.26,0.00582446,-3.03,-3.89753,-1.49,"Rho GTPase activating protein 20"
"84","ARHGAP45","212873_at",9.49e-08,1.83e-08,5.91,8.3871278,0.694,"Rho GTPase activating protein 45","212873_at",0.188,0.00102659,3.75,-2.21187,0.858,"Rho GTPase activating protein 45"
"85","ARHGAP9","224451_x_at",1.4e-12,1.55e-13,8.03,19.8646722,1.19,"Rho GTPase activating protein 9","224451_x_at",0.229,0.00278964,3.34,-3.18791,1.24,"Rho GTPase activating protein 9"
"86","ARHGEF40","58780_s_at",6.74e-08,1.28e-08,-5.98,8.7362658,-0.771,"Rho guanine nucleotide exchange factor 40","58780_s_at",0.32,0.01260728,-2.7,-4.63078,-0.587,"Rho guanine nucleotide exchange factor 40"
"87","ARMCX4","1552327_at",0.000973,0.000315,-3.68,-1.0084959,-0.72,"armadillo repeat containing, X-linked 4","1552327_at",0.416,0.02769991,-2.35,-5.3623,-0.667,"armadillo repeat containing, X-linked 4"
"88","ARMCX5-GPRASP2","228027_at",9.99e-20,5.03e-21,-10.8,36.9484891,-0.668,"ARMCX5-GPRASP2 readthrough///G protein-coupled receptor associated sorting protein 2","228027_at",0.206,0.00179384,-3.52,-2.75834,-0.672,"ARMCX5-GPRASP2 readthrough///G protein-coupled receptor associated sorting protein 2"
"89","ARNTL2","224204_x_at",2.9e-55,1.8e-58,24.9,122.6582782,5.43,"aryl hydrocarbon receptor nuclear translocator like 2","220658_s_at",0.257,0.00537417,3.07,-3.82042,2.37,"aryl hydrocarbon receptor nuclear translocator like 2"
"90","ASF1B","218115_at",1.12e-30,1.57e-32,14.9,63.2901966,2.28,"anti-silencing function 1B histone chaperone","218115_at",0.25,0.00461616,3.13,-3.67439,0.853,"anti-silencing function 1B histone chaperone"
"91","ASPH","225008_at",6.11e-12,7.26e-13,-7.77,18.3408949,-0.729,"aspartate beta-hydroxylase","209135_at",0.139,0.00026274,-4.29,-0.86438,-0.673,"aspartate beta-hydroxylase"
"92","ASPM","219918_s_at",2.09e-29,3.45e-31,14.4,60.217376,2.63,"abnormal spindle microtubule assembly","219918_s_at",0.154,0.00046434,4.07,-1.4294,1.25,"abnormal spindle microtubule assembly"
"93","ATM","210858_x_at",3.59e-10,5.27e-11,-7.02,14.1216103,-0.697,"ATM serine/threonine kinase","208442_s_at",0.457,0.03716892,2.21,-5.63015,0.848,"ATM serine/threonine kinase"
"94","ATP1A2","203296_s_at",3.41e-24,1.04e-25,-12.5,47.6628791,-2.44,"ATPase Na+/K+ transporting subunit alpha 2","203295_s_at",0.371,0.01961341,-2.51,-5.04383,-1.14,"ATPase Na+/K+ transporting subunit alpha 2"
"95","ATP1B1","201242_s_at",2.29e-08,4.12e-09,6.2,9.8451495,0.638,"ATPase Na+/K+ transporting subunit beta 1","201243_s_at",0.499,0.04776966,-2.09,-5.85582,-0.719,"ATPase Na+/K+ transporting subunit beta 1"
"96","ATP8A1","213106_at",5.55e-13,5.9e-14,-8.2,20.8199273,-1.12,"ATPase phospholipid transporting 8A1","213106_at",0.306,0.01083201,-2.77,-4.48773,-0.615,"ATPase phospholipid transporting 8A1"
"97","ATP8B4","220416_at",1.49e-06,3.32e-07,-5.32,5.5649518,-0.676,"ATPase phospholipid transporting 8B4 (putative)","220416_at",0.366,0.01852588,-2.53,-4.99083,-0.803,"ATPase phospholipid transporting 8B4 (putative)"
"98","AURKA","204092_s_at",8e-29,1.43e-30,14.2,58.8038835,3.02,"aurora kinase A","208079_s_at",0.348,0.01624959,2.59,-4.86865,1.07,"aurora kinase A"
"99","AURKB","209464_at",2.86e-21,1.21e-22,11.4,40.6500918,1.47,"aurora kinase B","209464_at",0.264,0.00640979,2.99,-3.98914,0.88,"aurora kinase B"
"100","AVIL","205539_at",5.2e-08,9.75e-09,6.04,9.0015588,0.825,"advillin","205539_at",0.441,0.03283101,2.27,-5.51753,0.597,"advillin"
"101","AVL9","212475_at",2.76e-09,4.47e-10,6.63,12.0211432,0.983,"AVL9 cell migration associated","1563452_at",0.484,0.04349219,2.13,-5.77179,0.932,"AVL9 cell migration associated"
"102","AXDND1","1552870_s_at",0.000469,0.000144,-3.89,-0.2733832,-0.659,"axonemal dynein light chain domain containing 1","1552870_s_at",0.23,0.00290627,-3.32,-3.22762,-1.92,"axonemal dynein light chain domain containing 1"
"103","AZGP1P1","217013_at",1.4e-10,1.96e-11,7.19,15.0936081,0.993,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1","217014_s_at",0.298,0.01028714,-2.79,-4.43896,-0.938,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1///alpha-2-glycoprotein 1, zinc-binding"
"104","BAMBI","203304_at",5.09e-05,1.37e-05,-4.48,1.9716401,-0.961,"BMP and activin membrane bound inhibitor","203304_at",0.437,0.03154521,-2.29,-5.48114,-0.873,"BMP and activin membrane bound inhibitor"
"105","BATF3","220358_at",5.29e-15,4.49e-16,9,25.6443283,1.39,"basic leucine zipper ATF-like transcription factor 3","220358_at",0.363,0.01826636,2.54,-4.9777,1.02,"basic leucine zipper ATF-like transcription factor 3"
"106","BCAR3","204032_at",8.98e-50,1.26e-52,-22.5,109.3041685,-2.89,"breast cancer anti-estrogen resistance 3","204032_at",0.184,0.00094069,-3.78,-2.12599,-0.841,"breast cancer anti-estrogen resistance 3"
"107","BCAT2","203576_at",4.25e-08,7.88e-09,-6.08,9.2102723,-0.961,"branched chain amino acid transaminase 2","203576_at",0.264,0.00647978,-2.99,-3.99952,-0.66,"branched chain amino acid transaminase 2"
"108","BCKDHB","213321_at",2.75e-10,3.97e-11,-7.07,14.3984427,-0.892,"branched chain keto acid dehydrogenase E1 subunit beta","210653_s_at",0.266,0.00659985,-2.98,-4.01706,-1.03,"branched chain keto acid dehydrogenase E1 subunit beta"
"109","BCL2","203685_at",1.14e-28,2.08e-30,-14.1,58.4281364,-1.17,"BCL2, apoptosis regulator","203685_at",0.243,0.00390861,-3.2,-3.51413,-0.641,"BCL2, apoptosis regulator"
"110","BCL2A1","205681_at",1.21e-44,3.5e-47,20.3,96.8519049,3.78,"BCL2 related protein A1","205681_at",0.389,0.02245902,2.44,-5.16929,1.16,"BCL2 related protein A1"
"111","BDKRB2","205870_at",1.3e-16,9.28e-18,9.63,29.4870109,1.19,"bradykinin receptor B2","205870_at",0.258,0.00566086,3.05,-3.87024,0.631,"bradykinin receptor B2"
"112","BEND7","227341_at",1.29e-05,3.22e-06,-4.82,3.3646749,-0.831,"BEN domain containing 7","227341_at",0.347,0.0159642,-2.6,-4.8521,-0.804,"BEN domain containing 7"
"113","BEX4","215440_s_at",1.7e-20,7.84e-22,-11.1,38.7940549,-0.979,"brain expressed X-linked 4","215440_s_at",0.242,0.00372094,-3.22,-3.46665,-0.742,"brain expressed X-linked 4"
"114","BHLHE41","223185_s_at",4.5e-27,1e-28,-13.5,54.5722121,-1.66,"basic helix-loop-helix family member e41","221530_s_at",0.211,0.00193977,-3.49,-2.83462,-1.04,"basic helix-loop-helix family member e41"
"115","BIRC3","210538_s_at",4.72e-14,4.43e-15,8.63,23.3785002,1.72,"baculoviral IAP repeat containing 3","230499_at",0.477,0.04168655,2.16,-5.73367,0.612,"baculoviral IAP repeat containing 3"
"116","BIRC5","202094_at",3.91e-32,4.64e-34,15.4,66.7959995,3.47,"baculoviral IAP repeat containing 5","202094_at",0.298,0.01026826,2.79,-4.43722,1.24,"baculoviral IAP repeat containing 5"
"117","BLM","205733_at",9.35e-38,6.19e-40,17.6,80.2554568,2.92,"Bloom syndrome RecQ like helicase","205733_at",0.307,0.01117243,2.76,-4.51694,0.742,"Bloom syndrome RecQ like helicase"
"118","BORA","219544_at",8.19e-21,3.65e-22,11.2,39.5524448,1.58,"bora, aurora kinase A activator","219544_at",0.343,0.01532212,2.62,-4.81373,0.785,"bora, aurora kinase A activator"
"119","BPNT1","232103_at",2.32e-06,5.28e-07,5.22,5.1139086,0.591,"3'(2'), 5'-bisphosphate nucleotidase 1","1554575_a_at",0.236,0.00331497,3.27,-3.35501,0.726,"3'(2'), 5'-bisphosphate nucleotidase 1"
"120","BPY2","208331_at",4.25e-08,7.89e-09,-6.08,9.2092828,-3.07,"basic charge, Y-linked, 2","208331_at",0.32,0.012627,-2.7,-4.63225,-1.87,"basic charge, Y-linked, 2"
"121","BTBD19","1557049_at",1.4e-23,4.57e-25,12.2,46.1958098,2.54,"BTB domain containing 19","1557049_at",0.242,0.00382631,3.21,-3.4936,0.868,"BTB domain containing 19"
