"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"191","HPRT1","202854_at",6.29e-13,6.71e-14,8.18,20.6919178,0.607,"hypoxanthine phosphoribosyltransferase 1",8169984,0.0052358,0.00012,5.3874693,1.33866,1.07449833,"hypoxanthine phosphoribosyltransferase 1"
"192","HRH1","205579_at",2.69e-05,6.98e-06,4.64,2.6210774,1.01,"histamine receptor H1",8077851,0.0243623,0.00135,4.0505538,-1.06428,0.73545143,"histamine receptor H1"
"193","HSPA4","211016_x_at",4.99e-29,8.71e-31,14.3,59.2949421,1.36,"heat shock protein family A (Hsp70) member 4",8108015,0.0179704,0.000829,4.3108699,-0.58107,0.90041071,"heat shock protein family A (Hsp70) member 4"
"194","HSPH1","208744_x_at",1.68e-17,1.08e-18,9.97,31.621111,1.08,"heat shock protein family H (Hsp110) member 1",7970864,0.0013359,1.36e-05,6.7220812,3.49306,1.54839952,"heat shock protein family H (Hsp110) member 1"
"195","HYOU1","200825_s_at",5.44e-17,3.71e-18,9.77,30.3957958,0.976,"hypoxia up-regulated 1",7952145,0.0492477,0.00417,3.4606511,-2.17348,1.08733333,"hypoxia up-regulated 1"
"196","ICAM1","202638_s_at",3.08e-06,7.14e-07,5.15,4.8222868,0.885,"intercellular adhesion molecule 1",8025601,0.0004579,2.12e-06,7.9937092,5.3025,2.50402714,"intercellular adhesion molecule 1"
"197","ID4","209291_at",1.75e-41,7.03e-44,-19,89.2914907,-0.854,"inhibitor of DNA binding 4, HLH protein",8117120,0.0496031,0.00424,-3.4517266,-2.19031,-0.65594524,"inhibitor of DNA binding 4, HLH protein"
"198","IDH3A","202069_s_at",1.2e-24,3.52e-26,12.6,48.7440048,0.911,"isocitrate dehydrogenase 3 (NAD(+)) alpha",7985134,0.000261,6.43e-07,8.8934455,6.44972,1.13616476,"isocitrate dehydrogenase 3 (NAD(+)) alpha"
"199","IFI16","208965_s_at",2.71e-20,1.28e-21,11,38.3040906,0.853,"interferon gamma inducible protein 16",7906400,0.0002845,8.03e-07,8.720469,6.23719,1.44190119,"interferon gamma inducible protein 16"
"200","IFI30","201422_at",7.98e-17,5.57e-18,9.71,29.9933642,0.862,"IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2",8026971,0.0290816,0.00179,3.9020273,-1.34221,1.38522,"IFI30, lysosomal thiol reductase"
"201","IFIT1","203153_at",8.79e-33,9.69e-35,15.7,68.3538283,2.84,"interferon induced protein with tetratricopeptide repeats 1",7929065,0.0239524,0.00131,-4.0676447,-1.03239,-0.77282071,"interferon induced protein with tetratricopeptide repeats 1"
"202","IFITM2","201601_x_at",7.37e-17,5.12e-18,9.72,30.0772403,0.648,"interferon induced transmembrane protein 2///interferon induced transmembrane protein 1",7937330,0.2123649,0.0426,2.2457666,-4.395,0.64550619,"interferon induced transmembrane protein 2"
"203","IFNAR2","204785_x_at",1.9e-05,4.86e-06,4.72,2.970229,0.951,"interferon alpha and beta receptor subunit 2",8068238,0.0050997,0.000114,5.4147974,1.38541,0.92122405,"interferon alpha and beta receptor subunit 2"
"204","IFNGR1","211676_s_at",1.93e-08,3.44e-09,6.24,10.0194595,0.804,"interferon gamma receptor 1",8129861,0.0002442,5.65e-07,8.9950682,6.57287,0.61056548,"interferon gamma receptor 1"
"205","IGSF10","1556579_s_at",5.18e-05,1.4e-05,-4.48,1.9532943,-1.04,"immunoglobulin superfamily member 10",8091537,0.0291654,0.0018,-3.8987189,-1.34841,-1.13801833,"immunoglobulin superfamily member 10"
"206","IGSF6","206420_at",4.65e-08,8.65e-09,6.06,9.1188579,0.978,"immunoglobulin superfamily member 6",8000184,0.0033624,6.01e-05,5.7946355,2.02397,1.1120669,"immunoglobulin superfamily member 6"
"207","IL1RAP","210233_at",7.11e-07,1.52e-07,5.48,6.3216762,0.769,"interleukin 1 receptor accessory protein",8084794,0.0117059,0.000424,4.6755221,0.08495,0.90295095,"interleukin 1 receptor accessory protein"
"208","IL2RG","204116_at",1.54e-14,1.36e-15,8.82,24.5440794,1.77,"interleukin 2 receptor subunit gamma",8173444,0.0145767,0.000589,4.4954372,-0.2422,0.69770476,"interleukin 2 receptor subunit gamma"
"209","IL4R","203233_at",2.96e-32,3.46e-34,15.5,67.0872949,2.41,"interleukin 4 receptor",7994280,0.0020094,2.63e-05,6.3016747,2.84307,1.45979071,"interleukin 4 receptor"
"210","IL6","205207_at",0.00357,0.00127,3.28,-2.3105426,0.612,"interleukin 6",8131803,0.0430818,0.0033,3.5826121,-1.94339,1.78852286,"interleukin 6"
"211","IL7R","226218_at",4.23e-28,8.22e-30,13.9,57.0620116,2.34,"interleukin 7 receptor",8104901,0.0173582,0.000789,4.3376127,-0.53176,1.20296476,"interleukin 7 receptor"
"212","IMPAD1","218516_s_at",3.68e-20,1.77e-21,11,37.9857311,0.961,"inositol monophosphatase domain containing 1",8150908,0.0087053,0.000268,4.9293021,0.53946,0.60811333,"inositol monophosphatase domain containing 1"
"213","IPO4","218305_at",7.81e-16,6.06e-17,9.33,27.6272878,1.2,"importin 4",7978132,0.0039416,7.66e-05,5.650023,1.78334,1.14208095,"importin 4"
"214","IRF1","238725_at",2.64e-28,5.02e-30,14,57.5523121,2.51,"interferon regulatory factor 1",8114010,0.002085,2.83e-05,6.2546502,2.76872,1.1951931,"interferon regulatory factor 1"
"215","ISG20L2","212766_s_at",8.92e-28,1.82e-29,13.8,56.2694932,1.34,"interferon stimulated exonuclease gene 20 like 2",7921110,0.0100033,0.000333,4.8081719,0.32352,0.71674738,"interferon stimulated exonuclease gene 20 like 2"
"216","ITGA4","213416_at",4.19e-15,3.51e-16,9.04,25.886595,1.45,"integrin subunit alpha 4",8046695,0.0102631,0.000346,4.7870069,0.28559,0.59201381,"integrin subunit alpha 4"
"217","ITGAM","205786_s_at",0.00372,0.00132,3.27,-2.3512353,0.738,"integrin subunit alpha M",7995096,0.0251684,0.00143,4.0208574,-1.11974,0.70384095,"integrin subunit alpha M"
"218","ITGAX","210184_at",7.96e-08,1.52e-08,5.95,8.5662596,0.745,"integrin subunit alpha X",7995128,0.0083249,0.000252,4.964469,0.60181,0.907325,"integrin subunit alpha X"
"219","JAML","228094_at",2.86e-07,5.83e-08,5.68,7.2563888,0.938,"junction adhesion molecule like",7952022,0.0884555,0.0102,2.9961734,-3.04567,0.83717167,"junction adhesion molecule like"
"220","KIAA0226L","219471_at",2.84e-08,5.17e-09,6.16,9.6231209,0.986,"KIAA0226 like",7971486,0.0279609,0.0017,3.9304759,-1.28887,0.73311119,"KIAA0226 like"
"221","KLF8","230986_at",7.37e-13,7.92e-14,-8.15,20.5288898,-0.674,"Kruppel like factor 8",8167912,0.0547802,0.00489,-3.3778232,-2.32968,-0.65209571,"Kruppel like factor 8"
"222","KLHL24","226158_at",9.68e-19,5.46e-20,-10.4,34.5815364,-0.665,"kelch like family member 24",8084219,0.0003261,1.04e-06,-8.5242154,5.99152,-0.88841048,"kelch like family member 24"
"223","KPNA1","213741_s_at",2.54e-25,6.79e-27,12.9,50.3810787,1.24,"karyopherin subunit alpha 1",8089999,0.0022627,3.3e-05,6.1588458,2.61623,0.73802452,"karyopherin subunit alpha 1"
"224","KPNA2","211762_s_at",5.58e-43,1.95e-45,19.6,92.8560403,1.39,"karyopherin subunit alpha 2",8009417,0.0001305,1.56e-07,10.0560507,7.7863,1.61679857,"karyopherin subunit alpha 2"
"225","KRT15","204734_at",3.78e-16,2.84e-17,-9.45,28.3797712,-1.14,"keratin 15",8015337,0.0582863,0.00536,-3.3300831,-2.41965,-1.26447762,"keratin 15"
"226","KRT16","209800_at",8.98e-50,1.27e-52,22.5,109.301356,3.2,"keratin 16",8015376,0.2227104,0.0462,2.2014905,-4.47021,1.02608548,"keratin 16"
"227","KRT6A","209125_at",2.74e-35,2.32e-37,16.6,74.3578048,1.73,"keratin 6A",7963421,0.1912377,0.0354,2.3449498,-4.22422,1.86096452,"keratin 6A"
"228","LAP3","217933_s_at",1.29e-14,1.13e-15,8.85,24.7290946,0.672,"leucine aminopeptidase 3",8094259,0.002996,4.96e-05,5.9100439,2.21378,0.67432857,"leucine aminopeptidase 3"
"229","LARP4","214155_s_at",9.92e-23,3.53e-24,11.9,44.1623934,1.53,"La ribonucleoprotein domain family member 4",7955361,0.0007997,5.72e-06,7.2974717,4.34037,1.14094238,"La ribonucleoprotein domain family member 4"
"230","LCP1","208885_at",1.45e-05,3.64e-06,4.79,3.248243,0.625,"lymphocyte cytosolic protein 1",7971461,0.0166386,0.00073,4.3796257,-0.45443,1.3715231,"lymphocyte cytosolic protein 1"
"231","LCP2","205269_at",2.62e-12,3e-13,7.92,19.2134707,1.27,"lymphocyte cytosolic protein 2",8115734,0.0001305,1.69e-07,9.9864684,7.71059,1.08980643,"lymphocyte cytosolic protein 2"
"232","LDB2","242360_at",3.85e-17,2.58e-18,-9.83,30.7573646,-0.934,"LIM domain binding 2",8099524,0.050217,0.00431,-3.4429847,-2.2068,-0.70169595,"LIM domain binding 2"
"233","LDLR","202068_s_at",1.75e-34,1.63e-36,16.3,72.4207188,2.85,"low density lipoprotein receptor",8025828,0.0132099,0.000507,4.5770891,-0.09342,1.15305738,"low density lipoprotein receptor"
"234","LETM1","218939_at",4.8e-20,2.34e-21,10.9,37.7095841,0.973,"leucine zipper and EF-hand containing transmembrane protein 1",8098924,0.011114,0.000394,4.7161037,0.15816,0.67705262,"leucine zipper and EF-hand containing transmembrane protein 1"
"235","LGR5","213880_at",7.05e-09,1.19e-09,-6.44,11.0582265,-2.04,"leucine rich repeat containing G protein-coupled receptor 5",7957140,0.0066267,0.000176,-5.1664562,0.95672,-2.14226762,"leucine rich repeat containing G protein-coupled receptor 5"
"236","LINC01140","215039_at",2.04e-10,2.9e-11,-7.12,14.7067456,-1.63,"long intergenic non-protein coding RNA 1140",7902808,0.1979156,0.0376,2.3129965,-4.27957,0.95775905,"long intergenic non-protein coding RNA 1140"
"237","LLPH","224446_at",8.07e-28,1.63e-29,13.8,56.3795533,1.05,"LLP homolog, long-term synaptic facilitation",8048703,0.0021094,2.91e-05,6.2378317,2.74205,0.85360548,"LLP homolog, long-term synaptic facilitation///LLPH antisense RNA 1 (head to head)///LLP homolog, long-term synaptic facilitation"
"238","LMCD1","227317_at",1.12e-16,7.91e-18,-9.65,29.6454275,-1.53,"LIM and cysteine rich domains 1",8077490,0.1097292,0.0143,2.8210468,-3.36995,0.6003219,"LIM and cysteine rich domains 1"
"239","LMNB1","203276_at",1.09e-17,6.82e-19,10,32.0752163,1.01,"lamin B1",8107706,0.0058151,0.000141,5.2926634,1.17566,0.79783286,"lamin B1"
"240","LRIG3","226908_at",1.58e-13,1.59e-14,-8.42,22.1171979,-0.687,"leucine rich repeats and immunoglobulin like domains 3",7964602,0.0415433,0.00312,-3.6120101,-1.88794,-0.59470619,"leucine rich repeats and immunoglobulin like domains 3///leucine rich repeats and immunoglobulin like domains 3"
"241","LRRC32","203835_at",0.00324,0.00114,-3.31,-2.2151248,-0.665,"leucine rich repeat containing 32",7950555,0.0322532,0.00208,3.8241902,-1.48836,0.72446,"leucine rich repeat containing 32"
"242","LRRC59","222231_s_at",2.83e-27,6.12e-29,13.6,55.0645345,1.12,"leucine rich repeat containing 59",8016708,0.0006694,4.11e-06,7.5241661,4.66107,1.57415476,"leucine rich repeat containing 59"
"243","LYAR","223413_s_at",8.37e-18,5.17e-19,10.1,32.3494189,1.43,"Ly1 antibody reactive",8099107,0.0008472,6.28e-06,7.2329788,4.24779,1.20921214,"Ly1 antibody reactive"
"244","LYN","202626_s_at",6.03e-38,3.9e-40,17.6,80.715084,2.51,"LYN proto-oncogene, Src family tyrosine kinase",8146500,0.0138595,0.000544,4.539087,-0.16257,1.21439976,"LYN proto-oncogene, Src family tyrosine kinase"
"245","LYVE1","219059_s_at",8.34e-05,2.32e-05,-4.35,1.47016,-1.12,"lymphatic vessel endothelial hyaluronan receptor 1",7946579,0.1552498,0.0251,-2.5281775,-3.90139,-0.69797833,"lymphatic vessel endothelial hyaluronan receptor 1"
"246","LYZ","1555745_a_at",7.15e-08,1.36e-08,5.97,8.6754705,2.07,"lysozyme",7957023,0.1108237,0.0146,2.8126618,-3.38537,1.71225571,"lysozyme"
"247","MAMDC2","228885_at",1.67e-13,1.68e-14,-8.41,22.0582905,-1.22,"MAM domain containing 2",8155754,0.0430818,0.0033,-3.582564,-1.94348,-1.33480619,"MAM domain containing 2"
"248","MAPRE1","200712_s_at",6.44e-28,1.29e-29,13.8,56.6171504,1.55,"microtubule associated protein RP/EB family member 1",8061772,0.0020225,2.67e-05,6.2907798,2.82587,0.82630976,"microtubule associated protein RP/EB family member 1"
"249","MCL1","200798_x_at",3.77e-37,2.67e-39,17.3,78.8030465,1.83,"BCL2 family apoptosis regulator",7919751,0.0101164,0.00034,4.7964668,0.30255,0.71650762,"BCL2 family apoptosis regulator"
"250","MCMBP","217905_at",3.24e-09,5.29e-10,6.59,11.8554113,0.948,"minichromosome maintenance complex binding protein",7936706,0.0001488,2.1e-07,9.8007918,7.506,0.97762381,"minichromosome maintenance complex binding protein"
"251","MCTP2","220603_s_at",3.24e-31,4.34e-33,15.1,64.5708083,1.97,"multiple C2 and transmembrane domain containing 2",7986293,0.0689807,0.00701,3.1912146,-2.68087,0.96980786,"multiple C2 and transmembrane domain containing 2"
"252","ME2","210154_at",5.67e-05,1.54e-05,4.45,1.8630234,0.659,"malic enzyme 2",8021208,0.0018128,2.16e-05,6.4251455,3.03671,0.84313548,"malic enzyme 2"
"253","MEOX2","206201_s_at",8.31e-18,5.13e-19,-10.1,32.3572975,-0.924,"mesenchyme homeobox 2",8138353,0.001908,2.36e-05,-6.3682291,2.94773,-0.70894286,"mesenchyme homeobox 2"
"254","MFHAS1","213457_at",2.08e-20,9.67e-22,11.1,38.5851273,1.85,"malignant fibrous histiocytoma amplified sequence 1",8149258,0.0097683,0.00032,4.8304558,0.36338,0.7666769,"malignant fibrous histiocytoma amplified sequence 1"
"255","MGAT2","211061_s_at",1.85e-09,2.94e-10,6.7,12.4307873,0.809,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",7974207,0.0002545,5.96e-07,8.9523923,6.52131,0.64087786,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
"256","MIR17HG","232291_at",1.45e-20,6.63e-22,11.1,38.96053,2.31,"miR-17-92a-1 cluster host gene///microRNA 92a-1///microRNA 20a///microRNA 19b-1///microRNA 19a///microRNA 18a///microRNA 17",7969576,0.0215912,0.00112,4.1509787,-0.87721,0.58698762,"miR-17-92a-1 cluster host gene"
"257","MIR21","224917_at",1.38e-39,7.09e-42,18.3,84.7025546,2.17,"microRNA 21///vacuole membrane protein 1",8008885,0.0001305,1.38e-07,10.1599334,7.89836,3.31881214,"microRNA 21"
"258","MMP12","204580_at",7.83e-22,3.1e-23,11.6,42.0049312,3.96,"matrix metallopeptidase 12",7951297,0.0003107,9.39e-07,8.600547,6.08765,2.91575048,"matrix metallopeptidase 12"
"259","MPDU1","209208_at",0.000127,3.62e-05,4.24,1.043824,0.731,"mannose-P-dolichol utilization defect 1",8004521,0.0051861,0.000118,5.39641,1.35397,0.61790071,"mannose-P-dolichol utilization defect 1"
"260","MPZL2","203779_s_at",3.48e-47,7.25e-50,21.4,102.9938995,3.96,"myelin protein zero like 2",7952046,0.0128541,0.000484,4.6019346,-0.04829,1.02275548,"myelin protein zero like 2"
"261","MRPL20","220527_at",1.33e-17,8.43e-19,10,31.8649498,1.41,"mitochondrial ribosomal protein L20",7911559,0.0037393,7.05e-05,5.6989876,1.86516,0.80933024,"mitochondrial ribosomal protein L20"
"262","MRPL50","225580_at",1.4e-15,1.12e-16,9.23,27.0193326,0.985,"mitochondrial ribosomal protein L50",8162880,0.0019744,2.53e-05,6.324291,2.87871,0.60720619,"mitochondrial ribosomal protein L50"
"263","MRTO4","220688_s_at",5.59e-23,1.94e-24,12,44.76016,1.01,"MRT4 homolog, ribosome maturation factor",7898549,0.0001182,1.02e-07,10.4244452,8.17856,1.45445571,"MRT4 homolog, ribosome maturation factor"
"264","MS4A6A","230550_at",0.000921,0.000297,3.69,-0.9541657,0.888,"membrane spanning 4-domains A6A",7948455,0.1114197,0.0147,2.8088008,-3.39247,0.69754357,"membrane spanning 4-domains A6A"
"265","MTHFD2","201761_at",1.7e-16,1.23e-17,9.58,29.2091251,0.716,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",8042830,0.0001522,2.24e-07,9.7465247,7.44548,1.85111143,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"266","MTRR","203199_s_at",1.84e-12,2.06e-13,7.99,19.5849824,1.17,"5-methyltetrahydrofolate-homocysteine methyltransferase reductase",8104422,0.0002418,5.52e-07,9.0129977,6.59446,1.01180929,"5-methyltetrahydrofolate-homocysteine methyltransferase reductase"
"267","MUC15","227241_at",0.000116,3.28e-05,4.27,1.1384712,0.95,"mucin 15, cell surface associated",7947156,0.1799754,0.0321,-2.3978025,-4.13202,-0.73818667,"mucin 15, cell surface associated"
"268","MX2","204994_at",1.21e-24,3.54e-26,12.6,48.7377873,2.39,"MX dynamin like GTPase 2",8068697,0.0857527,0.00975,3.0210183,-2.99939,0.68296095,"MX dynamin like GTPase 2"
"269","MXD1","228846_at",1.06e-38,6.22e-41,17.9,82.5416091,3.07,"MAX dimerization protein 1",8042503,0.0233031,0.00125,4.0898598,-0.99097,0.81436595,"MAX dimerization protein 1"
"270","MYC","202431_s_at",2.64e-11,3.38e-12,7.5,16.8237168,1.01,"v-myc avian myelocytomatosis viral oncogene homolog",8148317,0.0024448,3.69e-05,6.0899402,2.5057,1.67858762,"v-myc avian myelocytomatosis viral oncogene homolog"
"271","MYD88","209124_at",1.2e-32,1.34e-34,15.6,68.0346873,1.16,"myeloid differentiation primary response 88",8078729,0.0025052,3.91e-05,6.0545836,2.44871,0.73176167,"myeloid differentiation primary response 88"
"272","MYO1B","212365_at",5.66e-37,4.07e-39,17.3,78.3833859,2.74,"myosin IB",8047127,0.0232205,0.00125,4.0921486,-0.98671,0.80022524,"myosin IB"
"273","NAA15","222837_s_at",6.51e-23,2.26e-24,12,44.6053465,1.12,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",8097480,0.0003281,1.07e-06,8.4985387,5.95902,1.32928643,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"
"274","NAA25","236816_at",3.33e-11,4.32e-12,-7.46,16.5834291,-1.28,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",7966462,0.0054566,0.000128,5.3481836,1.27127,0.70941857,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit"
"275","NAA50","239138_at",2.7e-17,1.77e-18,9.89,31.1269339,1.35,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",8089652,0.0010797,9.21e-06,6.9765259,3.87371,0.77745476,"N(alpha)-acetyltransferase 50, NatE catalytic subunit"
"276","NABP1","222872_x_at",5.16e-24,1.61e-25,12.4,47.2324668,1.69,"nucleic acid binding protein 1",8047161,0.0022627,3.29e-05,6.1616324,2.62068,2.25496548,"nucleic acid binding protein 1"
"277","NAMPT","1555167_s_at",7.57e-47,1.69e-49,21.2,102.1530416,4.4,"nicotinamide phosphoribosyltransferase",7933084,0.0001163,7.69e-08,10.6759837,8.43834,2.8244819,"nicotinamide phosphoribosyltransferase"
"278","NCBP1","209520_s_at",1.93e-20,8.92e-22,11.1,38.6654667,1.37,"nuclear cap binding protein subunit 1",8156718,0.0025354,3.97e-05,6.0448936,2.43305,0.68153786,"nuclear cap binding protein subunit 1"
"279","NCF2","209949_at",1.12e-12,1.23e-13,8.07,20.0968207,1.36,"neutrophil cytosolic factor 2",7922773,0.0016953,1.92e-05,6.4992385,3.15181,1.63496857,"neutrophil cytosolic factor 2"
"280","NDUFAF4","219006_at",3.46e-16,2.58e-17,9.46,28.4735691,0.938,"NADH:ubiquinone oxidoreductase complex assembly factor 4",8128322,0.001778,2.05e-05,6.4584258,3.08851,0.94730905,"NADH:ubiquinone oxidoreductase complex assembly factor 4"
"281","NEGR1","239548_at",3.64e-06,8.5e-07,-5.11,4.6534439,-0.629,"neuronal growth regulator 1",7916986,0.0896616,0.0104,-2.98741,-3.06199,-0.60434548,"neuronal growth regulator 1"
"282","NFIL3","203574_at",1.98e-10,2.81e-11,7.13,14.7382785,0.747,"nuclear factor, interleukin 3 regulated",8162276,0.0013893,1.45e-05,6.6801769,3.42945,1.21302429,"nuclear factor, interleukin 3 regulated"
"283","NFKB1","209239_at",9.53e-16,7.46e-17,9.29,27.4210776,0.723,"nuclear factor kappa B subunit 1",8096635,0.0049398,0.000109,5.4441884,1.43557,1.03429976,"nuclear factor kappa B subunit 1"
"284","NFKBIZ","223217_s_at",1.31e-11,1.62e-12,7.63,17.5517458,0.966,"NFKB inhibitor zeta",8081386,0.0196949,0.000968,4.2276439,-0.73494,0.62468929,"NFKB inhibitor zeta"
"285","NIP7","223397_s_at",2.16e-11,2.74e-12,7.54,17.030615,0.636,"NIP7, nucleolar pre-rRNA processing protein",7996934,0.0001305,1.73e-07,9.9635505,7.68554,1.53112286,"NIP7, nucleolar pre-rRNA processing protein"
"286","NIPA2","212133_at",1.01e-10,1.4e-11,7.25,15.4280116,0.904,"non imprinted in Prader-Willi/Angelman syndrome 2",7986665,0.0010173,8.38e-06,7.0391034,3.96587,0.61892833,"non imprinted in Prader-Willi/Angelman syndrome 2"
"287","NMI","203964_at",1.9e-38,1.15e-40,17.8,81.9306479,1.14,"N-myc and STAT interactor",8055702,0.0266428,0.00158,3.9670117,-1.22044,0.65930548,"N-myc and STAT interactor"
"288","NOL10","222684_s_at",1.24e-22,4.43e-24,11.9,43.9375155,0.74,"nucleolar protein 10",8050255,0.0004192,1.72e-06,8.1475646,5.50615,1.21449667,"nucleolar protein 10"
"289","NOL6","218199_s_at",6.61e-15,5.65e-16,8.97,25.4156271,0.937,"nucleolar protein 6",8160682,0.0059964,0.00015,5.2591542,1.11775,0.93163929,"nucleolar protein 6"
"290","NOLC1","205895_s_at",2.72e-10,3.94e-11,7.07,14.4078621,1.03,"nucleolar and coiled-body phosphoprotein 1",7930008,0.0001368,1.89e-07,9.8901113,7.60489,1.72411238,"nucleolar and coiled-body phosphoprotein 1"
"291","NOP16","214011_s_at",1.5e-17,9.53e-19,9.99,31.74398,0.912,"NOP16 nucleolar protein",8115907,0.0002975,8.58e-07,8.6697877,6.17421,0.93794333,"NOP16 nucleolar protein"
"292","NOP2","214427_at",5.11e-14,4.82e-15,8.62,23.2957737,1.3,"NOP2 nucleolar protein",7960575,0.0004232,1.8e-06,8.1121866,5.4596,1.61346119,"NOP2 nucleolar protein"
"293","NR1D1","31637_s_at",1.37e-06,3.05e-07,-5.33,5.6471593,-1.01,"nuclear receptor subfamily 1 group D member 1///thyroid hormone receptor, alpha",8014956,0.1611297,0.0266,-2.4962096,-3.95833,-0.6058381,"nuclear receptor subfamily 1 group D member 1"
"294","NR1D2","209750_at",0.00465,0.00168,-3.19,-2.5735001,-0.728,"nuclear receptor subfamily 1 group D member 2",8078272,0.0413469,0.00309,-3.6162206,-1.88,-1.12604619,"nuclear receptor subfamily 1 group D member 2"
"295","NUAK1","204589_at",1.44e-14,1.27e-15,-8.83,24.6167873,-0.675,"NUAK family kinase 1",7966026,0.0162476,0.000704,-4.3987778,-0.41924,-0.93091381,"NUAK family kinase 1"
"296","NUBP1","203978_at",2.94e-17,1.94e-18,9.88,31.0363904,0.605,"nucleotide binding protein 1",7993185,0.000393,1.46e-06,8.2709579,5.6672,0.7284669,"nucleotide binding protein 1"
"297","NUDCD1","225439_at",5.35e-18,3.22e-19,10.2,32.8194751,1.11,"NudC domain containing 1",8152340,0.0006937,4.34e-06,7.4869013,4.60885,0.81472,"NudC domain containing 1"
"298","NUFIP2","224958_at",1.05e-09,1.62e-10,6.81,13.0144763,0.669,"NUFIP2, FMR1 interacting protein 2",8013908,0.0011785,1.12e-05,6.8488837,3.68395,0.75488643,"NUFIP2, FMR1 interacting protein 2"
"299","NUMA1","214250_at",5.46e-20,2.67e-21,-10.9,37.5769153,-1.24,"nuclear mitotic apparatus protein 1",7950086,0.0154891,0.00065,-4.441752,-0.34041,-0.66602048,"nuclear mitotic apparatus protein 1"
"300","NUP58","204435_at",3.85e-16,2.89e-17,9.45,28.3612162,1.12,"nucleoporin 58",7968132,0.0036091,6.7e-05,5.7296318,1.91619,0.61520429,"nucleoporin 58"
"301","NUP88","202900_s_at",3.02e-25,8.15e-27,12.9,50.19911,0.638,"nucleoporin 88",8011832,0.0169853,0.00076,4.3573287,-0.49545,0.64379238,"nucleoporin 88"
"302","NUP98","210793_s_at",5.93e-19,3.26e-20,10.5,35.0920663,1.46,"nucleoporin 98",7945902,0.0004393,1.89e-06,8.0798478,5.41691,0.79830214,"nucleoporin 98"
"303","NUPR1","209230_s_at",1.45e-12,1.61e-13,-8.03,19.8291412,-0.708,"nuclear protein 1, transcriptional regulator",8000574,0.0074634,0.000216,-5.0499351,0.75265,-0.76305119,"nuclear protein 1, transcriptional regulator"
"304","ODC1","200790_at",5.46e-05,1.48e-05,4.46,1.9004474,0.731,"ornithine decarboxylase 1",8050240,0.0055927,0.000133,5.3271518,1.2351,1.39960762,"ornithine decarboxylase 1"
"305","OGFOD1","225106_s_at",5.81e-06,1.39e-06,5.01,4.1774952,0.825,"2-oxoglutarate and iron dependent oxygenase domain containing 1",7995755,0.0001182,1.05e-07,10.3953585,8.1481,0.65386048,"2-oxoglutarate and iron dependent oxygenase domain containing 1"
"306","OLFML1","217525_at",0.0152,0.00604,-2.78,-3.7470395,-0.586,"olfactomedin like 1",7938225,0.090186,0.0105,-2.9827808,-3.0706,-0.91880429,"olfactomedin like 1"
"307","OSMR","1554008_at",1.56e-14,1.38e-15,8.82,24.5332862,1.63,"oncostatin M receptor",8105040,0.0001163,8.73e-08,10.5613943,8.32079,2.21022762,"oncostatin M receptor"
"308","OSR2","213568_at",4.52e-17,3.05e-18,-9.8,30.5893032,-1.42,"odd-skipped related transciption factor 2",8147573,0.003141,5.37e-05,-5.8621757,2.13529,-0.83943,"odd-skipped related transciption factor 2"
"309","P2RY13","220005_at",2.9e-06,6.7e-07,5.17,4.8845202,1.14,"purinergic receptor P2Y13",8091523,0.0037812,7.15e-05,5.6904669,1.85095,0.62113571,"purinergic receptor P2Y13"
"310","PA2G4","208676_s_at",7.68e-30,1.2e-31,14.6,61.2669371,0.635,"proliferation-associated 2G4",7956152,0.0010296,8.57e-06,7.0247282,3.94475,1.01073762,"proliferation-associated 2G4"
"311","PAICS","201014_s_at",3.54e-11,4.6e-12,7.45,16.5211118,0.602,"phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase",8095221,0.0007609,5.37e-06,7.3401107,4.40125,0.94254048,"phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"312","PAK1IP1","218886_at",9.38e-23,3.33e-24,11.9,44.2206112,0.782,"PAK1 interacting protein 1",8116848,3.42e-05,5.91e-09,13.2050714,10.72868,1.69730952,"PAK1 interacting protein 1"
"313","PAK2","208875_s_at",7.64e-08,1.46e-08,5.96,8.609025,1.21,"p21 (RAC1) activated kinase 2",8084963,0.0048096,0.000104,5.4674212,1.47513,0.78256976,"p21 (RAC1) activated kinase 2"
