"","Gene.symbol","ID.PS","adj.P.Val.PS","P.Value.PS","t.PS","B.PS","logFC.PS","Gene.title.PS","ID.CSU","adj.P.Val.CSU","P.Value.CSU","t.CSU","B.CSU","logFC.CSU","Gene.title.CSU"
"104","DDX18","208897_s_at",2.14e-14,1.93e-15,8.77,24.2023747,0.748,"DEAD-box helicase 18",8044745,0.0002338,5.2e-07,9.0606879,6.65171,0.95840452,"DEAD-box helicase 18"
"105","DDX19A","202578_s_at",1.61e-08,2.84e-09,6.28,10.2093206,0.826,"DEAD-box helicase 19A",7997059,0.0039186,7.57e-05,5.6571752,1.79531,0.62835,"DEAD-box helicase 19A"
"106","DDX21","224654_at",1.17e-32,1.3e-34,15.6,68.0629774,0.846,"DEAD-box helicase 21",7927936,0.0001163,8.39e-08,10.5969703,8.35742,2.29080667,"DEAD-box helicase 21"
"107","DDX56","217754_at",9.01e-19,5.07e-20,10.4,34.6541042,0.64,"DEAD-box helicase 56",8139392,0.0204581,0.00104,4.1919037,-0.8012,0.73045405,"DEAD-box helicase 56"
"108","DDX60L","228152_s_at",1.65e-30,2.37e-32,14.8,62.8809366,1.85,"DEAD-box helicase 60-like",8103601,0.0220645,0.00116,4.1317532,-0.91296,0.66636714,"DEAD-box helicase 60-like"
"109","DENND4A","1554352_s_at",2.68e-09,4.33e-10,6.63,12.0520644,0.839,"DENN domain containing 4A",7989849,0.0139248,0.000548,4.5344762,-0.17097,0.79206333,"DENN domain containing 4A"
"110","DIMT1","210802_s_at",2.53e-28,4.79e-30,14,57.6001428,1.2,"DIM1 dimethyladenosine transferase 1 homolog",8112312,0.000223,4.07e-07,9.2569734,6.88449,0.97235619,"DIM1 dimethyladenosine transferase 1 homolog"
"111","DNAJB4","203810_at",2.26e-11,2.88e-12,-7.53,16.9833854,-0.648,"DnaJ heat shock protein family (Hsp40) member B4",7902512,0.0840791,0.00944,-3.0373306,-2.96896,-0.60527,"DnaJ heat shock protein family (Hsp40) member B4"
"112","DNAJC11","215792_s_at",9.07e-16,7.09e-17,9.3,27.4719069,1.01,"DnaJ heat shock protein family (Hsp40) member C11",7912112,0.0107182,0.000374,4.7436495,0.20774,0.63867405,"DnaJ heat shock protein family (Hsp40) member C11"
"113","DNAJC25-GNG10","226859_at",1.42e-08,2.49e-09,6.3,10.336662,0.91,"DNAJC25-GNG10 readthrough///DnaJ heat shock protein family (Hsp40) member C25",7946559,0.0011108,9.81e-06,6.9348191,3.81197,0.79638,"DNAJC25-GNG10 readthrough///G protein subunit gamma 10"
"114","DNAJC3","208499_s_at",1.92e-10,2.73e-11,7.14,14.7682556,0.618,"DnaJ heat shock protein family (Hsp40) member C3",7969651,0.0091978,0.000293,4.8805251,0.45273,0.71145024,"DnaJ heat shock protein family (Hsp40) member C3"
"115","DNM1L","203105_s_at",3.53e-32,4.17e-34,15.4,66.9019167,1.2,"dynamin 1 like",7954752,0.0047231,0.000102,5.484044,1.50338,0.59214857,"dynamin 1 like"
"116","DPH3","225195_at",8.59e-32,1.07e-33,15.3,65.9667198,1.96,"diphthamide biosynthesis 3",8085660,0.0024448,3.7e-05,6.0883292,2.5031,0.67021476,"diphthamide biosynthesis 3"
"117","DSG3","205595_at",5.02e-38,3.2e-40,17.7,80.9118849,3.6,"desmoglein 3",8020762,0.0227561,0.00121,4.1081309,-0.95693,1.31070071,"desmoglein 3"
"118","DTX3L","225415_at",2.27e-31,2.96e-33,15.1,64.9516522,0.95,"deltex E3 ubiquitin ligase 3L",8082075,0.0015352,1.65e-05,6.5956951,3.30043,1.01523738,"deltex E3 ubiquitin ligase 3L"
"119","EBF1","227646_at",1.08e-13,1.06e-14,-8.48,22.5154225,-0.83,"early B-cell factor 1",8115543,0.0897571,0.0104,-2.9864035,-3.06386,-0.70410762,"early B-cell factor 1///platelet derived growth factor receptor beta"
"120","EFHC1","225656_at",8.14e-16,6.33e-17,-9.32,27.5843678,-1.59,"EF-hand domain containing 1",8120222,0.0060863,0.000153,-5.2483138,1.09898,-0.68553548,"EF-hand domain containing 1"
"121","EIF2S1","201144_s_at",4.3e-35,3.76e-37,16.5,73.8798395,0.856,"eukaryotic translation initiation factor 2 subunit alpha",7975224,0.0001163,6.33e-08,10.851287,8.61564,0.96539595,"eukaryotic translation initiation factor 2 subunit alpha"
