"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"4574","Hidradenitis","GO:0010955","negative regulation of protein processing","14/5292","27/18862",0.00758993170825674,0.0349170123437553,0.0241199398333206,"NLRP7/SERPINE1/THBS1/CHAC1/CTSZ/SERPINE2/CST7/CARD16/CARD8/GLG1/CAST/NOL3/TMEM59/CARD18",14
"4575","Hidradenitis","GO:0031069","hair follicle morphogenesis","14/5292","27/18862",0.00758993170825674,0.0349170123437553,0.0241199398333206,"KRT17/FGF7/NGFR/GORAB/BCL2/FST/INTU/TP63/FGFR2/ATP7A/TMEM79/SOSTDC1/TGM3/FOXQ1",14
"4576","Hidradenitis","GO:0045671","negative regulation of osteoclast differentiation","14/5292","27/18862",0.00758993170825674,0.0349170123437553,0.0241199398333206,"LILRB1/LILRB4/LTF/LILRB3/FBXW7/INPP5D/TLR4/GPR55/LRRC17/FBN1/CLDN18/ZNF675/TMEM178A/UBASH3B",14
"4577","Hidradenitis","GO:0060512","prostate gland morphogenesis","14/5292","27/18862",0.00758993170825674,0.0349170123437553,0.0241199398333206,"SULF1/TNC/CYP7B1/WNT5A/ESR1/SERPINB5/RARG/TP63/BMP7/FGFR2/AR/HOXA13/NOG/BMP4",14
"4578","Hidradenitis","GO:1903318","negative regulation of protein maturation","14/5292","27/18862",0.00758993170825674,0.0349170123437553,0.0241199398333206,"NLRP7/SERPINE1/THBS1/CHAC1/CTSZ/SERPINE2/CST7/CARD16/CARD8/GLG1/CAST/NOL3/TMEM59/CARD18",14
"4579","Hidradenitis","GO:0043506","regulation of JUN kinase activity","34/5292","83/18862",0.00759565298452759,0.034917826639821,0.0241205023319651,"PTPN22/TNFSF11/CCL19/WNT5A/TLR6/MLKL/MAP4K1/TNF/ROR2/SERPINB3/SFRP2/PKN1/TNIK/MDFIC/SYK/PAK1/CD40LG/FZD5/PTPN1/TLR9/FGD2/MAP3K13/SASH1/EDN1/MAP4K5/ERCC6/TIAM1/MAP3K2/SPAG9/EPHA4/FZD10/ZNF675/ARHGEF5/MAP3K9",34
"4580","Hidradenitis","GO:0003184","pulmonary valve morphogenesis","10/5292","17/18862",0.00762479278901463,0.0349243236256103,0.0241249903134909,"GJA5/STRA6/HEYL/HEY2/SMAD6/SLIT2/NOTCH2/ROBO2/BMP4/NOS3",10
"4581","Hidradenitis","GO:0031268","pseudopodium organization","10/5292","17/18862",0.00762479278901463,0.0349243236256103,0.0241249903134909,"CCR7/CDC42EP5/CDC42EP2/CDC42EP3/SRGAP2C/C15orf62/APC/RAB25/F2RL1/SRGAP2",10
"4582","Hidradenitis","GO:0033623","regulation of integrin activation","10/5292","17/18862",0.00762479278901463,0.0349243236256103,0.0241249903134909,"CXCL13/PLEK/FBLIM1/SELP/SKAP1/CDH17/SRC/FERMT2/PTGER4/FARP2",10
"4583","Hidradenitis","GO:0034134","toll-like receptor 2 signaling pathway","10/5292","17/18862",0.00762479278901463,0.0349243236256103,0.0241249903134909,"CYBA/TLR2/TLR1/LYN/PIK3AP1/TLR6/ACOD1/TNFAIP3/TNIP2/F2RL1",10
"4584","Hidradenitis","GO:0090136","epithelial cell-cell adhesion","10/5292","17/18862",0.00762479278901463,0.0349243236256103,0.0241249903134909,"THBS4/CYP1B1/SRF/BVES/DSP/CTNNA1/KIFC3/JUP/SERPINB8/CAMSAP3",10
