"disease","ID","Description","GeneRatio","p.adjust","Count"
"AD","GO:0050764","regulation of phagocytosis","11/561",0.00490390237774046,11
"AD","GO:0035384","thioester biosynthetic process","9/561",0.00521050131609979,9
"AD","GO:0071616","acyl-CoA biosynthetic process","9/561",0.00521050131609979,9
"AD","GO:0051255","spindle midzone assembly","5/561",0.00570027791871429,5
"AD","GO:0051251","positive regulation of lymphocyte activation","26/561",0.0060305491524503,26
"AD","GO:0050867","positive regulation of cell activation","28/561",0.0061360067824154,28
"AD","GO:0050994","regulation of lipid catabolic process","9/561",0.00632363686320448,9
"AD","GO:0001932","regulation of protein phosphorylation","44/561",0.00636282903041784,44
"AD","GO:0010562","positive regulation of phosphorus metabolic process","35/561",0.00636282903041784,35
"AD","GO:0045937","positive regulation of phosphate metabolic process","35/561",0.00636282903041784,35
"AD","GO:1903037","regulation of leukocyte cell-cell adhesion","28/561",0.00636282903041784,28
"AD","GO:1901699","cellular response to nitrogen compound","40/561",0.00636282903041784,40
"AD","GO:0035336","long-chain fatty-acyl-CoA metabolic process","6/561",0.00636282903041784,6
"AD","GO:0050820","positive regulation of coagulation","6/561",0.00636282903041784,6
"AD","GO:1901970","positive regulation of mitotic sister chromatid separation","6/561",0.00636282903041784,6
"AD","GO:2000106","regulation of leukocyte apoptotic process","12/561",0.00637228504418381,12
"AD","GO:0001906","cell killing","17/561",0.00695790406568159,17
"AD","GO:0120161","regulation of cold-induced thermogenesis","16/561",0.0071877737202879,16
"AD","GO:0001659","temperature homeostasis","18/561",0.0071877737202879,18
"AD","GO:0090022","regulation of neutrophil chemotaxis","7/561",0.00724645440768593,7
"AD","GO:0007586","digestion","11/561",0.00726088563960356,11
"AD","GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway","42/561",0.00740143474798895,42
"AD","GO:0061982","meiosis I cell cycle process","13/561",0.00775812603552083,13
"AD","GO:0106106","cold-induced thermogenesis","16/561",0.00779005541767322,16
"AD","GO:0051276","chromosome organization","44/561",0.00789111886079307,44
"AD","GO:0014855","striated muscle cell proliferation","10/561",0.00799325021444522,10
"AD","GO:0045088","regulation of innate immune response","32/561",0.00810540349014493,32
"AD","GO:0002407","dendritic cell chemotaxis","5/561",0.00810540349014493,5
"AD","GO:0001934","positive regulation of protein phosphorylation","31/561",0.00827230079441799,31
"AD","GO:0043065","positive regulation of apoptotic process","39/561",0.00835573581607939,39
"AD","GO:0140888","interferon-mediated signaling pathway","13/561",0.00848857645071545,13
"AD","GO:1901615","organic hydroxy compound metabolic process","35/561",0.00848857645071545,35
"AD","GO:0043549","regulation of kinase activity","31/561",0.00858065569980844,31
"AD","GO:0050921","positive regulation of chemotaxis","14/561",0.00858065569980844,14
"AD","GO:0033044","regulation of chromosome organization","24/561",0.00895399479014378,24
"AD","GO:0032496","response to lipopolysaccharide","25/561",0.00904357671948958,25
"AD","GO:0002690","positive regulation of leukocyte chemotaxis","11/561",0.00912324366138646,11
"AD","GO:0090307","mitotic spindle assembly","11/561",0.00912324366138646,11
"AD","GO:0030098","lymphocyte differentiation","31/561",0.00945573018935461,31
"AD","GO:1902622","regulation of neutrophil migration","8/561",0.00979909444562699,8
"AD","GO:0007159","leukocyte cell-cell adhesion","29/561",0.00984170166228556,29
"AD","GO:0050870","positive regulation of T cell activation","21/561",0.00984213962946981,21
"AD","GO:0070372","regulation of ERK1 and ERK2 cascade","21/561",0.00984213962946981,21
"AD","GO:0006897","endocytosis","43/561",0.0101342534475743,43
"AD","GO:0046651","lymphocyte proliferation","22/561",0.0101342534475743,22
"AD","GO:0010389","regulation of G2/M transition of mitotic cell cycle","13/561",0.0101342534475743,13
"AD","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","11/561",0.0101342534475743,11
"AD","GO:0045859","regulation of protein kinase activity","29/561",0.0101342534475743,29
"AD","GO:0007584","response to nutrient","16/561",0.0103491061245097,16
"AD","GO:0014856","skeletal muscle cell proliferation","6/561",0.0103491061245097,6
"AD","GO:0034508","centromere complex assembly","6/561",0.0103491061245097,6
"AD","GO:0046949","fatty-acyl-CoA biosynthetic process","6/561",0.0103491061245097,6
"AD","GO:0090231","regulation of spindle checkpoint","6/561",0.0103491061245097,6
"AD","GO:0002573","myeloid leukocyte differentiation","20/561",0.0104526563802827,20
"AD","GO:0007127","meiosis I","12/561",0.0107135386070027,12
"AD","GO:0002283","neutrophil activation involved in immune response","5/561",0.0109031555502812,5
"AD","GO:0032615","interleukin-12 production","8/561",0.0111571058290372,8
