"disease","ID","Description","GeneRatio","p.adjust","Count"
"HS","GO:0002718","regulation of cytokine production involved in immune response","31/2429",0.0349095910088852,31
"HS","GO:0150115","cell-substrate junction organization","31/2429",0.0349095910088852,31
"HS","GO:0031343","positive regulation of cell killing","16/2429",0.0349095910088852,16
"HS","GO:0050856","regulation of T cell receptor signaling pathway","16/2429",0.0349095910088852,16
"HS","GO:1902622","regulation of neutrophil migration","16/2429",0.0349095910088852,16
"HS","GO:0002825","regulation of T-helper 1 type immune response","10/2429",0.0353637180265981,10
"HS","GO:0034505","tooth mineralization","10/2429",0.0353637180265981,10
"HS","GO:0036336","dendritic cell migration","10/2429",0.0353637180265981,10
"HS","GO:0090025","regulation of monocyte chemotaxis","10/2429",0.0353637180265981,10
"HS","GO:0048592","eye morphogenesis","36/2429",0.0354059982592796,36
"HS","GO:0007044","cell-substrate junction assembly","29/2429",0.0364608189883917,29
"HS","GO:0061383","trabecula morphogenesis","17/2429",0.0366328225488218,17
"HS","GO:0051090","regulation of DNA-binding transcription factor activity","75/2429",0.0369452909939493,75
"HS","GO:0045637","regulation of myeloid cell differentiation","46/2429",0.0380104886067021,46
"HS","GO:0071222","cellular response to lipopolysaccharide","46/2429",0.0380104886067021,46
"HS","GO:0003229","ventricular cardiac muscle tissue development","18/2429",0.0380104886067021,18
"HS","GO:0002548","monocyte chemotaxis","13/2429",0.0380552983451228,13
"HS","GO:0002934","desmosome organization","7/2429",0.0382638589279969,7
"HS","GO:0016264","gap junction assembly","7/2429",0.0382638589279969,7
"HS","GO:0030852","regulation of granulocyte differentiation","7/2429",0.0382638589279969,7
"HS","GO:0033003","regulation of mast cell activation","7/2429",0.0382638589279969,7
"HS","GO:0034116","positive regulation of heterotypic cell-cell adhesion","7/2429",0.0382638589279969,7
"HS","GO:0043301","negative regulation of leukocyte degranulation","7/2429",0.0382638589279969,7
"HS","GO:0045059","positive thymic T cell selection","7/2429",0.0382638589279969,7
"HS","GO:0070486","leukocyte aggregation","7/2429",0.0382638589279969,7
"HS","GO:0006801","superoxide metabolic process","19/2429",0.0383167762270263,19
"HS","GO:2000107","negative regulation of leukocyte apoptotic process","19/2429",0.0383167762270263,19
"HS","GO:0060993","kidney morphogenesis","24/2429",0.039019131441838,24
"HS","GO:0045927","positive regulation of growth","54/2429",0.039019131441838,54
"HS","GO:0050848","regulation of calcium-mediated signaling","23/2429",0.0391246240068151,23
"HS","GO:0007411","axon guidance","48/2429",0.0391246240068151,48
"HS","GO:0043408","regulation of MAPK cascade","121/2429",0.0391246240068151,121
